techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LVEtransmission1048_to_LVEtransmission740_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission740,LVEtransmission1048,
LVEtransmission740_to_LVEtransmission10_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission10,LVEtransmission740,
LVEtransmission10_to_LVEtransmission1338_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1338,LVEtransmission10,
LVEtransmission1338_to_LVEtransmission653_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission653,LVEtransmission1338,
LVEtransmission653_to_LVEtransmission1167_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1167,LVEtransmission653,
LVEtransmission1167_to_LVEtransmission508_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission508,LVEtransmission1167,
LVEtransmission824_to_LVEtransmission1355_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1355,LVEtransmission824,
LVEtransmission1355_to_LVEtransmission730_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission730,LVEtransmission1355,
LVEtransmission730_to_LVEtransmission400_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission400,LVEtransmission730,
LVEtransmission400_to_LVEtransmission976_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission976,LVEtransmission400,
LVEtransmission976_to_LVEtransmission55_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission55,LVEtransmission976,
LVEtransmission55_to_LVEtransmission421_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission421,LVEtransmission55,
LVEtransmission421_to_LVEtransmission718_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission718,LVEtransmission421,
LVEtransmission718_to_LVEtransmission767_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission767,LVEtransmission718,
LVEtransmission767_to_LVEtransmission177_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission177,LVEtransmission767,
LVEtransmission177_to_LVEtransmission232_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission232,LVEtransmission177,
LVEtransmission232_to_LVEtransmission1411_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1411,LVEtransmission232,
LVEtransmission1411_to_LVEtransmission689_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission689,LVEtransmission1411,
LVEtransmission689_to_LVEtransmission335_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission335,LVEtransmission689,
