techs,cost_flow_cap_per_distance
LVEtransmission41_to_LVEtransmission628_electricity,100
LVEtransmission628_to_LVEtransmission1008_electricity,100
LVEtransmission1008_to_LVEtransmission202_electricity,100
LVEtransmission790_to_LVEtransmission576_electricity,100
LVEtransmission576_to_LVEtransmission753_electricity,100
LVEtransmission753_to_LVEtransmission388_electricity,100
LVEtransmission388_to_LVEtransmission534_electricity,100
LVEtransmission534_to_LVEtransmission723_electricity,100
LVEtransmission723_to_LVEtransmission153_electricity,100
LVEtransmission153_to_LVEtransmission200_electricity,100
LVEtransmission200_to_LVEtransmission659_electricity,100
LVEtransmission659_to_LVEtransmission521_electricity,100
LVEtransmission521_to_LVEtransmission655_electricity,100
LVEtransmission655_to_LVEtransmission432_electricity,100
LVEtransmission821_to_LVEtransmission345_electricity,100
LVEtransmission345_to_LVEtransmission19_electricity,100
LVEtransmission19_to_LVEtransmission265_electricity,100
LVEtransmission265_to_LVEtransmission88_electricity,100
LVEtransmission88_to_LVEtransmission728_electricity,100
LVEtransmission728_to_LVEtransmission256_electricity,100
LVEtransmission256_to_LVEtransmission419_electricity,100
LVEtransmission419_to_LVEtransmission49_electricity,100
LVEtransmission49_to_LVEtransmission263_electricity,100
LVEtransmission263_to_LVEtransmission935_electricity,100
LVEtransmission935_to_LVEtransmission328_electricity,100
LVEtransmission328_to_LVEtransmission444_electricity,100
LVEtransmission444_to_LVEtransmission166_electricity,100
LVEtransmission166_to_LVEtransmission292_electricity,100
LVEtransmission292_to_LVEtransmission618_electricity,100
LVEtransmission618_to_LVEtransmission359_electricity,100
LVEtransmission359_to_LVEtransmission440_electricity,100
LVEtransmission440_to_LVEtransmission410_electricity,100
LVEtransmission410_to_LVEtransmission559_electricity,100
LVEtransmission559_to_LVEtransmission904_electricity,100
LVEtransmission904_to_LVEtransmission885_electricity,100
LVEtransmission885_to_LVEtransmission961_electricity,100
LVEtransmission961_to_LVEtransmission945_electricity,100
LVEtransmission945_to_LVEtransmission665_electricity,100
LVEtransmission665_to_LVEtransmission701_electricity,100
LVEtransmission701_to_LVEtransmission813_electricity,100
