name,capacity_kw,distance_m,flow_rate_m^3/s,diameter_mm,final_diameter_mm
Air-to-air heat pump,2697.7361703394263,,,,
Geothermal heat supply,2947.8885690886,,,,
HQ to LQ heat conversion substation,2466.142829205647,,,,
Heat transmission main_DN240,2933.138596401774,237.0817192109121,0.02800132311600739,239.79962030226147,240.0
Heat transmission main_DN240,2917.538619277696,481.7624435399594,0.02785239732007347,239.16107975653486,240.0
Heat transmission main_DN240,2885.8386504927666,172.14734518840646,0.027549772319740016,237.85825124852218,240.0
Heat transmission main_DN240,2874.5113551793693,163.60029736688804,0.027441635848967725,237.39097985121978,240.0
Heat transmission main_DN240,2863.746455612628,36.50527946716264,0.027338868311337736,236.94605430113106,240.0
Heat transmission main_DN240,2861.344408223689,94.31119024231013,0.027315937071347864,236.84666089135132,240.0
Heat transmission main_DN240,2855.138731905745,50.73942853091202,0.027256694338002336,236.5896852723378,240.0
Heat transmission main_DN245,2947.8885690886,69.33570375591154,0.028142134311108354,240.4018083977102,245.0
Heat transmission main_DN245,2943.326279781461,154.82801488885883,0.028098580236577193,240.21570786155053,245.0
LQ heat distribution main_DN105,541.0007143314832,0.5209366058365308,0.0051646846236895775,102.98669424679386,105.0
LQ heat distribution main_DN105,540.9736256279797,0.0954093170789539,0.0051644260203148416,102.98411586669721,105.0
LQ heat distribution main_DN105,540.9686643434916,0.7402088868147175,0.0051643786572171035,102.98364363048846,105.0
LQ heat distribution main_DN105,540.9301734813772,4.559728642878542,0.005164011202686178,102.97997983256361,105.0
LQ heat distribution main_DN105,540.6930675919475,0.4874439753014327,0.005161747661975633,102.95740775469811,105.0
LQ heat distribution main_DN105,540.6677205052318,0.3198922238396569,0.005161505685014146,102.95499446231088,105.0
LQ heat distribution main_DN105,540.6510861095921,1.6066570023494198,0.0051613468841011185,102.95341067321193,105.0
LQ heat distribution main_DN105,540.56753994547,0.985309231027461,0.005160549307355322,102.9454557323256,105.0
LQ heat distribution main_DN105,540.5163038654566,2.6280328184088138,0.005160060180099824,102.94057692791587,105.0
LQ heat distribution main_DN105,540.3796461588994,0.42811779532085076,0.005158755571922667,102.92756297039134,105.0
LQ heat distribution main_DN105,540.3573840335428,0.6574967402384275,0.00515854304566628,102.925442785142,105.0
LQ heat distribution main_DN105,540.3231942030503,2.55530320972399,0.005158216651103106,102.92218655212652,105.0
LQ heat distribution main_DN105,540.1903184361447,2.8519025559128,0.005156948147361763,102.90953051078982,105.0
LQ heat distribution main_DN105,540.0420195032373,1.0984485314367056,0.0051555324057588284,102.89540361827314,105.0
LQ heat distribution main_DN105,539.9849001796025,3.437215527436648,0.00515498711388642,102.88996193867769,105.0
LQ heat distribution main_DN105,539.8061649721758,1.5290358131288337,0.005153280811190222,102.87293222107434,105.0
LQ heat distribution main_DN105,539.726655109893,0.7504254601662683,0.0051525217671588835,102.86535569229441,105.0
LQ heat distribution main_DN105,539.6876329859645,1.3149938929852714,0.005152149240916128,102.8616370532614,105.0
LQ heat distribution main_DN105,539.6192533035293,0.5235251221108492,0.005151496451585005,102.85512044211868,105.0
LQ heat distribution main_DN105,539.5920299971795,2.555304047964052,0.005151236563218897,102.85252593520266,105.0
LQ heat distribution main_DN105,539.4591541866853,0.6446334432610449,0.005149968059061435,102.83986131689132,105.0
LQ heat distribution main_DN105,539.4256332476357,0.2758763617178291,0.005149648050096761,102.83666613311333,105.0
LQ heat distribution main_DN105,539.4112876768263,0.5211315286493643,0.005149511099540108,102.83529869672054,105.0
LQ heat distribution main_DN105,539.3841888373365,1.0416469284462688,0.005149252399401781,102.83271555439718,105.0
LQ heat distribution main_DN105,539.3300231970574,0.5724563237126024,0.005148735304983841,102.82755212929264,105.0
LQ heat distribution main_DN105,539.3002554682243,2.225137484009879,0.0051484511261882995,102.8247143631808,105.0
LQ heat distribution main_DN105,539.1845483190558,0.08512280920707764,0.005147346523332275,102.81368322359994,105.0
LQ heat distribution main_DN105,539.180121932977,0.7761322346825925,0.005147304266663265,102.81326120298422,105.0
LQ heat distribution main_DN105,539.1397630567735,0.8611809037510846,0.005146918979062277,102.8094132260618,105.0
LQ heat distribution main_DN105,539.0949816497784,2.954819355053476,0.00514649147159693,102.80514341877058,105.0
LQ heat distribution main_DN105,538.9413310433157,1.6759224209064423,0.005145024640031653,102.79049182780365,105.0
LQ heat distribution main_DN105,538.8541830774286,0.5492245550732358,0.005144192678543471,102.7821807706256,105.0
LQ heat distribution main_DN105,538.8256234005648,0.10586606070956985,0.005143920032463626,102.77945696810322,105.0
LQ heat distribution main_DN105,538.8201183654079,0.9694600069097112,0.005143867478428715,102.77893193185344,105.0
LQ heat distribution main_DN105,538.7697064450485,1.9028267586415488,0.005143386219045809,102.77412382952926,105.0
LQ heat distribution main_DN105,538.6707594535992,1.2789028295344935,0.0051424416176954575,102.7646859777207,105.0
LQ heat distribution main_DN105,538.6042565064635,0.43059055465459134,0.005141806744691775,102.75834224613328,105.0
LQ heat distribution main_DN105,538.5818657976214,0.4538156940733094,0.00514159299090808,102.75620630308472,105.0
LQ heat distribution main_DN105,538.5582673815296,1.4464940291561879,0.0051413677076995665,102.75395510375088,105.0
LQ heat distribution main_DN105,538.4830496920135,0.5492246451469583,0.005140649639064568,102.74677929247561,105.0
LQ heat distribution main_DN105,538.4544900104659,0.6265473955577212,0.005140376992940008,102.7440545509933,105.0
LQ heat distribution main_DN105,538.4219095458968,0.3636344724964346,0.005140065962251999,102.74094611775618,105.0
LQ heat distribution main_DN105,538.403000553327,0.43315785784434446,0.005139885446809805,102.73914200762488,105.0
LQ heat distribution main_DN105,538.3804763447191,0.4821625351018889,0.005139670418565338,102.73699292778336,105.0
LQ heat distribution main_DN105,538.3554038928938,1.0236074245554945,0.005139431063416648,102.73460066208153,105.0
LQ heat distribution main_DN105,538.3021763068169,0.8895112386674979,0.00513892292417009,102.72952181460364,105.0
LQ heat distribution main_DN105,538.2559217224062,1.1087098910021245,0.0051384813529585325,102.72510811015786,105.0
LQ heat distribution main_DN105,538.1982688080741,2.880689567807727,0.0051379309671415185,102.71960648888894,105.0
LQ heat distribution main_DN105,538.0484729505481,3.6071755052812726,0.005136500935088765,102.70531060274685,105.0
LQ heat distribution main_DN105,537.8608998242735,3.4702836658804848,0.005134710260852253,102.68740660667217,105.0
LQ heat distribution main_DN105,537.6804450736477,3.4739035383362475,0.00513298754246919,102.67017911822752,105.0
LQ heat distribution main_DN105,537.4998020896542,4.318778566665926,0.00513126302710887,102.65293076400434,105.0
LQ heat distribution main_DN105,537.2752256041875,4.197630065507106,0.005129119098846659,102.63148346034409,105.0
LQ heat distribution main_DN105,537.0569488407812,4.20798477528326,0.005127035311129176,102.61063349115821,105.0
LQ heat distribution main_DN105,536.8381336324665,4.197630904437434,0.005124946383126171,102.58972783612312,105.0
LQ heat distribution main_DN105,536.6198568254357,4.197631323558113,0.005122862594992226,102.56886937477901,105.0
LQ heat distribution main_DN105,536.4015799966107,1.0030410517985815,0.005120778806650222,102.54800666870062,105.0
LQ heat distribution main_DN105,536.3494218619172,1.1009599563329104,0.00512028087696341,102.54302081204631,105.0
LQ heat distribution main_DN105,536.2921719441879,1.4000514673593587,0.005119734338369335,102.53754794684814,105.0
LQ heat distribution main_DN105,536.2193692678852,1.3407393418497162,0.005119039324753081,102.53058787762933,105.0
LQ heat distribution main_DN135,903.0541984466769,3.926010472873417,0.008621042467271378,133.0574226401174,135.0
LQ heat distribution main_DN135,902.8500459020875,3.926010798927371,0.008619093516965035,133.0423817118631,135.0
LQ heat distribution main_DN135,902.6458933405432,3.926011128163202,0.008617144566496832,133.0273390817352,135.0
LQ heat distribution main_DN135,902.4417407618788,3.9260114566915205,0.008615195615865191,133.01229474914405,135.0
LQ heat distribution main_DN135,902.2375881661309,0.06986791993686263,0.008613246665070462,132.99724871351464,135.0
LQ heat distribution main_DN135,902.2339550342941,2.989599227121056,0.008613211981234312,132.9969809364727,135.0
