techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LVEtransmission880_to_LVEtransmission843_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission843,LVEtransmission880,
LVEtransmission843_to_LVEtransmission724_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission724,LVEtransmission843,
LVEtransmission724_to_LVEtransmission236_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission236,LVEtransmission724,
LVEtransmission668_to_LVEtransmission255_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission255,LVEtransmission668,
LVEtransmission255_to_LVEtransmission250_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission250,LVEtransmission255,
LVEtransmission250_to_LVEtransmission118_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission118,LVEtransmission250,
LVEtransmission118_to_LVEtransmission941_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission941,LVEtransmission118,
LVEtransmission941_to_LVEtransmission728_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission728,LVEtransmission941,
LVEtransmission728_to_LVEtransmission644_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission644,LVEtransmission728,
LVEtransmission644_to_LVEtransmission445_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission445,LVEtransmission644,
LVEtransmission445_to_LVEtransmission386_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission386,LVEtransmission445,
LVEtransmission386_to_LVEtransmission860_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission860,LVEtransmission386,
LVEtransmission860_to_LVEtransmission345_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission345,LVEtransmission860,
LVEtransmission345_to_LVEtransmission617_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission617,LVEtransmission345,
LVEtransmission617_to_LVEtransmission709_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission709,LVEtransmission617,
LVEtransmission709_to_LVEtransmission306_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission306,LVEtransmission709,
LVEtransmission306_to_LVEtransmission84_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission84,LVEtransmission306,
LVEtransmission84_to_LVEtransmission281_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission281,LVEtransmission84,
LVEtransmission281_to_LVEtransmission570_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission570,LVEtransmission281,
LVEtransmission570_to_LVEtransmission413_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission413,LVEtransmission570,
LVEtransmission413_to_LVEtransmission298_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission298,LVEtransmission413,
LVEtransmission298_to_LVEtransmission58_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission58,LVEtransmission298,
LVEtransmission58_to_LVEtransmission577_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission577,LVEtransmission58,
LVEtransmission577_to_LVEtransmission547_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission547,LVEtransmission577,
LVEtransmission547_to_LVEtransmission421_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission421,LVEtransmission547,
LVEtransmission421_to_LVEtransmission465_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission465,LVEtransmission421,
LVEtransmission465_to_LVEtransmission491_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission491,LVEtransmission465,
LVEtransmission491_to_LVEtransmission663_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission663,LVEtransmission491,
LVEtransmission663_to_LVEtransmission634_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission634,LVEtransmission663,
LVEtransmission634_to_LVEtransmission233_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission233,LVEtransmission634,
LVEtransmission233_to_LVEtransmission608_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission608,LVEtransmission233,
LVEtransmission608_to_LVEtransmission594_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission594,LVEtransmission608,
LVEtransmission594_to_LVEtransmission740_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission740,LVEtransmission594,
LVEtransmission740_to_LVEtransmission715_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission715,LVEtransmission740,
LVEtransmission715_to_LVEtransmission510_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission510,LVEtransmission715,
LVEtransmission510_to_LVEtransmission30_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission30,LVEtransmission510,
LVEtransmission30_to_LVEtransmission448_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission448,LVEtransmission30,
