nodes,latitude,longitude,comment
TH36,51.9958947,4.3584905,costalaan to dekenlaan backstreet
TH37,51.9955971,4.358677,dekenlaan backstreet intersection
TH38,51.9956244,4.3587978,dekenlaan
TH39,51.9956774,4.3590551,dekenlaan
TH40,51.9957559,4.3594228,dekenlaan
TH41,51.9959795,4.3592876,dekenlaan to lake
TH42,51.996243,4.3591349,dekenlaan to lake
TH43,51.99502,4.358265,multatuliweg
TH44,51.994894,4.358427,multatuliweg
TH45,51.994686,4.358657,multatuliweg wolfflaan intersection
TH46,51.9947199,4.3588778,wolfflaan
TH47,51.9947424,4.3590044,wolfflaan
TH48,51.9947926,4.3592359,wolfflaan
TH49,51.9948355,4.359456,wolfflaan
TH50,51.994943,4.3594058,wolfflaan to dekenlaan
TH51,51.9950309,4.3593605,wolfflaan to dekenlaan
TH52,51.9951294,4.3593091,wolflaan to dekenlaan starringpad intersection
TH53,51.9952013,4.3592728,wolfflaan to dekenlaan
TH54,51.9953203,4.3592079,wolfflaan to dekenlaan
TH55,51.9954197,4.3591565,wolfflaan to dekenlaan
TH56,51.99548,4.3591176,wolfflaan to dekenlaan
TH57,51.9955661,4.3590665,wolfflaan to dekenlaan
TH58,51.9948294,4.3596757,wolfflaan
TH59,51.9948234,4.3598102,wolfflaan
TH60,51.9948182,4.3599317,wolfflaan
TH61,51.9948098,4.3600893,wolfflaan
TH62,51.9947539,4.3603232,wolfflaan
TH63,51.9946313,4.3603853,wolfflaan
TH64,51.9946496,4.3605308,wolfflaan
TH65,51.9948395,4.3604195,wolfflaan
TH66,51.9949309,4.360369,wolfflaan
TH67,51.9950205,4.3603128,wolfflaan
TH68,51.9951066,4.3602704,wolfflaan
TH69,51.9953,4.3601504,wolfflaan starringpad intersection
TH70,51.9952472,4.3599247,starringpad
TH71,51.9952191,4.3597795,starringpad
TH72,51.9951894,4.3596386,starringpad
TH73,51.9951587,4.3595006,starringpad
TE1,51.999274,4.368608,
TE2,52.000841,4.367774,
TE3,52.000014,4.364431,
TE4,51.998787,4.35968,
TE5,51.998703,4.357724,
TE6,51.997269,4.358329,
TE7,51.996725,4.356117,
TE8,51.996485,4.356277,
TE9,51.996222,4.354991,voorhofdref
TE10,51.994672,4.35591,intersection voorhofdref potgieterlaan
TE11,51.9950023,4.357299383,intersection potgieterlaan bilderdijkhof
TE12,51.995124,4.357673,potgieterlaan
TE13,51.99519006,4.357996012,intersection potgieterlaan multatuliweg
TE14,51.9954334,4.358020971,intersection multatuliweg dekenlaan
TE15,51.99559739,4.357889707,multatuliweg
TE16,51.99574083,4.357810193,multatuliweg
TE17,51.99590144,4.357712545,multatuliweg
TE18,51.99613335,4.357598157,intersection multatuliweg costalaan
TE19,51.99607924,4.357317768,costalaan
TE20,51.99602684,4.357069463,costalaan
TE21,51.99596586,4.356769544,intersection costalaan bilderdijkhof
TE22,51.99578205,4.356821158,bilderdijkhof
TE23,51.9955888,4.35694531,bilderdijkhof
TE24,51.99538266,4.357108522,bilderdijkhof
TE25,51.9962509,4.357831,costalaan
TE26,51.9962871,4.3580512,costalaan
TE27,51.996346,4.3583605,costalaan park corner
TE28,51.9966434,4.3582005,costalaan
TE29,51.9963503,4.3590474,costalaan grotius substation
TE30,51.996239,4.359875,costalaan
TE31,51.996083,4.359954,costalaan
TE32,51.9962106,4.3584279,costalaan
TE33,51.9961105,4.3584996,costalaan
TE34,51.9961509,4.358737,costalaan
TE35,51.9962355,4.3591295,costalaan
TE36,51.9958947,4.3584905,costalaan to dekenlaan backstreet
TE37,51.9955971,4.358677,dekenlaan backstreet intersection
TE38,51.9956244,4.3587978,dekenlaan
TE39,51.9956774,4.3590551,dekenlaan
TE40,51.9957559,4.3594228,dekenlaan
TE41,51.9959795,4.3592876,dekenlaan to lake
TE42,51.996243,4.3591349,dekenlaan to lake
TE43,51.99502,4.358265,multatuliweg
TE44,51.994894,4.358427,multatuliweg
TE45,51.994686,4.358657,multatuliweg wolfflaan intersection
TE46,51.9947199,4.3588778,wolfflaan
TE47,51.9947424,4.3590044,wolfflaan
TE48,51.9947926,4.3592359,wolfflaan
TE49,51.9948355,4.359456,wolfflaan
TE50,51.994943,4.3594058,wolfflaan to dekenlaan
TE51,51.9950309,4.3593605,wolfflaan to dekenlaan
TE52,51.9951294,4.3593091,wolflaan to dekenlaan starringpad intersection
TE53,51.9952013,4.3592728,wolfflaan to dekenlaan
TE54,51.9953203,4.3592079,wolfflaan to dekenlaan
TE55,51.9954197,4.3591565,wolfflaan to dekenlaan
TE56,51.99548,4.3591176,wolfflaan to dekenlaan
TE57,51.9955661,4.3590665,wolfflaan to dekenlaan
TE58,51.9948294,4.3596757,wolfflaan
TE59,51.9948234,4.3598102,wolfflaan
TE60,51.9948182,4.3599317,wolfflaan
TE61,51.9948098,4.3600893,wolfflaan
TE62,51.9947539,4.3603232,wolfflaan
