nodes,techs,latitude,longitude,parameters,timesteps,01/01/2050 00:00
D93,demand_heat,51.9950877,4.358653889,sink_use_equals,,5
D94,demand_heat,51.99502136,4.358666647,sink_use_equals,,5
D95,demand_heat,51.99496114,4.358690746,sink_use_equals,,5
D96,demand_heat,51.99491837,4.358729021,sink_use_equals,,5
D97,demand_heat,51.99487385,4.358753119,sink_use_equals,,5
D98,demand_heat,51.99480839,4.358781471,sink_use_equals,,5
D99,demand_heat,51.99515316,4.359057897,sink_use_equals,,5
D100,demand_heat,51.99511039,4.359072073,sink_use_equals,,5
D101,demand_heat,51.99504929,4.359086249,sink_use_equals,,5
D102,demand_heat,51.99500478,4.359131611,sink_use_equals,,5
D103,demand_heat,51.99494281,4.359150039,sink_use_equals,,5
D104,demand_heat,51.9948852,4.359193984,sink_use_equals,,5
D105,demand_heat,51.99506739,4.35951825,sink_use_equals,,5
D106,demand_heat,51.99509238,4.359594217,sink_use_equals,,5
D107,demand_heat,51.99511417,4.359657696,sink_use_equals,,5
D108,demand_heat,51.99512314,4.3597295,sink_use_equals,,5
D109,demand_heat,51.99513403,4.359799223,sink_use_equals,,5
D110,demand_heat,51.99515261,4.359866865,sink_use_equals,,5
D111,demand_heat,51.99516094,4.359937629,sink_use_equals,,5
D112,demand_heat,51.99518273,4.360007352,sink_use_equals,,5
D113,demand_heat,51.99517622,4.360369965,sink_use_equals,,5
D114,demand_heat,51.99513659,4.360396788,sink_use_equals,,5
D115,demand_heat,51.9950953,4.360426292,sink_use_equals,,5
D116,demand_heat,51.99503915,4.360445067,sink_use_equals,,5
D117,demand_heat,51.99500612,4.360482618,sink_use_equals,,5
D118,demand_heat,51.99496648,4.360498711,sink_use_equals,,5
D119,demand_heat,51.99492189,4.360530898,sink_use_equals,,5
D120,demand_heat,51.99487399,4.360555038,sink_use_equals,,5
D121,demand_heat,51.99461061,4.358878532,sink_use_equals,,5
D122,demand_heat,51.99462105,4.35893127,sink_use_equals,,5
D123,demand_heat,51.9946367,4.359010378,sink_use_equals,,5
D124,demand_heat,51.99464424,4.359081951,sink_use_equals,,5
D125,demand_heat,51.99465526,4.35914034,sink_use_equals,,5
D126,demand_heat,51.99467324,4.359220389,sink_use_equals,,5
D127,demand_heat,51.99458344,4.359380363,sink_use_equals,,5
D128,demand_heat,51.99460264,4.359452852,sink_use_equals,,5
D129,demand_heat,51.99461821,4.359541356,sink_use_equals,,5
D130,demand_heat,51.99462548,4.359602887,sink_use_equals,,5
D131,demand_heat,51.99463586,4.35966779,sink_use_equals,,5
D132,demand_heat,51.99465402,4.359747865,sink_use_equals,,5
D133,demand_heat,51.99456499,4.359910028,sink_use_equals,,5
D134,demand_heat,51.99457838,4.359969861,sink_use_equals,,5
D135,demand_heat,51.99459262,4.360043291,sink_use_equals,,5
D136,demand_heat,51.99460518,4.360111283,sink_use_equals,,5
D137,demand_heat,51.99461522,4.360173834,sink_use_equals,,5
D138,demand_heat,51.99463699,4.360255424,sink_use_equals,,5
D139,demand_heat,51.99453066,4.360406365,sink_use_equals,,5
D140,demand_heat,51.99453903,4.360482515,sink_use_equals,,5
D141,demand_heat,51.9945675,4.360547787,sink_use_equals,,5
D142,demand_heat,51.99457838,4.360604899,sink_use_equals,,5
D143,demand_heat,51.99459513,4.360691928,sink_use_equals,,5
D144,demand_heat,51.99460936,4.360769438,sink_use_equals,,5
TH1,,51.995592,4.358753,,,
TE1,,51.995592,4.358753,,,
