techs,carrier_out,carrier_in
transmission2001_to_transmission1829_electricity,1,1
transmission1603_to_transmission613_electricity,1,1
transmission1567_to_transmission526_electricity,1,1
transmission1335_to_transmission2739_electricity,1,1
transmission562_to_transmission2389_electricity,1,1
transmission2389_to_transmission1790_electricity,1,1
transmission1790_to_transmission1131_electricity,1,1
transmission296_to_transmission543_electricity,1,1
transmission543_to_transmission262_electricity,1,1
transmission262_to_transmission1486_electricity,1,1
transmission1486_to_transmission562_electricity,1,1
transmission1811_to_transmission2571_electricity,1,1
transmission2571_to_transmission2624_electricity,1,1
transmission826_to_transmission1912_electricity,1,1
transmission1912_to_transmission1833_electricity,1,1
transmission2029_to_transmission1774_electricity,1,1
transmission1774_to_transmission603_electricity,1,1
transmission603_to_transmission2813_electricity,1,1
transmission5_to_transmission2542_electricity,1,1
transmission2542_to_transmission1608_electricity,1,1
transmission1608_to_transmission2164_electricity,1,1
transmission369_to_transmission59_electricity,1,1
transmission59_to_transmission2491_electricity,1,1
transmission2491_to_transmission1796_electricity,1,1
transmission582_to_transmission725_electricity,1,1
transmission725_to_transmission2676_electricity,1,1
transmission299_to_transmission211_electricity,1,1
transmission211_to_transmission1277_electricity,1,1
transmission1277_to_transmission2146_electricity,1,1
transmission2224_to_transmission2151_electricity,1,1
transmission2151_to_transmission2568_electricity,1,1
transmission2568_to_transmission2142_electricity,1,1
transmission2142_to_transmission699_electricity,1,1
transmission699_to_transmission2129_electricity,1,1
transmission1901_to_transmission31_electricity,1,1
transmission31_to_transmission1138_electricity,1,1
transmission1138_to_transmission1698_electricity,1,1
transmission1698_to_transmission296_electricity,1,1
transmission296_to_transmission49_electricity,1,1
transmission49_to_transmission361_electricity,1,1
transmission361_to_transmission2021_electricity,1,1
transmission2021_to_transmission2012_electricity,1,1
transmission2012_to_transmission1956_electricity,1,1
transmission1956_to_transmission2267_electricity,1,1
transmission2267_to_transmission2224_electricity,1,1
transmission1207_to_transmission1833_electricity,1,1
transmission1833_to_transmission2599_electricity,1,1
transmission2599_to_transmission2676_electricity,1,1
transmission2676_to_transmission1888_electricity,1,1
transmission1888_to_transmission1294_electricity,1,1
transmission1294_to_transmission2164_electricity,1,1
transmission2164_to_transmission1829_electricity,1,1
transmission1829_to_transmission2752_electricity,1,1
transmission2752_to_transmission2419_electricity,1,1
transmission2419_to_transmission2648_electricity,1,1
transmission2648_to_transmission2224_electricity,1,1
transmission2267_to_transmission1635_electricity,1,1
transmission1635_to_transmission275_electricity,1,1
transmission275_to_transmission2001_electricity,1,1
transmission2001_to_transmission1608_electricity,1,1
transmission1608_to_transmission2779_electricity,1,1
transmission2779_to_transmission725_electricity,1,1
transmission725_to_transmission1912_electricity,1,1
transmission1773_to_transmission2222_electricity,1,1
transmission2222_to_transmission262_electricity,1,1
transmission2528_to_transmission69_electricity,1,1
transmission69_to_transmission2728_electricity,1,1
transmission2728_to_transmission188_electricity,1,1
transmission2392_to_transmission795_electricity,1,1
transmission795_to_transmission2696_electricity,1,1
transmission2696_to_transmission2473_electricity,1,1
transmission2473_to_transmission2155_electricity,1,1
transmission975_to_transmission961_electricity,1,1
transmission961_to_transmission466_electricity,1,1
transmission466_to_transmission1983_electricity,1,1
transmission1983_to_transmission1545_electricity,1,1
transmission1545_to_transmission2581_electricity,1,1
transmission2581_to_transmission2681_electricity,1,1
transmission2681_to_transmission2419_electricity,1,1
transmission1399_to_transmission704_electricity,1,1
transmission704_to_transmission2102_electricity,1,1
transmission2102_to_transmission2630_electricity,1,1
transmission189_to_transmission1965_electricity,1,1
transmission1965_to_transmission1531_electricity,1,1
transmission1531_to_transmission516_electricity,1,1
transmission516_to_transmission1661_electricity,1,1
transmission2666_to_transmission1230_electricity,1,1
transmission2624_to_transmission1026_electricity,1,1
transmission1256_to_transmission491_electricity,1,1
transmission491_to_transmission1262_electricity,1,1
transmission1262_to_transmission2609_electricity,1,1
transmission1054_to_transmission1811_electricity,1,1
transmission1811_to_transmission1026_electricity,1,1
transmission1026_to_transmission1250_electricity,1,1
transmission2621_to_transmission1103_electricity,1,1
transmission1103_to_transmission1262_electricity,1,1
transmission2813_to_transmission1040_electricity,1,1
transmission808_to_transmission2057_electricity,1,1
transmission2057_to_transmission603_electricity,1,1
transmission2896_to_transmission90_electricity,1,1
transmission90_to_transmission1303_electricity,1,1
transmission924_to_transmission1334_electricity,1,1
transmission1334_to_transmission893_electricity,1,1
transmission893_to_transmission187_electricity,1,1
transmission187_to_transmission2896_electricity,1,1
transmission2896_to_transmission2029_electricity,1,1
transmission2029_to_transmission19_electricity,1,1
transmission19_to_transmission2408_electricity,1,1
transmission1138_to_transmission2409_electricity,1,1
transmission2409_to_transmission2619_electricity,1,1
transmission2619_to_transmission1351_electricity,1,1
transmission1351_to_transmission49_electricity,1,1
transmission408_to_transmission1579_electricity,1,1
transmission1579_to_transmission561_electricity,1,1
transmission561_to_transmission1335_electricity,1,1
transmission2624_to_transmission786_electricity,1,1
transmission786_to_transmission1250_electricity,1,1
transmission2630_to_transmission59_electricity,1,1
transmission1721_to_transmission2479_electricity,1,1
transmission2479_to_transmission2152_electricity,1,1
transmission596_to_transmission1377_electricity,1,1
transmission498_to_transmission373_electricity,1,1
transmission373_to_transmission2674_electricity,1,1
transmission2674_to_transmission1783_electricity,1,1
transmission1783_to_transmission446_electricity,1,1
transmission446_to_transmission2452_electricity,1,1
transmission2452_to_transmission1055_electricity,1,1
transmission1055_to_transmission1209_electricity,1,1
transmission1209_to_transmission1377_electricity,1,1
transmission1377_to_transmission1481_electricity,1,1
transmission1481_to_transmission2636_electricity,1,1
transmission2072_to_transmission1310_electricity,1,1
transmission1310_to_transmission462_electricity,1,1
transmission462_to_transmission84_electricity,1,1
transmission375_to_transmission1322_electricity,1,1
transmission1322_to_transmission2018_electricity,1,1
transmission2018_to_transmission1347_electricity,1,1
transmission1347_to_transmission1253_electricity,1,1
transmission1253_to_transmission2463_electricity,1,1
transmission1716_to_transmission1446_electricity,1,1
transmission1446_to_transmission1347_electricity,1,1
transmission2184_to_transmission1237_electricity,1,1
transmission1237_to_transmission2101_electricity,1,1
transmission2101_to_transmission1433_electricity,1,1
transmission1433_to_transmission695_electricity,1,1
transmission2101_to_transmission1278_electricity,1,1
transmission1278_to_transmission2742_electricity,1,1
transmission1278_to_transmission2052_electricity,1,1
transmission2052_to_transmission2493_electricity,1,1
transmission2493_to_transmission1973_electricity,1,1
transmission1973_to_transmission934_electricity,1,1
transmission934_to_transmission738_electricity,1,1
transmission738_to_transmission1374_electricity,1,1
transmission1374_to_transmission2742_electricity,1,1
transmission375_to_transmission1007_electricity,1,1
transmission1007_to_transmission1925_electricity,1,1
transmission1925_to_transmission2456_electricity,1,1
transmission2456_to_transmission2155_electricity,1,1
transmission2155_to_transmission810_electricity,1,1
transmission810_to_transmission797_electricity,1,1
transmission797_to_transmission1721_electricity,1,1
transmission1721_to_transmission1471_electricity,1,1
transmission1471_to_transmission1353_electricity,1,1
transmission1353_to_transmission1239_electricity,1,1
transmission1239_to_transmission499_electricity,1,1
transmission499_to_transmission344_electricity,1,1
transmission344_to_transmission596_electricity,1,1
transmission2669_to_transmission1234_electricity,1,1
transmission1234_to_transmission1716_electricity,1,1
transmission1716_to_transmission1184_electricity,1,1
transmission1184_to_transmission375_electricity,1,1
transmission2669_to_transmission998_electricity,1,1
transmission998_to_transmission1446_electricity,1,1
transmission1446_to_transmission1322_electricity,1,1
transmission2479_to_transmission1609_electricity,1,1
transmission1609_to_transmission1219_electricity,1,1
transmission1219_to_transmission1249_electricity,1,1
transmission1249_to_transmission1619_electricity,1,1
transmission1619_to_transmission2353_electricity,1,1
transmission2353_to_transmission919_electricity,1,1
transmission919_to_transmission167_electricity,1,1
transmission2123_to_transmission2756_electricity,1,1
transmission2756_to_transmission1850_electricity,1,1
transmission596_to_transmission1918_electricity,1,1
transmission1918_to_transmission2508_electricity,1,1
transmission2508_to_transmission2080_electricity,1,1
transmission2080_to_transmission2731_electricity,1,1
transmission2731_to_transmission1418_electricity,1,1
transmission1418_to_transmission1506_electricity,1,1
transmission1506_to_transmission2924_electricity,1,1
transmission167_to_transmission2123_electricity,1,1
transmission2123_to_transmission252_electricity,1,1
transmission252_to_transmission177_electricity,1,1
transmission177_to_transmission2614_electricity,1,1
transmission37_to_transmission2786_electricity,1,1
transmission2786_to_transmission1481_electricity,1,1
transmission1481_to_transmission1918_electricity,1,1
transmission1918_to_transmission2123_electricity,1,1
transmission1850_to_transmission1902_electricity,1,1
transmission1902_to_transmission1383_electricity,1,1
transmission3_to_transmission2669_electricity,1,1
transmission1322_to_transmission131_electricity,1,1
transmission131_to_transmission2473_electricity,1,1
transmission2473_to_transmission831_electricity,1,1
transmission831_to_transmission479_electricity,1,1
transmission479_to_transmission2479_electricity,1,1
transmission716_to_transmission673_electricity,1,1
transmission673_to_transmission2072_electricity,1,1
transmission1636_to_transmission2020_electricity,1,1
transmission2408_to_transmission2213_electricity,1,1
transmission2213_to_transmission1636_electricity,1,1
transmission1815_to_transmission1581_electricity,1,1
transmission2708_to_transmission2538_electricity,1,1
transmission2538_to_transmission1131_electricity,1,1
transmission1131_to_transmission2793_electricity,1,1
transmission2793_to_transmission1815_electricity,1,1
transmission350_to_transmission2781_electricity,1,1
transmission2781_to_transmission764_electricity,1,1
transmission1837_to_transmission350_electricity,1,1
transmission2074_to_transmission637_electricity,1,1
transmission444_to_transmission2486_electricity,1,1
transmission2486_to_transmission2074_electricity,1,1
transmission1606_to_transmission1678_electricity,1,1
transmission764_to_transmission1411_electricity,1,1
transmission1411_to_transmission459_electricity,1,1
transmission459_to_transmission286_electricity,1,1
transmission286_to_transmission1241_electricity,1,1
transmission1241_to_transmission1044_electricity,1,1
transmission1044_to_transmission1286_electricity,1,1
transmission704_to_transmission346_electricity,1,1
transmission346_to_transmission2468_electricity,1,1
transmission2468_to_transmission2927_electricity,1,1
transmission2927_to_transmission1843_electricity,1,1
transmission2811_to_transmission419_electricity,1,1
transmission459_to_transmission76_electricity,1,1
transmission76_to_transmission1844_electricity,1,1
transmission76_to_transmission2705_electricity,1,1
transmission2705_to_transmission1037_electricity,1,1
transmission1294_to_transmission2109_electricity,1,1
transmission2109_to_transmission2174_electricity,1,1
transmission2174_to_transmission901_electricity,1,1
transmission901_to_transmission1001_electricity,1,1
transmission1001_to_transmission77_electricity,1,1
transmission77_to_transmission141_electricity,1,1
transmission141_to_transmission306_electricity,1,1
transmission306_to_transmission1472_electricity,1,1
transmission1472_to_transmission2707_electricity,1,1
transmission2707_to_transmission1574_electricity,1,1
transmission1574_to_transmission1352_electricity,1,1
transmission1352_to_transmission1804_electricity,1,1
transmission1804_to_transmission578_electricity,1,1
transmission578_to_transmission1888_electricity,1,1
transmission1931_to_transmission2394_electricity,1,1
transmission2394_to_transmission1196_electricity,1,1
transmission1196_to_transmission412_electricity,1,1
transmission2717_to_transmission645_electricity,1,1
transmission852_to_transmission1682_electricity,1,1
transmission2295_to_transmission2717_electricity,1,1
transmission2717_to_transmission852_electricity,1,1
transmission852_to_transmission1397_electricity,1,1
transmission1838_to_transmission1466_electricity,1,1
transmission1466_to_transmission1423_electricity,1,1
transmission2790_to_transmission1671_electricity,1,1
transmission1671_to_transmission1813_electricity,1,1
transmission1667_to_transmission2102_electricity,1,1
transmission1667_to_transmission486_electricity,1,1
transmission486_to_transmission346_electricity,1,1
transmission486_to_transmission1796_electricity,1,1
