nodes,techs,parameters,timesteps,2050/01/01 00:00
D0503100000014852,demand_LQ_heat,sink_use_equals,,6.946931269496118
D0503100000014854,demand_LQ_heat,sink_use_equals,,7.600091731417994
D0503100000015289,demand_LQ_heat,sink_use_equals,,6.623339175354728
D0503100000015290,demand_LQ_heat,sink_use_equals,,5.559164115619271
D0503100000015291,demand_LQ_heat,sink_use_equals,,5.516676327111127
D0503100000015292,demand_LQ_heat,sink_use_equals,,6.277568611200876
D0503100000015293,demand_LQ_heat,sink_use_equals,,5.589769120343364
D0503100000015294,demand_LQ_heat,sink_use_equals,,6.327142456750904
D0503100000015295,demand_LQ_heat,sink_use_equals,,6.307531374843962
D0503100000015297,demand_LQ_heat,sink_use_equals,,6.6538675448439655
D0503100000015298,demand_LQ_heat,sink_use_equals,,5.762628000443747
D0503100000015299,demand_LQ_heat,sink_use_equals,,6.725855126416687
D0503100000015300,demand_LQ_heat,sink_use_equals,,6.6049959322287854
D0503100000015304,demand_LQ_heat,sink_use_equals,,5.984244585981395
D0503100000015305,demand_LQ_heat,sink_use_equals,,6.453773543352206
D0503100000015306,demand_LQ_heat,sink_use_equals,,5.763780804594711
D0503100000015307,demand_LQ_heat,sink_use_equals,,6.268308007308308
D0503100000015312,demand_LQ_heat,sink_use_equals,,6.2675825995514405
D0503100000015314,demand_LQ_heat,sink_use_equals,,7.293680862416467
D0503100000015316,demand_LQ_heat,sink_use_equals,,6.700811611090929
D0503100000015317,demand_LQ_heat,sink_use_equals,,6.135184800621415
D0503100000015318,demand_LQ_heat,sink_use_equals,,7.955873599587439
D0503100000015402,demand_LQ_heat,sink_use_equals,,7.26386446894938
D0503100000015404,demand_LQ_heat,sink_use_equals,,6.885195708342332
D0503100000015405,demand_LQ_heat,sink_use_equals,,6.512930087370504
D0503100000015406,demand_LQ_heat,sink_use_equals,,7.379671887358439
D0503100000015408,demand_LQ_heat,sink_use_equals,,6.882822403140495
D0503100000015409,demand_LQ_heat,sink_use_equals,,6.100943312020466
D0503100000015410,demand_LQ_heat,sink_use_equals,,6.24774367990103
D0503100000015412,demand_LQ_heat,sink_use_equals,,5.571823660254373
D0503100000015413,demand_LQ_heat,sink_use_equals,,6.432069219345788
D0503100000015414,demand_LQ_heat,sink_use_equals,,7.313567267123368
D0503100000015415,demand_LQ_heat,sink_use_equals,,6.677679454436974
D0503100000015416,demand_LQ_heat,sink_use_equals,,6.042282130327118
D0503100000015418,demand_LQ_heat,sink_use_equals,,6.26040108299512
D0503100000015420,demand_LQ_heat,sink_use_equals,,5.662535385317908
D0503100000015424,demand_LQ_heat,sink_use_equals,,5.706273842672207
D0503100000015425,demand_LQ_heat,sink_use_equals,,6.077502932044866
D0503100000015428,demand_LQ_heat,sink_use_equals,,6.512642513533757
D0503100000015431,demand_LQ_heat,sink_use_equals,,6.441070400454744
D0503100000015432,demand_LQ_heat,sink_use_equals,,7.519859974170144
D0503100000018688,demand_LQ_heat,sink_use_equals,,541.0198301136278
D0503100000018691,demand_LQ_heat,sink_use_equals,,6.867615924665859
D0503100000018692,demand_LQ_heat,sink_use_equals,,7.4150557333656435
D0503100000018693,demand_LQ_heat,sink_use_equals,,6.855923869695966
D0503100000018694,demand_LQ_heat,sink_use_equals,,5.6958561285487885
D0503100000018695,demand_LQ_heat,sink_use_equals,,6.552443554971128
D0503100000018698,demand_LQ_heat,sink_use_equals,,6.093450890476811
D0503100000018699,demand_LQ_heat,sink_use_equals,,5.817228172024458
D0503100000018700,demand_LQ_heat,sink_use_equals,,6.787244739567517
D0503100000018701,demand_LQ_heat,sink_use_equals,,6.520051432608105
D0503100000018704,demand_LQ_heat,sink_use_equals,,5.029275855700807
D0503100000018705,demand_LQ_heat,sink_use_equals,,5.788591775172981
D0503100000018706,demand_LQ_heat,sink_use_equals,,6.577065122158744
D0503100000018707,demand_LQ_heat,sink_use_equals,,7.183620300026416
D0503100000018708,demand_LQ_heat,sink_use_equals,,282.3588985144313
D0503100000018710,demand_LQ_heat,sink_use_equals,,6.079549850462991
D0503100000018711,demand_LQ_heat,sink_use_equals,,5.844533546159239
D0503100000018712,demand_LQ_heat,sink_use_equals,,6.535674305154295
D0503100000018785,demand_LQ_heat,sink_use_equals,,7.423840732224831
D0503100000018786,demand_LQ_heat,sink_use_equals,,6.54387608164406
D0503100000018787,demand_LQ_heat,sink_use_equals,,7.315963798096161
D0503100000018788,demand_LQ_heat,sink_use_equals,,6.9576316331461
D0503100000018789,demand_LQ_heat,sink_use_equals,,6.87757993652219
D0503100000018790,demand_LQ_heat,sink_use_equals,,6.232697920718795
D0503100000018791,demand_LQ_heat,sink_use_equals,,6.484187328479325
D0503100000018792,demand_LQ_heat,sink_use_equals,,5.996086175479428
D0503100000018793,demand_LQ_heat,sink_use_equals,,7.394223074448535
D0503100000018794,demand_LQ_heat,sink_use_equals,,7.801077772085415
D0503100000018795,demand_LQ_heat,sink_use_equals,,6.228086714733866
D0503100000018796,demand_LQ_heat,sink_use_equals,,5.760285297358693
D0503100000018797,demand_LQ_heat,sink_use_equals,,6.265272006199473
D0503100000018798,demand_LQ_heat,sink_use_equals,,6.515590768916849
D0503100000018799,demand_LQ_heat,sink_use_equals,,6.109093721905562
D0503100000018800,demand_LQ_heat,sink_use_equals,,5.78671995593089
D0503100000018801,demand_LQ_heat,sink_use_equals,,6.584161325066826
D0503100000018802,demand_LQ_heat,sink_use_equals,,6.097136005945199
D0503100000018803,demand_LQ_heat,sink_use_equals,,7.646855075809577
D0503100000018804,demand_LQ_heat,sink_use_equals,,7.585426362656288
D0503100000018805,demand_LQ_heat,sink_use_equals,,5.417502046501872
D0503100000018806,demand_LQ_heat,sink_use_equals,,5.738375783119893
D0503100000018807,demand_LQ_heat,sink_use_equals,,8.177264182569097
D0503100000018808,demand_LQ_heat,sink_use_equals,,6.41531658115131
D0503100000018809,demand_LQ_heat,sink_use_equals,,7.185679726150635
D0503100000018810,demand_LQ_heat,sink_use_equals,,6.9978791039752695
D0503100000018811,demand_LQ_heat,sink_use_equals,,6.321396291029745
D0503100000018812,demand_LQ_heat,sink_use_equals,,6.211867756910027
D0503100000018813,demand_LQ_heat,sink_use_equals,,6.451559486685905
D0503100000018814,demand_LQ_heat,sink_use_equals,,6.009694758733466
D0503100000018815,demand_LQ_heat,sink_use_equals,,5.759506147795371
D0503100000018879,demand_LQ_heat,sink_use_equals,,7.573814309923304
D0503100000018880,demand_LQ_heat,sink_use_equals,,5.32137720395418
D0503100000018881,demand_LQ_heat,sink_use_equals,,6.79493839318544
D0503100000018882,demand_LQ_heat,sink_use_equals,,6.510566852034291
D0503100000018883,demand_LQ_heat,sink_use_equals,,6.989363872691514
D0503100000018884,demand_LQ_heat,sink_use_equals,,6.524835313802808
D0503100000018892,demand_LQ_heat,sink_use_equals,,5.300585620795042
