techs,carrier_out,carrier_in
transmission575_to_transmission2865_heat,1,1
transmission2865_to_transmission2293_heat,1,1
transmission2293_to_transmission2023_heat,1,1
transmission1603_to_transmission2083_heat,1,1
transmission2083_to_transmission996_heat,1,1
transmission996_to_transmission1850_heat,1,1
transmission1850_to_transmission2485_heat,1,1
transmission2485_to_transmission1518_heat,1,1
transmission1518_to_transmission1863_heat,1,1
transmission1863_to_transmission2509_heat,1,1
transmission2509_to_transmission240_heat,1,1
transmission240_to_transmission2608_heat,1,1
transmission2608_to_transmission2245_heat,1,1
transmission2245_to_transmission330_heat,1,1
transmission330_to_transmission2264_heat,1,1
transmission2264_to_transmission2567_heat,1,1
transmission2567_to_transmission1298_heat,1,1
transmission1298_to_transmission244_heat,1,1
transmission244_to_transmission1948_heat,1,1
transmission1948_to_transmission951_heat,1,1
transmission951_to_transmission1258_heat,1,1
transmission1258_to_transmission2830_heat,1,1
transmission2830_to_transmission1824_heat,1,1
transmission1824_to_transmission1917_heat,1,1
transmission1917_to_transmission2495_heat,1,1
transmission2495_to_transmission1915_heat,1,1
transmission1915_to_transmission1407_heat,1,1
transmission1407_to_transmission1638_heat,1,1
transmission1638_to_transmission2403_heat,1,1
transmission2403_to_transmission2526_heat,1,1
transmission2526_to_transmission2642_heat,1,1
transmission2642_to_transmission2063_heat,1,1
transmission2063_to_transmission2849_heat,1,1
transmission2849_to_transmission1508_heat,1,1
transmission1508_to_transmission2537_heat,1,1
transmission2537_to_transmission1041_heat,1,1
transmission1041_to_transmission1780_heat,1,1
transmission1780_to_transmission2847_heat,1,1
transmission2847_to_transmission48_heat,1,1
transmission48_to_transmission2262_heat,1,1
transmission2262_to_transmission1710_heat,1,1
transmission1710_to_transmission1816_heat,1,1
transmission1816_to_transmission1475_heat,1,1
transmission1475_to_transmission2561_heat,1,1
transmission2234_to_transmission2518_heat,1,1
transmission2518_to_transmission42_heat,1,1
transmission42_to_transmission70_heat,1,1
transmission70_to_transmission1153_heat,1,1
transmission1153_to_transmission2816_heat,1,1
transmission2816_to_transmission863_heat,1,1
transmission863_to_transmission2922_heat,1,1
transmission2922_to_transmission398_heat,1,1
transmission398_to_transmission771_heat,1,1
transmission771_to_transmission184_heat,1,1
transmission184_to_transmission876_heat,1,1
transmission876_to_transmission1287_heat,1,1
transmission1287_to_transmission26_heat,1,1
transmission26_to_transmission1112_heat,1,1
transmission1112_to_transmission130_heat,1,1
transmission130_to_transmission789_heat,1,1
transmission789_to_transmission1434_heat,1,1
transmission1434_to_transmission2093_heat,1,1
transmission2093_to_transmission95_heat,1,1
transmission95_to_transmission2646_heat,1,1
transmission2646_to_transmission2258_heat,1,1
transmission2258_to_transmission236_heat,1,1
transmission236_to_transmission1753_heat,1,1
transmission1753_to_transmission340_heat,1,1
transmission340_to_transmission1229_heat,1,1
transmission1229_to_transmission1436_heat,1,1
transmission1436_to_transmission2038_heat,1,1
transmission2038_to_transmission2465_heat,1,1
transmission694_to_transmission1205_heat,1,1
transmission1205_to_transmission625_heat,1,1
transmission625_to_transmission1256_heat,1,1
transmission1256_to_transmission1565_heat,1,1
transmission1565_to_transmission2232_heat,1,1
transmission2232_to_transmission2181_heat,1,1
transmission2181_to_transmission2878_heat,1,1
