techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LQHtransmission2031_to_LQHtransmission643_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission643,LQHtransmission2031,
LQHtransmission643_to_LQHtransmission921_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission921,LQHtransmission643,
LQHtransmission921_to_LQHtransmission2037_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2037,LQHtransmission921,
LQHtransmission2037_to_LQHtransmission1784_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1784,LQHtransmission2037,
LQHtransmission1784_to_LQHtransmission1837_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1837,LQHtransmission1784,
LQHtransmission1837_to_LQHtransmission1012_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1012,LQHtransmission1837,
LQHtransmission1012_to_LQHtransmission1031_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1031,LQHtransmission1012,
LQHtransmission1031_to_LQHtransmission905_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission905,LQHtransmission1031,
LQHtransmission1968_to_LQHtransmission291_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission291,LQHtransmission1968,
LQHtransmission1752_to_LQHtransmission999_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission999,LQHtransmission1752,
LQHtransmission844_to_LQHtransmission790_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission790,LQHtransmission844,
LQHtransmission586_to_LQHtransmission1779_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1779,LQHtransmission586,
LQHtransmission6_to_LQHtransmission35_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission35,LQHtransmission6,
LQHtransmission821_to_LQHtransmission1752_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1752,LQHtransmission821,
LQHtransmission1758_to_LQHtransmission1941_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1941,LQHtransmission1758,
LQHtransmission1941_to_LQHtransmission28_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission28,LQHtransmission1941,
LQHtransmission28_to_LQHtransmission1574_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1574,LQHtransmission28,
LQHtransmission1574_to_LQHtransmission292_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission292,LQHtransmission1574,
LQHtransmission292_to_LQHtransmission16_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission16,LQHtransmission292,
LQHtransmission16_to_LQHtransmission162_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission162,LQHtransmission16,
