techs,name,total_flow_out_kw
D3_to_TH28,Heat distribution,10.0
D40_to_TE32,Electricity distribution,0.0
D40_to_TH32,Heat distribution,10.0
D41_to_TE32,Electricity distribution,0.0
D41_to_TH32,Heat distribution,10.0
D42_to_TE33,Electricity distribution,0.0
D42_to_TH33,Heat distribution,10.0
D43_to_TE17,Electricity distribution,0.0
D43_to_TH17,Heat distribution,10.0
D44_to_TE17,Electricity distribution,0.0
D44_to_TH17,Heat distribution,10.0
D45_to_TE16,Electricity distribution,0.0
D45_to_TH16,Heat distribution,10.0
D46_to_TE16,Electricity distribution,0.0
D46_to_TH16,Heat distribution,10.0
D47_to_TE15,Electricity distribution,0.0
D47_to_TH15,Heat distribution,10.0
D48_to_TE36,Electricity distribution,0.0
D48_to_TH36,Heat distribution,10.0
D49_to_TE14,Electricity distribution,0.0
D49_to_TH14,Heat distribution,10.0
D4_to_TE28,Electricity distribution,0.0
D4_to_TH28,Heat distribution,10.0
D50_to_TE14,Electricity distribution,0.0
D50_to_TH14,Heat distribution,10.0
D51_to_TE14,Electricity distribution,0.0
D51_to_TH14,Heat distribution,10.0
D52_to_TE36,Electricity distribution,0.0
D52_to_TH36,Heat distribution,10.0
D53_to_TE37,Electricity distribution,0.0
D53_to_TH37,Heat distribution,10.0
D54_to_TE37,Electricity distribution,0.0
D54_to_TH37,Heat distribution,10.0
D55_to_TE33,Electricity distribution,0.0
D55_to_TH33,Heat distribution,10.0
D56_to_TE34,Electricity distribution,0.0
D56_to_TH34,Heat distribution,10.0
D57_to_TE34,Electricity distribution,0.0
D57_to_TH34,Heat distribution,10.0
D58_to_TE34,Electricity distribution,0.0
D58_to_TH34,Heat distribution,10.0
D59_to_TE35,Electricity distribution,0.0
D59_to_TH35,Heat distribution,10.0
D5_to_TE18,Electricity distribution,0.0
D5_to_TH18,Heat distribution,10.0
D60_to_TE35,Electricity distribution,0.0
D60_to_TH35,Heat distribution,10.0
D61_to_TE41,Electricity distribution,0.0
D61_to_TH41,Heat distribution,10.0
D62_to_TE41,Electricity distribution,0.0
D62_to_TH41,Heat distribution,10.0
D63_to_TE37,Electricity distribution,0.0
D63_to_TH37,Heat distribution,10.0
D64_to_TE38,Electricity distribution,0.0
D64_to_TH38,Heat distribution,10.0
D65_to_TE38,Electricity distribution,0.0
D65_to_TH38,Heat distribution,10.0
D66_to_TE39,Electricity distribution,0.0
D66_to_TH39,Heat distribution,10.0
D67_to_TE39,Electricity distribution,0.0
D67_to_TH39,Heat distribution,10.0
D68_to_TE39,Electricity distribution,0.0
D68_to_TH39,Heat distribution,10.0
D69_to_TE41,Electricity distribution,0.0
D69_to_TH41,Heat distribution,10.0
D6_to_TE20,Electricity distribution,0.0
D6_to_TH20,Heat distribution,10.0
D70_to_TE41,Electricity distribution,0.0
D70_to_TH41,Heat distribution,10.0
D71_to_TE31,Electricity distribution,0.0
D71_to_TH31,Heat distribution,10.0
D72_to_TE31,Electricity distribution,0.0
D72_to_TH31,Heat distribution,10.0
D73_to_TE14,Electricity distribution,0.0
D73_to_TH14,Heat distribution,10.0
D74_to_TE43,Electricity distribution,0.0
D74_to_TH43,Heat distribution,10.0
D75_to_TE43,Electricity distribution,0.0
D75_to_TH43,Heat distribution,10.0
D76_to_TE43,Electricity distribution,0.0
D76_to_TH43,Heat distribution,10.0
D77_to_TE43,Electricity distribution,0.0
D77_to_TH43,Heat distribution,10.0
D78_to_TE43,Electricity distribution,0.0
D78_to_TH43,Heat distribution,10.0
D79_to_TE37,Electricity distribution,0.0
D79_to_TH37,Heat distribution,10.0
D7_to_TE20,Electricity distribution,0.0
D7_to_TH20,Heat distribution,10.0
D80_to_TE37,Electricity distribution,0.0
D80_to_TH37,Heat distribution,10.0
D81_to_TE37,Electricity distribution,0.0
D81_to_TH37,Heat distribution,10.0
D82_to_TE37,Electricity distribution,0.0
D82_to_TH37,Heat distribution,10.0
D83_to_TE37,Electricity distribution,0.0
D83_to_TH37,Heat distribution,10.0
D84_to_TE55,Electricity distribution,0.0
D84_to_TH55,Heat distribution,10.0
D85_to_TE40,Electricity distribution,0.0
D85_to_TH40,Heat distribution,10.0
D86_to_TE40,Electricity distribution,0.0
D86_to_TH40,Heat distribution,10.0
D87_to_TE40,Electricity distribution,0.0
D87_to_TH40,Heat distribution,10.0
D88_to_TE40,Electricity distribution,0.0
D88_to_TH40,Heat distribution,10.0
D89_to_TE54,Electricity distribution,0.0
D89_to_TH54,Heat distribution,10.0
D8_to_TE20,Electricity distribution,0.0
D8_to_TH20,Heat distribution,10.0
D90_to_TE54,Electricity distribution,0.0
D90_to_TH54,Heat distribution,10.0
D91_to_TE73,Electricity distribution,0.0
D91_to_TH73,Heat distribution,10.0
D92_to_TE73,Electricity distribution,0.0
D92_to_TH73,Heat distribution,10.0
D93_to_TE44,Electricity distribution,0.0
D93_to_TH44,Heat distribution,10.0
D94_to_TE44,Electricity distribution,0.0
D94_to_TH44,Heat distribution,10.0
D95_to_TE44,Electricity distribution,0.0
D95_to_TH44,Heat distribution,10.0
D96_to_TE45,Electricity distribution,0.0
D96_to_TH45,Heat distribution,10.0
D97_to_TE46,Electricity distribution,0.0
D97_to_TH46,Heat distribution,10.0
D98_to_TE46,Electricity distribution,0.0
D98_to_TH46,Heat distribution,10.0
D99_to_TE53,Electricity distribution,0.0
D99_to_TH53,Heat distribution,10.0
D9_to_TE19,Electricity distribution,0.0
D9_to_TH19,Heat distribution,10.0
SE1_to_TE1,Electricity transmission,500.52718784586204
SE2_to_TE10,Electricity transmission,0.0
SE3_to_TE21,Electricity transmission,0.0
SE4_to_TE68,Electricity transmission,0.0
SE5_to_TE30,Electricity transmission,0.0
SH1_to_TE1,Electricity transmission,500.0
SH1_to_TH1,Heat transmission,1495.4825246297644
TE10_to_TE11,Electricity transmission,0.0
TE11_to_TE12,Electricity transmission,0.0
TE12_to_TE13,Electricity transmission,0.0
TE13_to_TE14,Electricity transmission,0.0
TE13_to_TE43,Electricity transmission,0.0
TE14_to_TE15,Electricity transmission,0.0
TE15_to_TE16,Electricity transmission,0.0
TE16_to_TE17,Electricity transmission,0.0
TE17_to_TE18,Electricity transmission,0.0
TE18_to_TE19,Electricity transmission,0.0
TE18_to_TE25,Electricity transmission,0.0
TE19_to_TE20,Electricity transmission,0.0
TE1_to_TE2,Electricity transmission,0.0
TE20_to_TE21,Electricity transmission,0.0
TE21_to_TE22,Electricity transmission,0.0
TE22_to_TE23,Electricity transmission,0.0
TE23_to_TE24,Electricity transmission,0.0
TE24_to_TE11,Electricity transmission,0.0
TE25_to_TE26,Electricity transmission,0.0
TE26_to_TE27,Electricity transmission,0.0
TE27_to_TE28,Electricity transmission,0.0
TE27_to_TE29,Electricity transmission,0.0
TE27_to_TE32,Electricity transmission,0.0
TE29_to_TE30,Electricity transmission,0.0
TE2_to_TE3,Electricity transmission,0.0
TE30_to_TE31,Electricity transmission,0.0
TE32_to_TE33,Electricity transmission,0.0
TE33_to_TE34,Electricity transmission,0.0
TE33_to_TE36,Electricity transmission,0.0
TE35_to_TE29,Electricity transmission,0.0
TE35_to_TE35,Electricity transmission,0.0
TE36_to_TE37,Electricity transmission,0.0
TE37_to_TE38,Electricity transmission,0.0
TE38_to_TE39,Electricity transmission,0.0
TE39_to_TE40,Electricity transmission,0.0
TE3_to_TE4,Electricity transmission,0.0
TE40_to_TE41,Electricity transmission,0.0
TE41_to_TE42,Electricity transmission,0.0
TE42_to_TE29,Electricity transmission,0.0
TE42_to_TE33,Electricity transmission,0.0
TE43_to_TE44,Electricity transmission,0.0
TE44_to_TE45,Electricity transmission,0.0
TE45_to_TE46,Electricity transmission,0.0
TE46_to_TE47,Electricity transmission,0.0
TE47_to_TE48,Electricity transmission,0.0
TE48_to_TE49,Electricity transmission,0.0
TE49_to_TE50,Electricity transmission,0.0
TE49_to_TE58,Electricity transmission,0.0
TE4_to_TE5,Electricity transmission,0.0
TE50_to_TE51,Electricity transmission,0.0
TE51_to_TE52,Electricity transmission,0.0
TE52_to_TE53,Electricity transmission,0.0
TE53_to_TE54,Electricity transmission,0.0
TE54_to_TE55,Electricity transmission,0.0
TE55_to_TE56,Electricity transmission,0.0
TE56_to_TE57,Electricity transmission,0.0
TE57_to_TE39,Electricity transmission,0.0
TE58_to_TE59,Electricity transmission,0.0
TE59_to_TE60,Electricity transmission,0.0
TE5_to_TE6,Electricity transmission,0.0
TE60_to_TE61,Electricity transmission,0.0
TE61_to_TE62,Electricity transmission,0.0
TE62_to_TE63,Electricity transmission,0.0
TE63_to_TE64,Electricity transmission,0.0
TE64_to_TE65,Electricity transmission,0.0
TE65_to_TE66,Electricity transmission,0.0
TE66_to_TE67,Electricity transmission,0.0
TE67_to_TE68,Electricity transmission,0.0
TE68_to_TE69,Electricity transmission,0.0
TE69_to_TE70,Electricity transmission,0.0
TE6_to_TE7,Electricity transmission,0.0
TE70_to_TE71,Electricity transmission,0.0
TE71_to_TE72,Electricity transmission,0.0
TE72_to_TE73,Electricity transmission,0.0
TE73_to_TE52,Electricity transmission,0.0
TE7_to_TE8,Electricity transmission,0.0
TE8_to_TE9,Electricity transmission,0.0
TE9_to_TE10,Electricity transmission,0.0
TH10_to_TH11,Heat transmission,1446.2926515208571
TH11_to_TH12,Heat transmission,1275.2044147224406
TH12_to_TH13,Heat transmission,1234.6028195719318
TH13_to_TH14,Heat transmission,441.2763989722957
TH13_to_TH43,Heat transmission,792.6608736834579
TH14_to_TH15,Heat transmission,401.09461442157215
TH15_to_TH16,Heat transmission,370.95774291334556
TH16_to_TH17,Heat transmission,320.8163528281339
TH17_to_TH18,Heat transmission,270.6517171217947
TH18_to_TH19,Heat transmission,0.0
TH18_to_TH25,Heat transmission,260.5307082577739
TH19_to_TH20,Heat transmission,30.005598309496428
TH1_to_TH2,Heat transmission,1489.948047758307
TH20_to_TH21,Heat transmission,60.02176403669766
TH21_to_TH22,Heat transmission,60.048069126281845
TH22_to_TH23,Heat transmission,70.07526219645274
TH23_to_TH24,Heat transmission,110.12341678775302
TH24_to_TH11,Heat transmission,150.1936428749764
TH25_to_TH26,Heat transmission,240.44982891193447
TH26_to_TH27,Heat transmission,220.34590365248386
TH27_to_TH28,Heat transmission,20.009630286406775
TH27_to_TH29,Heat transmission,100.13551243616544
TH27_to_TH32,Heat transmission,90.06014652145528
TH29_to_TH30,Heat transmission,30.027850985072746
TH2_to_TH3,Heat transmission,1482.5213743232594
TH30_to_TH31,Heat transmission,20.009637943655903
TH32_to_TH33,Heat transmission,70.03983674461655
TH33_to_TH34,Heat transmission,30.006595212542216
TH33_to_TH36,Heat transmission,20.00933822690721
TH35_to_TH29,Heat transmission,20.00558561892409
TH35_to_TH35,Heat transmission,0.0
TH36_to_TH37,Heat transmission,0.0
TH37_to_TH38,Heat transmission,80.03484960426594
TH38_to_TH39,Heat transmission,100.05533807265262
TH39_to_TH40,Heat transmission,40.016714654550135
TH3_to_TH4,Heat transmission,1471.9653618932082
TH40_to_TH41,Heat transmission,0.0
TH41_to_TH42,Heat transmission,40.01012884194624
TH42_to_TH29,Heat transmission,40.035306313521595
TH42_to_TH33,Heat transmission,0.0
TH43_to_TH44,Heat transmission,742.3680558907724
TH44_to_TH45,Heat transmission,711.9511780515112
TH45_to_TH46,Heat transmission,701.72427057714
TH46_to_TH47,Heat transmission,661.5922461261824
TH47_to_TH48,Heat transmission,631.3696860043751
TH48_to_TH49,Heat transmission,591.1667677316448
TH49_to_TH50,Heat transmission,370.71170236046925
TH49_to_TH58,Heat transmission,200.29042780398714
TH4_to_TH5,Heat transmission,1467.9662472651987
TH50_to_TH51,Heat transmission,370.6348438693962
TH51_to_TH52,Heat transmission,370.5486359465085
TH52_to_TH53,Heat transmission,220.36327374280847
TH53_to_TH54,Heat transmission,200.30010247463423
TH54_to_TH55,Heat transmission,180.24926717180136
TH55_to_TH56,Heat transmission,170.21780736199932
TH56_to_TH57,Heat transmission,170.18272495678622
TH57_to_TH39,Heat transmission,170.14006704860594
TH58_to_TH59,Heat transmission,180.2476479236099
TH59_to_TH60,Heat transmission,170.21497334072154
TH5_to_TH6,Heat transmission,1463.0845806574998
TH60_to_TH61,Heat transmission,150.17088650558875
TH61_to_TH62,Heat transmission,130.1160567868255
TH62_to_TH63,Heat transmission,120.0776350376776
TH63_to_TH64,Heat transmission,100.05292865894924
TH64_to_TH65,Heat transmission,50.0178965171697
TH65_to_TH66,Heat transmission,30.00693472115593
TH66_to_TH67,Heat transmission,0.0
TH67_to_TH68,Heat transmission,10.002304038368218
TH68_to_TH69,Heat transmission,30.00829448490816
TH69_to_TH70,Heat transmission,30.022267868662837
TH6_to_TH7,Heat transmission,1458.2586009315914
TH70_to_TH71,Heat transmission,50.03612053220413
TH71_to_TH72,Heat transmission,80.05280972676033
TH72_to_TH73,Heat transmission,100.07332880215688
TH73_to_TH52,Heat transmission,130.10511953158982
TH7_to_TH8,Heat transmission,1457.4081126411213
TH8_to_TH9,Heat transmission,1454.6710051183443
TH9_to_TH10,Heat transmission,1449.2837715538944
supply_electricity,National grid import,500.6453055572133
supply_geothermal,Geothermal heat extraction,1498.6538218222577
