geometry,lat,lon,id
POINT (4.3579717 51.9930904),51.9930904,4.3579717,transmission636
POINT (4.3604102 51.9942131),51.9942131,4.3604102,transmission637
POINT (4.3610543 51.9940441),51.9940441,4.3610543,transmission638
POINT (4.3609272 51.9932541),51.9932541,4.3609272,transmission639
POINT (4.3598757 51.993854),51.993854,4.3598757,transmission640
POINT (4.3614141 51.9917927),51.9917927,4.3614141,transmission641
POINT (4.3595037 51.9940809),51.9940809,4.3595037,transmission642
POINT (4.3608792 51.9951939),51.9951939,4.3608792,transmission643
POINT (4.3580317 51.9954147),51.9954147,4.3580317,transmission644
POINT (4.3590403 51.9947472),51.9947472,4.3590403,transmission645
POINT (4.3605615 51.9918042),51.9918042,4.3605615,transmission646
POINT (4.3616631 51.9939481),51.9939481,4.3616631,transmission647
POINT (4.3588428 51.9905365),51.9905365,4.3588428,transmission648
POINT (4.3584134 51.9962514),51.9962514,4.3584134,transmission649
POINT (4.363109 51.9913025),51.9913025,4.363109,transmission650
POINT (4.3616706 51.9937323),51.9937323,4.3616706,transmission651
POINT (4.360754 51.9934654),51.9934654,4.360754,transmission652
POINT (4.3605092 51.9927998),51.9927998,4.3605092,transmission653
POINT (4.3578215 51.9927273),51.9927273,4.3578215,transmission654
POINT (4.359975 51.9919268),51.9919268,4.359975,transmission655
POINT (4.3561598 51.9942387),51.9942387,4.3561598,transmission656
POINT (4.3565613 51.9933565),51.9933565,4.3565613,transmission657
POINT (4.3588373 51.9951077),51.9951077,4.3588373,transmission658
POINT (4.3575829 51.9924189),51.9924189,4.3575829,transmission659
POINT (4.3555102 51.9951172),51.9951172,4.3555102,transmission660
POINT (4.3618575 51.9915609),51.9915609,4.3618575,transmission661
POINT (4.3611403 51.9963493),51.9963493,4.3611403,transmission662
POINT (4.3571591 51.9953728),51.9953728,4.3571591,transmission663
POINT (4.3594866 51.994873),51.994873,4.3594866,transmission664
POINT (4.3601698 51.9966639),51.9966639,4.3601698,transmission665
POINT (4.3616296 51.9917437),51.9917437,4.3616296,transmission666
POINT (4.3562048 51.9941573),51.9941573,4.3562048,transmission667
POINT (4.3610187 51.9916359),51.9916359,4.3610187,transmission668
POINT (4.3579606 51.9955362),51.9955362,4.3579606,transmission669
POINT (4.3603098 51.9936405),51.9936405,4.3603098,transmission670
POINT (4.3600702 51.993903),51.993903,4.3600702,transmission671
POINT (4.3604791 51.9935898),51.9935898,4.3604791,transmission672
POINT (4.358006 51.9905853),51.9905853,4.358006,transmission673
POINT (4.3576655 51.9914358),51.9914358,4.3576655,transmission674
POINT (4.3564045 51.9937921),51.9937921,4.3564045,transmission675
POINT (4.3623524 51.9926535),51.9926535,4.3623524,transmission676
