run_id,neighborhood,year,scenario,topology_source,technology_parameters_heat_pump_cop,results_summary_supply_geothermal_capacity_adjusted_kW,results_summary_heat_pump_capacity_kW,results_summary_total_heat_demand_kW,lv_electricity_supply,geothermal_heat_div_cop,combined_energy_supply_kW,result_type
20260121_122454,multatulibuurt,2013,district_heating,stedin,4.0,6234.853077387273,0.0,5163.878999545072,0.0,188.93494173900825,188.93494173900825,median
20260121_122454,multatulibuurt,2013,district_heating,osm,4.0,6308.920093362571,0.0,5163.878999545072,0.0,191.17939676856275,191.17939676856275,median
20260121_122454,multatulibuurt,2013,full_electrification,stedin,4.0,,5163.878999545072,5163.878999545072,1372.2519831780564,0.0,1372.2519831780564,median
20260121_122454,multatulibuurt,2013,full_electrification,osm,4.0,,5163.878999545072,5163.878999545072,1339.955639807806,0.0,1339.955639807806,median
20260121_122454,multatulibuurt,2013,hybrid,stedin,4.0,2947.8885690886,2697.736170339424,5163.878999545072,682.1799741472571,89.32995663904849,771.5099307863056,median
20260121_122454,multatulibuurt,2013,hybrid,osm,4.0,2936.26559801824,2697.736170339424,5163.878999545072,684.7593115122132,88.97774539449212,773.7370569067053,median
20260121_122454,multatulibuurt,2019,district_heating,stedin,4.0,5760.339704227906,0.0,4735.97523464146,0.0,174.55574861296685,174.55574861296685,median
20260121_122454,multatulibuurt,2019,district_heating,osm,4.0,5835.426536243851,0.0,4735.975234641459,0.0,176.8311071589046,176.8311071589046,median
20260121_122454,multatulibuurt,2019,full_electrification,stedin,4.0,,4735.97523464146,4735.97523464146,1252.570615249678,0.0,1252.570615249678,median
20260121_122454,multatulibuurt,2019,full_electrification,osm,4.0,,4735.975234641459,4735.975234641459,1226.177303971802,0.0,1226.177303971802,median
20260121_122454,multatulibuurt,2019,hybrid,stedin,4.0,2764.531357480884,2434.853895882756,4735.97523464146,615.030328244624,83.77367749942073,698.8040057440447,median
20260121_122454,multatulibuurt,2019,hybrid,osm,4.0,2752.908386410525,2434.853895882756,4735.97523464146,617.1229396625793,83.4214662548644,700.5444059174437,median
20260121_122454,multatulibuurt,2020,district_heating,stedin,4.0,5208.482935992957,0.0,4239.026170485219,0.0,157.8328162422108,157.8328162422108,median
20260121_122454,multatulibuurt,2020,district_heating,osm,4.0,5284.5008259478855,0.0,4239.02617048522,0.0,160.13638866508745,160.13638866508745,median
20260121_122454,multatulibuurt,2020,full_electrification,stedin,4.0,,4239.026170485219,4239.026170485219,1111.325929268036,0.0,1111.325929268036,median
20260121_122454,multatulibuurt,2020,full_electrification,osm,4.0,,4239.02617048522,4239.02617048522,1093.1049267889184,0.0,1093.1049267889184,median
20260121_122454,multatulibuurt,2020,hybrid,stedin,4.0,2514.48776373851,2162.944066094653,4239.026170485219,545.6751070352668,76.19659890116696,621.8717059364337,median
20260121_122454,multatulibuurt,2020,hybrid,osm,4.0,2502.8647926681506,2162.944066094653,4239.026170485219,547.3663258287464,75.84438765661062,623.210713485357,median
20260121_122454,holstbuurt,2013,district_heating,stedin,4.0,12859.484220154687,0.0,11195.228861364363,0.0,389.6813400046875,389.6813400046875,median
20260121_122454,holstbuurt,2013,district_heating,osm,4.0,12881.480802330556,0.0,11195.228861364363,0.0,390.3479031009259,390.3479031009259,median
20260121_122454,holstbuurt,2013,full_electrification,stedin,4.0,,11195.228861364363,11195.228861364363,2961.3399937543536,0.0,2961.3399937543536,median
20260121_122454,holstbuurt,2013,full_electrification,osm,4.0,,11195.228861364363,11195.228861364363,2936.123596577528,0.0,2936.123596577528,median
20260121_122454,holstbuurt,2013,hybrid,stedin,4.0,11308.368898223627,1249.2596259876798,11195.228861364369,317.08539171053553,342.67784540071597,659.7632371112516,median
20260121_122454,holstbuurt,2013,hybrid,osm,4.0,11296.655372168374,1249.2596259876798,11195.228861364369,316.73885112237394,342.3228900657083,659.0617411880822,median
20260121_122454,holstbuurt,2019,district_heating,stedin,4.0,12012.62156022762,0.0,10433.052467430009,0.0,364.01883515841274,364.01883515841274,median
20260121_122454,holstbuurt,2019,district_heating,osm,4.0,12034.61814240349,0.0,10433.052467430003,0.0,364.6853982546512,364.6853982546512,median
20260121_122454,holstbuurt,2019,full_electrification,stedin,4.0,,10433.052467430009,10433.052467430009,2753.024787768729,0.0,2753.024787768729,median
20260121_122454,holstbuurt,2019,full_electrification,osm,4.0,,10433.052467430003,10433.052467430003,2729.252992164733,0.0,2729.252992164733,median
20260121_122454,holstbuurt,2019,hybrid,stedin,4.0,10573.249102881267,1148.691047861446,10433.052467430009,291.2328248950871,320.401487966099,611.6343128611861,median
20260121_122454,holstbuurt,2019,hybrid,osm,4.0,10561.535576826012,1148.691047861446,10433.052467430009,290.937053858556,320.0465326310913,610.9835864896472,median
20260121_122454,holstbuurt,2020,district_heating,stedin,4.0,10495.930759388562,0.0,9068.030746674853,0.0,318.05850786025945,318.05850786025945,median
20260121_122454,holstbuurt,2020,district_heating,osm,4.0,10517.927341564426,0.0,9068.03074667485,0.0,318.72507095649775,318.72507095649775,median
20260121_122454,holstbuurt,2020,full_electrification,stedin,4.0,,9068.03074667485,9068.03074667485,2380.6414348074327,0.0,2380.6414348074327,median
20260121_122454,holstbuurt,2020,full_electrification,osm,4.0,,9068.03074667485,9068.03074667485,2361.257500936155,0.0,2361.257500936155,median
20260121_122454,holstbuurt,2020,hybrid,stedin,4.0,9256.052101854695,969.1466280302031,9068.03074667485,245.1248526486844,280.4864273289302,525.6112799776146,median
20260121_122454,holstbuurt,2020,hybrid,osm,4.0,9244.338575799444,969.1466280302031,9068.03074667485,244.93621582843383,280.13147199392256,525.0676878223564,median
20260121_122454,mythologiebuurt,2013,district_heating,stedin,4.0,7871.656706811648,0.0,6949.155142941,0.0,238.5350517215651,238.5350517215651,median
20260121_122454,mythologiebuurt,2013,district_heating,osm,4.0,7874.139079434024,0.0,6949.155142941,0.0,238.61027513436437,238.61027513436437,median
20260121_122454,mythologiebuurt,2013,full_electrification,stedin,4.0,,6949.155142941,6949.155142941,1873.81936170605,0.0,1873.81936170605,median
20260121_122454,mythologiebuurt,2013,full_electrification,osm,4.0,,6949.155142941,6949.155142941,1989.056473418725,0.0,1989.056473418725,median
20260121_122454,mythologiebuurt,2013,hybrid,stedin,4.0,7837.737100360651,26.83162232750748,6949.155142941,6.729159929476319,237.50718485941368,244.23634478889,median
20260121_122454,mythologiebuurt,2013,hybrid,osm,4.0,7842.337847230114,26.83162232750748,6949.155142941,6.723181229107292,237.64660143121557,244.36978266032287,median
20260121_122454,mythologiebuurt,2019,district_heating,stedin,4.0,6801.680147289264,0.0,5986.176239370851,0.0,206.1115196148262,206.1115196148262,median
20260121_122454,mythologiebuurt,2019,district_heating,osm,4.0,6804.162519911638,0.0,5986.176239370851,0.0,206.1867430276254,206.1867430276254,median
20260121_122454,mythologiebuurt,2019,full_electrification,stedin,4.0,,5986.176239370851,5986.176239370851,1604.5005701372988,0.0,1604.5005701372988,median
20260121_122454,mythologiebuurt,2019,full_electrification,osm,4.0,,5986.176239370851,5986.176239370851,1671.607294445209,0.0,1671.607294445209,median
20260121_122454,mythologiebuurt,2019,hybrid,stedin,4.0,6716.837864807081,71.42289236893936,5986.176239370851,17.87130825455057,203.54054135779035,221.41184961234092,median
20260121_122454,mythologiebuurt,2019,hybrid,osm,4.0,6721.402358566583,71.42289236893936,5986.176239370851,17.96459639972921,203.6788593505025,221.6434557502317,median
20260121_122454,mythologiebuurt,2020,district_heating,stedin,4.0,5378.130059427262,0.0,4704.981160295047,0.0,162.97363816446247,162.97363816446247,median
20260121_122454,mythologiebuurt,2020,district_heating,osm,4.0,5380.612432049631,0.0,4704.981160295047,0.0,163.04886157726153,163.04886157726153,median
20260121_122454,mythologiebuurt,2020,full_electrification,stedin,4.0,,4704.981160295047,4704.981160295047,1239.9810153947758,0.0,1239.9810153947758,median
20260121_122454,mythologiebuurt,2020,full_electrification,osm,4.0,,4704.981160295047,4704.981160295047,1287.808293464521,0.0,1287.808293464521,median
20260121_122454,mythologiebuurt,2020,hybrid,stedin,4.0,5318.220922428212,48.98306143411877,4704.981160295047,12.25652569337423,161.15820977055188,173.41473546392612,median
20260121_122454,mythologiebuurt,2020,hybrid,osm,4.0,5322.785416187712,48.98306143411877,4704.981160295047,12.290558026840433,161.296527763264,173.58708579010445,median
20260121_122454,poptahofzuid,2013,district_heating,stedin,4.0,8541.371085470135,0.0,7520.457660008799,0.0,258.82942683242834,258.82942683242834,median
20260121_122454,poptahofzuid,2013,district_heating,osm,4.0,8573.285483160902,0.0,7520.4576600088,0.0,259.7965297927546,259.7965297927546,median
20260121_122454,poptahofzuid,2013,full_electrification,stedin,4.0,,7520.457660008799,7520.457660008799,2094.0675781273494,0.0,2094.0675781273494,median
20260121_122454,poptahofzuid,2013,full_electrification,osm,4.0,,7520.4576600088,7520.4576600088,2017.637614919353,0.0,2017.637614919353,median
20260121_122454,poptahofzuid,2013,hybrid,stedin,4.0,8340.136139849508,150.92949131882045,7520.4576600088,37.78979704352082,252.73139817725783,290.5211952207786,median
20260121_122454,poptahofzuid,2013,hybrid,osm,4.0,8358.775768509531,150.92949131882045,7520.4576600088,37.78529008333828,253.29623540937973,291.081525492718,median
20260121_122454,poptahofzuid,2019,district_heating,stedin,4.0,7314.671305681055,0.0,6416.427858198631,0.0,221.65670623275923,221.65670623275923,median
20260121_122454,poptahofzuid,2019,district_heating,osm,4.0,7346.585703371824,0.0,6416.427858198631,0.0,222.62380919308558,222.62380919308558,median
20260121_122454,poptahofzuid,2019,full_electrification,stedin,4.0,,6416.427858198631,6416.427858198631,1765.2994837872016,0.0,1765.2994837872016,median
20260121_122454,poptahofzuid,2019,full_electrification,osm,4.0,,6416.427858198631,6416.427858198631,1708.1731883254192,0.0,1708.1731883254192,median
20260121_122454,poptahofzuid,2019,hybrid,stedin,4.0,7141.673728031115,125.51586014520342,6416.427858198631,31.41692063347856,216.41435539488228,247.83127602836083,median
20260121_122454,poptahofzuid,2019,hybrid,osm,4.0,7160.313356691138,125.51586014520342,6416.427858198631,31.4185559211282,216.97919262700418,248.39774854813237,median
20260121_122454,poptahofzuid,2020,district_heating,stedin,4.0,6553.200769811618,0.0,5731.1043759161375,0.0,198.58184150944297,198.58184150944297,median
20260121_122454,poptahofzuid,2020,district_heating,osm,4.0,6585.115167502387,0.0,5731.104375916138,0.0,199.54894446976928,199.54894446976928,median
