techs,name,capacity_kw,distance_m,environmental_impact_per_kW,environmental_impact
D77_to_TH43_TH13_interp_2,Heat distribution,10.0,18.115298010607795,1.0,10.0
D78_to_TH43,Heat distribution,10.0,16.350855392273747,1.0,10.0
D79_to_TH37,Heat distribution,10.0,12.831499046323508,1.0,10.0
D7_to_TH21_TH20_interp_10,Heat distribution,10.0,7.799703044265884,1.0,10.0
D80_to_TH37,Heat distribution,10.0,20.46266990904562,1.0,10.0
D81_to_TH37,Heat distribution,10.0,25.173718164069626,1.0,10.0
D82_to_TH55_TH54_interp_3,Heat distribution,10.0,28.923026387978762,1.0,10.0
D83_to_TH55_TH54_interp_8,Heat distribution,10.0,27.67823924362771,1.0,10.0
D37_to_TH26_TH25_interp_5,Heat distribution,10.0,11.47053482513205,1.0,10.0
D36_to_TH26_TH25_interp_9,Heat distribution,10.0,12.43326682430393,1.0,10.0
D100_to_TH53_TH52_interp_7,Heat distribution,10.0,16.17384590612369,1.0,10.0
D34_to_TH14_TH13_interp_4,Heat distribution,10.0,17.42897347885754,1.0,10.0
D119_to_TH66_TH65_interp_5,Heat distribution,10.0,10.20699120362547,1.0,10.0
D11_to_TH19_TH18_interp_3,Heat distribution,10.0,7.626058751431901,1.0,10.0
D120_to_TH66_TH65_interp_10,Heat distribution,10.0,10.056057329003316,1.0,10.0
D121_to_TH46_TH45_interp_2,Heat distribution,10.0,11.81310373424089,1.0,10.0
D122_to_TH47_TH46_interp_10,Heat distribution,10.0,11.590420845697503,1.0,10.0
D123_to_TH47_TH46_interp_3,Heat distribution,10.0,11.422183033143673,1.0,10.0
D118_to_TH67_TH66_interp_10,Heat distribution,10.0,9.75037405013458,1.0,10.0
D124_to_TH48_TH47_interp_10,Heat distribution,10.0,12.070754021654613,1.0,10.0
D126_to_TH48_TH47_interp_4,Heat distribution,10.0,12.198519636918704,1.0,10.0
D127_to_TH49_TH48_interp_9,Heat distribution,10.0,25.183939794723937,1.0,10.0
D128_to_TH49_TH48_interp_6,Heat distribution,10.0,24.650558553483666,1.0,10.0
D129_to_TH58_TH49_interp_6,Heat distribution,10.0,23.889538997931684,1.0,10.0
D12_to_TH22_TH21_interp_1,Heat distribution,10.0,9.742601763349187,1.0,10.0
D130_to_TH58_TH49_interp_3,Heat distribution,10.0,22.891866842014057,1.0,10.0
D125_to_TH48_TH47_interp_7,Heat distribution,10.0,12.253984570080528,1.0,10.0
D117_to_TH67_TH66_interp_6,Heat distribution,10.0,10.300252132199962,1.0,10.0
D116_to_TH67_TH66_interp_1,Heat distribution,10.0,9.228784188230664,1.0,10.0
D115_to_TH68_TH67_interp_5,Heat distribution,10.0,9.8817122453273,1.0,10.0
D35_to_TH25_TH18_interp_4,Heat distribution,10.0,8.630667412721419,1.0,10.0
D102_to_TH52_TH51_interp_9,Heat distribution,10.0,15.85531646086774,1.0,10.0
D103_to_TH51_TH50_interp_5,Heat distribution,10.0,16.749372961799573,1.0,10.0
D104_to_TH48,Heat distribution,10.0,10.69802976231128,1.0,10.0
D105_to_TH52_TH73_interp_10,Heat distribution,10.0,10.153133486949535,1.0,10.0
D106_to_TH73_TH72_interp_4,Heat distribution,10.0,9.122985841142015,1.0,10.0
D107_to_TH73_TH72_interp_9,Heat distribution,10.0,8.322675429926504,1.0,10.0
D108_to_TH72_TH71_interp_4,Heat distribution,10.0,8.99665136190518,1.0,10.0
D109_to_TH72_TH71_interp_9,Heat distribution,10.0,9.395795241344143,1.0,10.0
D10_to_TH20_TH19_interp_10,Heat distribution,10.0,8.2818155790907,1.0,10.0
D110_to_TH71_TH70_interp_4,Heat distribution,10.0,8.859147249853763,1.0,10.0
D111_to_TH71_TH70_interp_9,Heat distribution,10.0,9.424857663210716,1.0,10.0
D112_to_TH70_TH69_interp_2,Heat distribution,10.0,8.723174306706454,1.0,10.0
D113_to_TH69_TH68_interp_9,Heat distribution,10.0,9.176510701861506,1.0,10.0
D114_to_TH68,Heat distribution,10.0,9.300271755546078,1.0,10.0
D131_to_TH59_TH58_interp_10,Heat distribution,10.0,21.5184715801847,1.0,10.0
