techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LQHtransmission2988_to_LQHtransmission1848_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1848,LQHtransmission2988,
LQHtransmission3041_to_LQHtransmission2875_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2875,LQHtransmission3041,
LQHtransmission2875_to_LQHtransmission1017_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1017,LQHtransmission2875,
LQHtransmission1017_to_LQHtransmission2023_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2023,LQHtransmission1017,
LQHtransmission2023_to_LQHtransmission50_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission50,LQHtransmission2023,
LQHtransmission50_to_LQHtransmission2797_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2797,LQHtransmission50,
LQHtransmission2797_to_LQHtransmission1992_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1992,LQHtransmission2797,
LQHtransmission1992_to_LQHtransmission3066_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3066,LQHtransmission1992,
LQHtransmission3066_to_LQHtransmission2092_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2092,LQHtransmission3066,
LQHtransmission2092_to_LQHtransmission1238_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1238,LQHtransmission2092,
LQHtransmission1238_to_LQHtransmission1342_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1342,LQHtransmission1238,
LQHtransmission1342_to_LQHtransmission26_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission26,LQHtransmission1342,
LQHtransmission26_to_LQHtransmission480_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission480,LQHtransmission26,
LQHtransmission480_to_LQHtransmission2781_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2781,LQHtransmission480,
LQHtransmission2781_to_LQHtransmission2851_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2851,LQHtransmission2781,
LQHtransmission2851_to_LQHtransmission940_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission940,LQHtransmission2851,
LQHtransmission940_to_LQHtransmission1060_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1060,LQHtransmission940,
LQHtransmission1060_to_LQHtransmission1114_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1114,LQHtransmission1060,
LQHtransmission1114_to_LQHtransmission826_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission826,LQHtransmission1114,
LQHtransmission826_to_LQHtransmission70_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission70,LQHtransmission826,
LQHtransmission70_to_LQHtransmission454_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission454,LQHtransmission70,
LQHtransmission454_to_LQHtransmission2300_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2300,LQHtransmission454,
LQHtransmission2300_to_LQHtransmission2920_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2920,LQHtransmission2300,
LQHtransmission2920_to_LQHtransmission3038_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3038,LQHtransmission2920,
LQHtransmission3038_to_LQHtransmission2828_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2828,LQHtransmission3038,
LQHtransmission2828_to_LQHtransmission2344_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2344,LQHtransmission2828,
LQHtransmission2344_to_LQHtransmission1805_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1805,LQHtransmission2344,
LQHtransmission1805_to_LQHtransmission426_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission426,LQHtransmission1805,
LQHtransmission426_to_LQHtransmission1283_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1283,LQHtransmission426,
LQHtransmission1283_to_LQHtransmission42_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission42,LQHtransmission1283,
LQHtransmission42_to_LQHtransmission1089_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1089,LQHtransmission42,
LQHtransmission1089_to_LQHtransmission3125_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3125,LQHtransmission1089,
LQHtransmission3125_to_LQHtransmission1696_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1696,LQHtransmission3125,
LQHtransmission1696_to_LQHtransmission2750_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2750,LQHtransmission1696,
LQHtransmission2750_to_LQHtransmission392_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission392,LQHtransmission2750,
LQHtransmission392_to_LQHtransmission2141_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2141,LQHtransmission392,
LQHtransmission2141_to_LQHtransmission1487_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1487,LQHtransmission2141,
LQHtransmission2624_to_LQHtransmission2675_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2675,LQHtransmission2624,
LQHtransmission2675_to_LQHtransmission1662_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1662,LQHtransmission2675,
LQHtransmission1662_to_LQHtransmission2256_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2256,LQHtransmission1662,
LQHtransmission2256_to_LQHtransmission1896_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1896,LQHtransmission2256,
LQHtransmission2591_to_LQHtransmission1730_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1730,LQHtransmission2591,
LQHtransmission1730_to_LQHtransmission1656_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1656,LQHtransmission1730,
LQHtransmission1656_to_LQHtransmission2055_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2055,LQHtransmission1656,
LQHtransmission2055_to_LQHtransmission2787_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2787,LQHtransmission2055,
LQHtransmission2787_to_LQHtransmission2088_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2088,LQHtransmission2787,
LQHtransmission2088_to_LQHtransmission1380_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1380,LQHtransmission2088,
LQHtransmission1380_to_LQHtransmission2475_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2475,LQHtransmission1380,
LQHtransmission2475_to_LQHtransmission753_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission753,LQHtransmission2475,
LQHtransmission753_to_LQHtransmission2964_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2964,LQHtransmission753,
LQHtransmission2964_to_LQHtransmission1325_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1325,LQHtransmission2964,
LQHtransmission1325_to_LQHtransmission2340_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2340,LQHtransmission1325,
LQHtransmission2340_to_LQHtransmission1625_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1625,LQHtransmission2340,
LQHtransmission1625_to_LQHtransmission974_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission974,LQHtransmission1625,
LQHtransmission974_to_LQHtransmission326_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission326,LQHtransmission974,
LQHtransmission326_to_LQHtransmission1933_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1933,LQHtransmission326,
LQHtransmission1933_to_LQHtransmission436_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission436,LQHtransmission1933,
LQHtransmission436_to_LQHtransmission312_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission312,LQHtransmission436,
LQHtransmission312_to_LQHtransmission2860_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2860,LQHtransmission312,
LQHtransmission2860_to_LQHtransmission149_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission149,LQHtransmission2860,
LQHtransmission149_to_LQHtransmission2110_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2110,LQHtransmission149,
LQHtransmission2110_to_LQHtransmission3116_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3116,LQHtransmission2110,
LQHtransmission3116_to_LQHtransmission660_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission660,LQHtransmission3116,
LQHtransmission660_to_LQHtransmission283_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission283,LQHtransmission660,
LQHtransmission283_to_LQHtransmission3001_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3001,LQHtransmission283,
LQHtransmission3001_to_LQHtransmission1474_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1474,LQHtransmission3001,
LQHtransmission2736_to_LQHtransmission3132_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3132,LQHtransmission2736,
LQHtransmission1848_to_LQHtransmission2606_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2606,LQHtransmission1848,
LQHtransmission2606_to_LQHtransmission1782_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1782,LQHtransmission2606,
LQHtransmission1782_to_LQHtransmission172_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission172,LQHtransmission1782,
LQHtransmission172_to_LQHtransmission311_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission311,LQHtransmission172,
LQHtransmission311_to_LQHtransmission568_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission568,LQHtransmission311,
LQHtransmission568_to_LQHtransmission481_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission481,LQHtransmission568,
LQHtransmission481_to_LQHtransmission1333_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1333,LQHtransmission481,
LQHtransmission1333_to_LQHtransmission2569_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2569,LQHtransmission1333,
LQHtransmission2569_to_LQHtransmission387_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission387,LQHtransmission2569,
LQHtransmission387_to_LQHtransmission1422_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1422,LQHtransmission387,
LQHtransmission1422_to_LQHtransmission984_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission984,LQHtransmission1422,
LQHtransmission280_to_LQHtransmission1659_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1659,LQHtransmission280,
LQHtransmission1659_to_LQHtransmission3060_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3060,LQHtransmission1659,
LQHtransmission3060_to_LQHtransmission2019_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2019,LQHtransmission3060,
LQHtransmission2019_to_LQHtransmission1034_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1034,LQHtransmission2019,
LQHtransmission1034_to_LQHtransmission782_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission782,LQHtransmission1034,
LQHtransmission782_to_LQHtransmission1806_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1806,LQHtransmission782,
LQHtransmission1806_to_LQHtransmission2027_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2027,LQHtransmission1806,
LQHtransmission2027_to_LQHtransmission29_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission29,LQHtransmission2027,
LQHtransmission29_to_LQHtransmission44_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission44,LQHtransmission29,
LQHtransmission44_to_LQHtransmission1181_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1181,LQHtransmission44,
LQHtransmission1181_to_LQHtransmission581_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission581,LQHtransmission1181,
LQHtransmission581_to_LQHtransmission772_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission772,LQHtransmission581,
LQHtransmission2301_to_LQHtransmission184_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission184,LQHtransmission2301,
LQHtransmission184_to_LQHtransmission1993_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1993,LQHtransmission184,
LQHtransmission1489_to_LQHtransmission1124_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1124,LQHtransmission1489,
LQHtransmission1124_to_LQHtransmission2788_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2788,LQHtransmission1124,
LQHtransmission2788_to_LQHtransmission2878_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2878,LQHtransmission2788,
LQHtransmission2878_to_LQHtransmission647_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission647,LQHtransmission2878,
LQHtransmission647_to_LQHtransmission3109_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission3109,LQHtransmission647,
LQHtransmission3109_to_LQHtransmission2803_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2803,LQHtransmission3109,
