techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LVEtransmission1555_to_LVEtransmission2137_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2137,LVEtransmission1555,
LVEtransmission2137_to_LVEtransmission316_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission316,LVEtransmission2137,
LVEtransmission1096_to_LVEtransmission1383_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1383,LVEtransmission1096,
LVEtransmission1383_to_LVEtransmission2881_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2881,LVEtransmission1383,
LVEtransmission2881_to_LVEtransmission1212_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1212,LVEtransmission2881,
LVEtransmission1212_to_LVEtransmission846_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission846,LVEtransmission1212,
LVEtransmission846_to_LVEtransmission2664_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2664,LVEtransmission846,
LVEtransmission2664_to_LVEtransmission1673_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1673,LVEtransmission2664,
LVEtransmission1673_to_LVEtransmission55_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission55,LVEtransmission1673,
LVEtransmission1096_to_LVEtransmission1100_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1100,LVEtransmission1096,
LVEtransmission1100_to_LVEtransmission618_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission618,LVEtransmission1100,
LVEtransmission618_to_LVEtransmission1385_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1385,LVEtransmission618,
LVEtransmission1385_to_LVEtransmission2252_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2252,LVEtransmission1385,
LVEtransmission2252_to_LVEtransmission2453_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2453,LVEtransmission2252,
LVEtransmission2453_to_LVEtransmission125_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission125,LVEtransmission2453,
LVEtransmission125_to_LVEtransmission1345_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1345,LVEtransmission125,
LVEtransmission1345_to_LVEtransmission2878_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2878,LVEtransmission1345,
LVEtransmission2878_to_LVEtransmission1050_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1050,LVEtransmission2878,
LVEtransmission1050_to_LVEtransmission2326_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2326,LVEtransmission1050,
LVEtransmission2326_to_LVEtransmission2850_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission2850,LVEtransmission2326,
