techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LQHtransmission441_to_LQHtransmission50_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission50,LQHtransmission441,
LQHtransmission50_to_LQHtransmission1124_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1124,LQHtransmission50,
LQHtransmission1124_to_LQHtransmission1295_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1295,LQHtransmission1124,
LQHtransmission1295_to_LQHtransmission2242_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2242,LQHtransmission1295,
LQHtransmission2242_to_LQHtransmission889_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission889,LQHtransmission2242,
LQHtransmission889_to_LQHtransmission70_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission70,LQHtransmission889,
LQHtransmission70_to_LQHtransmission914_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission914,LQHtransmission70,
LQHtransmission914_to_LQHtransmission2011_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2011,LQHtransmission914,
LQHtransmission2160_to_LQHtransmission1_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1,LQHtransmission2160,
LQHtransmission1_to_LQHtransmission799_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission799,LQHtransmission1,
LQHtransmission799_to_LQHtransmission2219_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2219,LQHtransmission799,
LQHtransmission2219_to_LQHtransmission1415_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1415,LQHtransmission2219,
LQHtransmission1415_to_LQHtransmission1165_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1165,LQHtransmission1415,
LQHtransmission1165_to_LQHtransmission1484_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1484,LQHtransmission1165,
LQHtransmission1484_to_LQHtransmission2102_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2102,LQHtransmission1484,
LQHtransmission2102_to_LQHtransmission690_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission690,LQHtransmission2102,
LQHtransmission690_to_LQHtransmission20_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission20,LQHtransmission690,
LQHtransmission20_to_LQHtransmission680_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission680,LQHtransmission20,
LQHtransmission680_to_LQHtransmission1674_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1674,LQHtransmission680,
LQHtransmission15_to_LQHtransmission2119_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2119,LQHtransmission15,
LQHtransmission2119_to_LQHtransmission1930_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1930,LQHtransmission2119,
LQHtransmission1930_to_LQHtransmission1720_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1720,LQHtransmission1930,
LQHtransmission1720_to_LQHtransmission1058_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1058,LQHtransmission1720,
LQHtransmission1058_to_LQHtransmission1042_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1042,LQHtransmission1058,
LQHtransmission1042_to_LQHtransmission2205_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2205,LQHtransmission1042,
LQHtransmission2205_to_LQHtransmission2443_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission2443,LQHtransmission2205,
LQHtransmission2443_to_LQHtransmission708_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission708,LQHtransmission2443,
LQHtransmission708_to_LQHtransmission1900_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1900,LQHtransmission708,
LQHtransmission1900_to_LQHtransmission1622_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1622,LQHtransmission1900,
LQHtransmission1622_to_LQHtransmission566_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission566,LQHtransmission1622,
LQHtransmission566_to_LQHtransmission34_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission34,LQHtransmission566,
LQHtransmission34_to_LQHtransmission1519_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1519,LQHtransmission34,
LQHtransmission2552_to_LQHtransmission118_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission118,LQHtransmission2552,
LQHtransmission118_to_LQHtransmission215_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission215,LQHtransmission118,
