run_id,neighborhood,year,scenario,topology_source,success,duration_seconds,scenario_info_neighborhood_name,scenario_info_year,scenario_info_scenario_type,scenario_info_topology_source,scenario_info_timestamp,scenario_info_spacing_m,technology_parameters_heat_pump_cop,technology_parameters_heat_substation_eff,technology_parameters_hybrid_threshold_kW,postprocessing_parameters_pipe_sizing_heat_capacity,postprocessing_parameters_pipe_sizing_density,postprocessing_parameters_pipe_sizing_delta_T,postprocessing_parameters_pipe_sizing_flow_speed,postprocessing_parameters_distance_factors_Heat transmission main,postprocessing_parameters_distance_factors_LQ heat distribution main,postprocessing_parameters_distance_factors_LQ heat distribution secondary,postprocessing_parameters_distance_factors_LV electricity distribution main,postprocessing_parameters_distance_factors_LV electricity distribution secondary,postprocessing_parameters_heat_loss_rates_Heat transmission main,postprocessing_parameters_heat_loss_rates_LQ heat distribution main,postprocessing_parameters_heat_loss_rates_LQ heat distribution secondary,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution main,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution secondary,model_size_num_nodes,model_size_num_techs,model_size_num_carriers,model_size_num_links,results_summary_total_capacity_installed,results_summary_supply_geothermal_capacity_original_kW,results_summary_supply_geothermal_capacity_adjusted_kW,results_summary_supply_geothermal_additional_for_losses_kW,results_summary_heat_pump_capacity_kW,results_summary_heat_pump_electricity_capacity_kW,results_summary_supply_LV_electricity_capacity_original_kW,results_summary_supply_LV_electricity_capacity_adjusted_kW,results_summary_supply_LV_electricity_additional_for_losses_kW,results_summary_total_heat_demand_kW,results_summary_electricity_losses_total_lv_losses_kW,results_summary_electricity_losses_loss_percentage,results_summary_district_heating_efficiency,execution_time_total_seconds,heat_loss_info_apply_heat_losses,heat_loss_info_total_system_losses_kw,electricity_loss_info_apply_electricity_losses,electricity_loss_info_total_lv_losses_kw,unmet_demand_info_total_unmet_demand_kw,unmet_demand_info_num_unmet_nodes,unmet_demand_info_total_demand_nodes,unmet_demand_info_unmet_demand_fraction,connectivity_info_num_isolated_demand_nodes_requiring_bridges,connectivity_info_isolated_demand_nodes_list,connectivity_info_total_demand_nodes_in_network,connectivity_info_connectivity_status,supply_losses_geothermie_delft,supply_losses_MV_LV_transformer1,supply_losses_MV_LV_transformer2,supply_losses_MV_LV_transformer3,supply_losses_MV_LV_transformer4,supply_losses_MV_LV_transformer5,supply_losses_MV_LV_transformer6
mythologiebuurt_2019_full_electrification_stedin_ef9c6a4f,mythologiebuurt,2019,full_electrification,stedin,True,59.383747,Mythologiebuurt,2019,full_electrification,stedin,2026-01-20T15:46:58.758400,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,980,1047,3,1041,62511.207705189634,0.0,0.0,0.0,5986.176239370851,1496.5440598427126,1496.5440598427128,1604.5005701372988,107.95651029458591,5986.176239370851,107.95651029458591,7.213720811262461,,55.38825140002882,True,0.0,True,107.95651029458591,0.0,0,14,0/14,4,"D0503100000036714, D0503100000018977, D0503100000018878, D0503100000023386",14,partially_connected_with_emergency_links,0.0,1.5932391043714174,74.49198662850718,28.43439051210098,3.436894049606248,,
mythologiebuurt_2019_full_electrification_osm_39744e55,mythologiebuurt,2019,full_electrification,osm,True,73.572879,Mythologiebuurt,2019,full_electrification,osm,2026-01-20T15:47:12.532796,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,1130,1153,3,1147,68680.9358891767,0.0,0.0,0.0,5986.176239370851,1496.5440598427126,1496.5440598427126,1671.607294445209,175.0632346024962,5986.176239370851,175.0632346024962,11.697833648873353,,69.16446210013237,True,0.0,True,175.0632346024962,0.0,0,14,0/14,0,,14,fully_connected,0.0,5.983313400007726,53.678977068232896,115.40094413425562,,,
poptahofzuid_2019_full_electrification_osm_f042c626,poptahofzuid,2019,full_electrification,osm,True,90.337886,Poptahof-Zuid,2019,full_electrification,osm,2026-01-20T15:48:43.439342,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,1109,1139,3,1133,20749.457885006228,0.0,0.0,0.0,6416.427858198631,1604.1069645496575,1604.1069645496577,1708.1731883254192,104.06622377576139,6416.427858198631,104.06622377576139,6.487486562654336,,85.95938060001936,True,0.0,True,104.06622377576139,0.0,0,36,0/36,0,,36,fully_connected,0.0,1.0450591902559285,0.034537941271117846,,96.70781288083559,1.9967401703084693,4.282073593090242
poptahofzuid_2019_full_electrification_stedin_b5e31cc9,poptahofzuid,2019,full_electrification,stedin,True,121.8963,Poptahof-Zuid,2019,full_electrification,stedin,2026-01-20T15:49:01.328898,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,29.0,0.247,0.247,1485,1547,3,1541,52175.86850186248,0.0,0.0,0.0,6416.427858198631,1604.1069645496575,1604.1069645496577,1765.2994837872016,161.19251923754373,6416.427858198631,161.19251923754373,10.048738818536174,,118.07066160015529,True,0.0,True,161.19251923754373,0.0,0,36,0/36,1,D0503100000034895,36,partially_connected_with_emergency_links,0.0,0.582587343131318,0.028683801487810894,,155.30982243369667,1.8578105221944996,3.413615137033469
