name,capacity_kw,distance_m,flow_rate_m^3/s,diameter_mm,final_diameter_mm
Geothermal heat supply,5835.426536243851,,,,
HQ to LQ heat conversion substation,4735.975234641459,,,,
Heat transmission main_DN340,5835.426536243851,69.33570375591154,0.055708129224284975,338.2349657903326,340.0
Heat transmission main_DN340,5830.864246936712,154.82801488885883,0.055664575149753814,338.1027194592257,340.0
Heat transmission main_DN340,5820.6765635570255,237.0817192109121,0.055567318029184014,337.80722387096296,340.0
Heat transmission main_DN340,5805.076586432948,481.7624435399594,0.0554183922332501,337.3542421144423,340.0
Heat transmission main_DN340,5773.3766176480185,172.14734518840646,0.05511576723291665,336.4318806078033,340.0
Heat transmission main_DN340,5762.049322334621,163.60029736688804,0.055007630762144356,336.1016809196591,340.0
Heat transmission main_DN340,5751.28442276788,36.50527946716264,0.054904863224514364,335.7875745931833,340.0
Heat transmission main_DN340,5748.88237537894,94.31119024231013,0.05488193198452449,335.7174457451993,340.0
Heat transmission main_DN340,5742.676699060996,50.73942853091202,0.05482268925117896,335.53620040103266,340.0
LQ heat distribution main_DN100,464.47067497893795,4.531313409491845,0.004434087589297737,95.42481978748005,100.0
LQ heat distribution main_DN100,464.23504668164435,4.414176025534109,0.004431838154478705,95.40061197264653,100.0
LQ heat distribution main_DN100,464.00550952831657,4.414176492569387,0.004429646869005409,95.37702403745837,100.0
LQ heat distribution main_DN110,597.1332400703318,4.548535967332854,0.005700555991124886,108.19764855590748,110.0
LQ heat distribution main_DN110,596.8967162000305,4.558908447828376,0.005698298006682869,108.17621794415024,110.0
LQ heat distribution main_DN110,596.6596529607434,4.548536930602218,0.005696034873133589,108.1547342010676,110.0
LQ heat distribution main_DN110,588.9005202142305,4.558909408930585,0.00562196200681843,107.44919539229421,110.0
LQ heat distribution main_DN110,588.6634569249661,4.548537895639768,0.005619698872792039,107.42756625221902,110.0
LQ heat distribution main_DN110,588.4269329543929,4.54853837728745,0.0056174408873927726,107.40598197764272,110.0
LQ heat distribution main_DN110,588.1904089587739,3.928428494655214,0.0056151829017544045,107.38439336233873,110.0
LQ heat distribution main_DN110,587.9861306770518,3.9260440141059023,0.005613232751093574,107.36574446567757,110.0
LQ heat distribution main_DN110,587.7819763883183,3.917999647438598,0.00561128378413669,107.34710365170397,110.0
LQ heat distribution main_DN110,587.5782404066515,4.252410620725296,0.005609338810564692,107.32849780470227,110.0
LQ heat distribution main_DN110,587.3571150543738,4.5687440984448955,0.005607227828681373,107.30830025179792,110.0
LQ heat distribution main_DN110,587.1195403612547,3.719951431523974,0.005604959812517945,107.28659598168576,110.0
LQ heat distribution main_DN110,586.9261028868154,3.7174051589486456,0.005603113154050744,107.26892074145881,110.0
LQ heat distribution main_DN110,586.7327978185501,4.84416931071484,0.005601267759604297,107.25125468984349,110.0
LQ heat distribution main_DN110,586.480901014393,4.844463335444271,0.005598863016843847,107.22822960186221,110.0
LQ heat distribution main_DN110,586.2289889209499,4.851036338619281,0.005596458128123627,107.2051981706527,110.0
LQ heat distribution main_DN110,585.9767350313416,4.844463583549881,0.005594049976432856,107.1821305311297,110.0
LQ heat distribution main_DN110,585.724822924997,4.844169807456585,0.0055916450875894705,107.15908919078416,110.0
LQ heat distribution main_DN110,585.4729260950094,4.844169926075382,0.005589240344582428,107.13604429274037,110.0
