techs,cost_flow_cap_per_distance
LQHtransmission1122_to_LQHtransmission951_heat,100
LQHtransmission951_to_LQHtransmission1478_heat,100
LQHtransmission1478_to_LQHtransmission1244_heat,100
LQHtransmission1244_to_LQHtransmission1610_heat,100
LQHtransmission1610_to_LQHtransmission1144_heat,100
LQHtransmission1144_to_LQHtransmission1180_heat,100
LQHtransmission1180_to_LQHtransmission799_heat,100
LQHtransmission799_to_LQHtransmission1042_heat,100
LQHtransmission1042_to_LQHtransmission1083_heat,100
LQHtransmission1083_to_LQHtransmission898_heat,100
LQHtransmission898_to_LQHtransmission916_heat,100
LQHtransmission916_to_LQHtransmission743_heat,100
LQHtransmission743_to_LQHtransmission1582_heat,100
LQHtransmission1582_to_LQHtransmission1181_heat,100
LQHtransmission1181_to_LQHtransmission1223_heat,100
LQHtransmission652_to_LQHtransmission1523_heat,100
LQHtransmission1523_to_LQHtransmission1483_heat,100
LQHtransmission1483_to_LQHtransmission409_heat,100
LQHtransmission409_to_LQHtransmission1332_heat,100
LQHtransmission1332_to_LQHtransmission550_heat,100
LQHtransmission550_to_LQHtransmission1229_heat,100
LQHtransmission1229_to_LQHtransmission1380_heat,100
LQHtransmission1380_to_LQHtransmission95_heat,100
LQHtransmission95_to_LQHtransmission609_heat,100
LQHtransmission609_to_LQHtransmission994_heat,100
LQHtransmission994_to_LQHtransmission202_heat,100
LQHtransmission202_to_LQHtransmission359_heat,100
LQHtransmission359_to_LQHtransmission1376_heat,100
LQHtransmission1376_to_LQHtransmission1921_heat,100
LQHtransmission1921_to_LQHtransmission241_heat,100
LQHtransmission241_to_LQHtransmission167_heat,100
LQHtransmission167_to_LQHtransmission928_heat,100
LQHtransmission928_to_LQHtransmission978_heat,100
LQHtransmission978_to_LQHtransmission1218_heat,100
LQHtransmission1218_to_LQHtransmission1207_heat,100
LQHtransmission1207_to_LQHtransmission1917_heat,100
LQHtransmission1917_to_LQHtransmission159_heat,100
LQHtransmission159_to_LQHtransmission1641_heat,100
LQHtransmission1641_to_LQHtransmission1025_heat,100
LQHtransmission1025_to_LQHtransmission1950_heat,100
LQHtransmission1950_to_LQHtransmission1978_heat,100
LQHtransmission1978_to_LQHtransmission198_heat,100
LQHtransmission198_to_LQHtransmission1254_heat,100
LQHtransmission1254_to_LQHtransmission305_heat,100
LQHtransmission305_to_LQHtransmission1880_heat,100
LQHtransmission1880_to_LQHtransmission1395_heat,100
LQHtransmission1395_to_LQHtransmission1894_heat,100
LQHtransmission1894_to_LQHtransmission470_heat,100
LQHtransmission470_to_LQHtransmission2040_heat,100
LQHtransmission2040_to_LQHtransmission893_heat,100
LQHtransmission893_to_LQHtransmission905_heat,100
LQHtransmission905_to_LQHtransmission1108_heat,100
LQHtransmission1108_to_LQHtransmission2034_heat,100
LQHtransmission2034_to_LQHtransmission456_heat,100
LQHtransmission456_to_LQHtransmission1531_heat,100
LQHtransmission1531_to_LQHtransmission468_heat,100
LQHtransmission468_to_LQHtransmission491_heat,100
LQHtransmission491_to_LQHtransmission617_heat,100
LQHtransmission617_to_LQHtransmission639_heat,100
LQHtransmission639_to_LQHtransmission2027_heat,100
LQHtransmission2027_to_LQHtransmission218_heat,100
LQHtransmission218_to_LQHtransmission242_heat,100
LQHtransmission242_to_LQHtransmission1601_heat,100
LQHtransmission1601_to_LQHtransmission373_heat,100
LQHtransmission373_to_LQHtransmission566_heat,100
LQHtransmission566_to_LQHtransmission1979_heat,100
LQHtransmission429_to_LQHtransmission1003_heat,100
LQHtransmission1003_to_LQHtransmission1635_heat,100
LQHtransmission1635_to_LQHtransmission1314_heat,100
LQHtransmission1314_to_LQHtransmission809_heat,100
LQHtransmission809_to_LQHtransmission1642_heat,100
LQHtransmission1642_to_LQHtransmission1733_heat,100
LQHtransmission1733_to_LQHtransmission672_heat,100
LQHtransmission672_to_LQHtransmission77_heat,100
LQHtransmission77_to_LQHtransmission963_heat,100
LQHtransmission963_to_LQHtransmission884_heat,100
LQHtransmission884_to_LQHtransmission313_heat,100
LQHtransmission313_to_LQHtransmission1208_heat,100
LQHtransmission1208_to_LQHtransmission1237_heat,100
LQHtransmission1237_to_LQHtransmission1012_heat,100
LQHtransmission1012_to_LQHtransmission1947_heat,100
