techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LVEtransmission507_to_LVEtransmission194_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission194,LVEtransmission507
LVEtransmission194_to_LVEtransmission796_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission796,LVEtransmission194
LVEtransmission796_to_LVEtransmission474_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission474,LVEtransmission796
LVEtransmission474_to_LVEtransmission777_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission777,LVEtransmission474
LVEtransmission352_to_LVEtransmission912_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission912,LVEtransmission352
LVEtransmission912_to_LVEtransmission266_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission266,LVEtransmission912
LVEtransmission266_to_LVEtransmission126_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission126,LVEtransmission266
LVEtransmission126_to_LVEtransmission580_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission580,LVEtransmission126
LVEtransmission580_to_LVEtransmission399_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission399,LVEtransmission580
LVEtransmission399_to_LVEtransmission146_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission146,LVEtransmission399
LVEtransmission146_to_LVEtransmission220_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission220,LVEtransmission146
LVEtransmission220_to_LVEtransmission228_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission228,LVEtransmission220
LVEtransmission228_to_LVEtransmission351_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission351,LVEtransmission228
LVEtransmission351_to_LVEtransmission3_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission3,LVEtransmission351
LVEtransmission3_to_LVEtransmission600_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission600,LVEtransmission3
LVEtransmission352_to_LVEtransmission526_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission526,LVEtransmission352
LVEtransmission526_to_LVEtransmission122_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission122,LVEtransmission526
LVEtransmission122_to_LVEtransmission822_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission822,LVEtransmission122
LVEtransmission822_to_LVEtransmission684_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission684,LVEtransmission822
LVEtransmission684_to_LVEtransmission1025_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1025,LVEtransmission684
LVEtransmission1025_to_LVEtransmission418_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission418,LVEtransmission1025
LVEtransmission418_to_LVEtransmission237_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission237,LVEtransmission418
LVEtransmission237_to_LVEtransmission170_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission170,LVEtransmission237
LVEtransmission170_to_LVEtransmission572_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission572,LVEtransmission170
LVEtransmission572_to_LVEtransmission499_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission499,LVEtransmission572
LVEtransmission499_to_LVEtransmission276_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission276,LVEtransmission499
LVEtransmission276_to_LVEtransmission884_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission884,LVEtransmission276
LVEtransmission884_to_LVEtransmission255_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission255,LVEtransmission884
LVEtransmission255_to_LVEtransmission91_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission91,LVEtransmission255
LVEtransmission91_to_LVEtransmission26_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission26,LVEtransmission91
LVEtransmission26_to_LVEtransmission910_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission910,LVEtransmission26
LVEtransmission910_to_LVEtransmission788_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission788,LVEtransmission910
LVEtransmission788_to_LVEtransmission372_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission372,LVEtransmission788
LVEtransmission372_to_LVEtransmission377_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission377,LVEtransmission372
LVEtransmission377_to_LVEtransmission72_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission72,LVEtransmission377
LVEtransmission72_to_LVEtransmission832_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission832,LVEtransmission72
LVEtransmission832_to_LVEtransmission592_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission592,LVEtransmission832
LVEtransmission592_to_LVEtransmission127_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission127,LVEtransmission592
LVEtransmission127_to_LVEtransmission681_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission681,LVEtransmission127
LVEtransmission681_to_LVEtransmission828_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission828,LVEtransmission681
LVEtransmission828_to_LVEtransmission887_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission887,LVEtransmission828
LVEtransmission887_to_LVEtransmission400_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission400,LVEtransmission887
LVEtransmission400_to_LVEtransmission623_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission623,LVEtransmission400
LVEtransmission623_to_LVEtransmission422_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission422,LVEtransmission623
LVEtransmission422_to_LVEtransmission52_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission52,LVEtransmission422
LVEtransmission52_to_LVEtransmission156_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission156,LVEtransmission52
LVEtransmission156_to_LVEtransmission703_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission703,LVEtransmission156
LVEtransmission703_to_LVEtransmission916_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission916,LVEtransmission703
LVEtransmission916_to_LVEtransmission424_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission424,LVEtransmission916
LVEtransmission424_to_LVEtransmission983_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission983,LVEtransmission424
LVEtransmission983_to_LVEtransmission42_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission42,LVEtransmission983
LVEtransmission42_to_LVEtransmission569_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission569,LVEtransmission42
LVEtransmission569_to_LVEtransmission841_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission841,LVEtransmission569
LVEtransmission841_to_LVEtransmission657_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission657,LVEtransmission841
LVEtransmission657_to_LVEtransmission64_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission64,LVEtransmission657
LVEtransmission64_to_LVEtransmission573_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission573,LVEtransmission64
LVEtransmission573_to_LVEtransmission827_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission827,LVEtransmission573
LVEtransmission827_to_LVEtransmission279_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission279,LVEtransmission827
LVEtransmission279_to_LVEtransmission759_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission759,LVEtransmission279
LVEtransmission759_to_LVEtransmission93_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission93,LVEtransmission759
LVEtransmission93_to_LVEtransmission816_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission816,LVEtransmission93
LVEtransmission816_to_LVEtransmission662_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission662,LVEtransmission816
LVEtransmission59_to_LVEtransmission319_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission319,LVEtransmission59
LVEtransmission319_to_LVEtransmission356_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission356,LVEtransmission319
LVEtransmission356_to_LVEtransmission302_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission302,LVEtransmission356
LVEtransmission302_to_LVEtransmission352_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission352,LVEtransmission302
