run_id,success,duration_seconds,returncode,output_dir,timestamp,neighborhood,year,scenario,topology_source,spacing_m,heat_pump_cop,heat_substation_eff,delta_t,flow_speed,distance_factor_heat_trans_main,distance_factor_heat_dist_main,distance_factor_heat_dist_sec,distance_factor_elec_dist_main,distance_factor_elec_dist_sec,apply_heat_losses,apply_electricity_losses,heat_loss_rate_trans_main,heat_loss_rate_dist_main,heat_loss_rate_dist_sec,elec_resistance_main,elec_resistance_sec
multatulibuurt_2019_district_heating_osm_160cf6fc,True,292.172244,0,parallel_results\20260120_152512\multatulibuurt_2019_district_heating_osm_160cf6fc,2026-01-20T15:25:12.524056,multatulibuurt,2019,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_district_heating_stedin_3a2c6b76,True,575.933583,0,parallel_results\20260120_152512\multatulibuurt_2019_district_heating_stedin_3a2c6b76,2026-01-20T15:25:13.254003,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_ac292696,False,595.535201,1,parallel_results\20260120_152512\multatulibuurt_2019_full_electrification_stedin_ac292696,2026-01-20T15:30:05.002453,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
multatulibuurt_2019_full_electrification_osm_a5340097,False,328.628449,1,parallel_results\20260120_152512\multatulibuurt_2019_full_electrification_osm_a5340097,2026-01-20T15:34:49.917106,multatulibuurt,2019,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
