id,Warmtevraag,share,Peak heat demand (kW)
0503100000018871,1094269108.0963922,0.12318279131034071,856.016327756082
0503100000018872,1012888695.1084937,0.11402172996293897,792.3546911789872
0503100000018875,490290601.05331856,0.055192424188997884,383.54071840435586
0503100000018878,65333696.767517634,0.007354669043382401,51.10873620744977
0503100000018977,826526098.7175841,0.09304273617665687,646.5684086153177
0503100000018978,1223157244.5051827,0.13769183693006246,956.8419367435368
0503100000023386,1011368117.8597308,0.1138505573066703,791.165185834347
0503100000023496,12329146.271630298,0.0013879023367980496,9.644748661659996
0503100000023497,9349269.410866797,0.0010524550992272992,7.313673765509866
0503100000023500,189749853.47214925,0.021360300156959677,148.43603969049977
0503100000031589,12621181.744652852,0.0014207770149392744,9.873199900337621
0503100000032956,1960165963.4574077,0.22065752658434468,1533.383385692239
0503100000034482,593698635.3922763,0.06683315334742927,464.43395130325257
0503100000036714,381547663.8566266,0.04295114054125222,298.4741391874245
