id,Warmtevraag,share,Peak heat demand (kW)
0503100000018871,792719617.0374148,0.11188548427200282,669.7662274795642
0503100000018872,844405072.0661925,0.11918043704146442,713.435100415448
0503100000018875,357515484.7256479,0.050460203435814546,302.06367084129243
0503100000018878,57338606.885958694,0.008092846021514177,48.44520256287508
0503100000018977,709010975.1541265,0.10007073699746764,599.0410680705703
0503100000018978,1063032170.5474519,0.15003775186353982,898.1524252141418
0503100000023386,850347546.1312299,0.12001916560860311,718.4558774353351
0503100000023496,9681657.376908341,0.001366481793675445,8.18000084483281
0503100000023497,7569951.027219359,0.0010684327956473518,6.3958270146687495
0503100000023500,141753893.36948043,0.020007330039793374,119.76740369746175
0503100000031589,9944246.97964283,0.0014035440338866071,8.401861946562724
0503100000032956,1559379499.3204265,0.2200928634733969,1317.5146697795412
0503100000034482,408232013.8208457,0.05761840073086585,344.91390140565716
0503100000036714,274167231.5299496,0.03869632189232794,231.6430026628996
