id,Warmtevraag,share,Peak heat demand (kW)
0503100000000168,643809704.0934768,0.06387979529138726,366.10177432709656
0503100000001498,5710619.764502566,0.0005666165315992326,3.2473384837147856
0503100000001499,564038090.0910914,0.05596473228420391,320.7397220909761
0503100000011458,5752842.7508371025,0.0005708059616536289,3.2713485446321307
0503100000011549,4828525.87916252,0.0004790938110421575,2.7457366369380476
0503100000011550,5595209.638100866,0.0005551653602325716,3.181710625385949
0503100000011552,313856282.05031127,0.03114130607353939,178.47407550980535
0503100000011553,5159999.182450868,0.0005119831052295362,2.9342286147761265
0503100000011554,5539934.544279464,0.0005496808798720351,3.150278495992053
0503100000025533,7606571486.9268675,0.7547357959420277,4325.469622783903
0503100000027952,5724080.576793389,0.0005679521342285907,3.2549929617883855
0503100000030049,32152231.313185554,0.003190194154248746,18.283335677437066
0503100000030050,2557431.0849552667,0.0002537522704924201,1.454280747817764
0503100000030051,2440505.2861237796,0.00024215071176140592,1.3877910038070007
0503100000030052,16580879.88381685,0.0016451805649942723,9.428701535210855
0503100000031080,4998768.924456709,0.0004959855894885355,2.8425451823090904
0503100000031377,2858439.903053902,0.0002836188313081164,1.6254491252021663
0503100000031378,3078113.263929071,0.000305415162171808,1.7503661723939854
0503100000031379,2460165.465560114,0.00024410142519396184,1.39897074609648
0503100000031380,3127471.139480099,0.0003103125269772314,1.7784334812608051
0503100000031381,2797342.682869319,0.0002775566705586765,1.5907062492035442
0503100000031382,2403846.6747879507,0.0002385133876065975,1.3669451194267523
0503100000031383,2531480.1838556584,0.0002511773819200209,1.4395237926529902
0503100000032908,13321756.375649441,0.0013218052862320033,7.575404060033316
0503100000033567,45176190.28033734,0.004482451520696096,25.689397525093337
0503100000033568,3644284.10403426,0.00036159150921335716,2.0723186807467915
0503100000033569,2997236.524276212,0.00029739044688713545,1.7043756915105173
0503100000033570,2880373.908532777,0.0002857951572799089,1.6379218765025263
0503100000033571,2605013.908718719,0.0002584735119121583,1.481338675178182
0503100000033572,2783578.2485924824,0.0002761909420859376,1.5828791167771172
0503100000033573,4061936.495192447,0.00040303162588216357,2.309816314725863
0503100000033574,2420882.019680701,0.00024020366089317268,1.3766322520559378
0503100000033575,2638256.491171561,0.0002617718923940658,1.5002420379914785
0503100000034895,267229093.5398717,0.026514884262681844,151.95956922476583
0503100000035282,210498181.64808285,0.020885955379971146,119.6995902733418
0503100000035763,273625733.2204246,0.027149568752133334,155.59701227958737
