id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000000190,9884336.172811331,0.0015432564566237824,7.3193346330077995,84456.08810000001,445697.0732,Staringpad 16,1,1966
0503100000000191,7662387.386253197,0.0011963402094229427,5.673985221384239,84448.2292,445696.662,Staringpad 14,1,1966
0503100000000193,1124205706.4403467,0.17552394867038498,832.4724713843351,84331.01211111111,445878.5101111111,Isaäc da Costalaan 1-311,159,1965
0503100000001933,8634805.53807034,0.001348165336077163,6.394059258924413,84259.8806,445749.39959999995,Willem Bilderdijkhof 161,1,1967
0503100000001936,9697907.215605227,0.001514149019677096,7.1812842976876015,84247.7596,445784.56179999997,Isaäc da Costalaan 2,1,1967
0503100000001937,7758857.239907037,0.0012114021945596233,5.7454209889001175,84290.121,445752.4081666667,Multatuliweg 10,1,1967
0503100000001938,8191473.043784855,0.0012789471587230628,6.065772278126738,84291.71683333332,445747.60533333337,Multatuliweg 12,1,1967
0503100000002020,8276884.054789485,0.0012922825099186475,6.129018990901035,84353.10179999999,445495.0444,Herman Heyermanslaan 5,1,1967
0503100000002021,8571089.522184215,0.0013382172575023893,6.346877654252227,84347.4264,445492.9012,Herman Heyermanslaan 3,1,1967
0503100000002023,9424257.147519846,0.0014714236178853246,6.97864687362146,84348.3316,445557.3706,Multatuliweg 18,1,1967
0503100000002025,8148408.819041771,0.0012722234757440208,6.033883290733462,84350.526,445551.5636,Multatuliweg 20,1,1967
0503100000002026,8304902.373674225,0.0012966570527070198,6.149766509822522,84415.9718,445549.6466,Busken Huetpad 6,1,1966
0503100000002031,8290564.692739133,0.0012944184887519659,6.139149480738273,84352.676,445545.87460000004,Multatuliweg 22,1,1967
0503100000002032,8599354.975462629,0.0013426303857599342,6.36780817578461,84449.575,445630.56059999997,Betje Wolfflaan 28,1,1966
0503100000002033,10418370.556656651,0.0016266360580982219,7.71478621342327,84406.6944,445749.8182,Aagje Dekenlaan 29,1,1966
0503100000013778,9008108.037870733,0.0014064496237641223,6.670489144311473,84459.2632,445633.77520000003,Betje Wolfflaan 32,1,1966
