techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from,distance
LQHtransmission547_to_LQHtransmission143_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission143,LQHtransmission547,
LQHtransmission143_to_LQHtransmission529_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission529,LQHtransmission143,
LQHtransmission529_to_LQHtransmission241_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission241,LQHtransmission529,
LQHtransmission241_to_LQHtransmission347_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission347,LQHtransmission241,
LQHtransmission347_to_LQHtransmission359_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission359,LQHtransmission347,
LQHtransmission359_to_LQHtransmission708_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission708,LQHtransmission359,
LQHtransmission708_to_LQHtransmission578_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission578,LQHtransmission708,
LQHtransmission578_to_LQHtransmission524_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission524,LQHtransmission578,
LQHtransmission524_to_LQHtransmission415_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission415,LQHtransmission524,
LQHtransmission415_to_LQHtransmission688_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission688,LQHtransmission415,
LQHtransmission688_to_LQHtransmission489_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission489,LQHtransmission688,
LQHtransmission489_to_LQHtransmission9_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission9,LQHtransmission489,
LQHtransmission9_to_LQHtransmission67_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission67,LQHtransmission9,
LQHtransmission67_to_LQHtransmission58_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission58,LQHtransmission67,
LQHtransmission58_to_LQHtransmission112_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission112,LQHtransmission58,
LQHtransmission112_to_LQHtransmission696_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission696,LQHtransmission112,
LQHtransmission696_to_LQHtransmission789_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission789,LQHtransmission696,
LQHtransmission789_to_LQHtransmission105_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission105,LQHtransmission789,
LQHtransmission105_to_LQHtransmission163_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission163,LQHtransmission105,
LQHtransmission163_to_LQHtransmission640_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission640,LQHtransmission163,
LQHtransmission640_to_LQHtransmission165_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission165,LQHtransmission640,
LQHtransmission165_to_LQHtransmission425_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission425,LQHtransmission165,
