techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LQHtransmission44_to_LQHtransmission313_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission313,LQHtransmission44
LQHtransmission313_to_LQHtransmission342_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission342,LQHtransmission313
LQHtransmission342_to_LQHtransmission171_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission171,LQHtransmission342
LQHtransmission171_to_LQHtransmission963_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission963,LQHtransmission171
LQHtransmission963_to_LQHtransmission966_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission966,LQHtransmission963
LQHtransmission966_to_LQHtransmission628_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission628,LQHtransmission966
LQHtransmission628_to_LQHtransmission997_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission997,LQHtransmission628
LQHtransmission997_to_LQHtransmission641_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission641,LQHtransmission997
LQHtransmission641_to_LQHtransmission879_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission879,LQHtransmission641
LQHtransmission879_to_LQHtransmission754_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission754,LQHtransmission879
LQHtransmission94_to_LQHtransmission614_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission614,LQHtransmission94
LQHtransmission645_to_LQHtransmission183_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission183,LQHtransmission645
LQHtransmission183_to_LQHtransmission71_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission71,LQHtransmission183
LQHtransmission71_to_LQHtransmission859_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission859,LQHtransmission71
LQHtransmission859_to_LQHtransmission335_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission335,LQHtransmission859
LQHtransmission335_to_LQHtransmission544_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission544,LQHtransmission335
LQHtransmission544_to_LQHtransmission547_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission547,LQHtransmission544
LQHtransmission547_to_LQHtransmission486_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission486,LQHtransmission547
LQHtransmission486_to_LQHtransmission726_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission726,LQHtransmission486
LQHtransmission726_to_LQHtransmission727_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission727,LQHtransmission726
LQHtransmission727_to_LQHtransmission940_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission940,LQHtransmission727
LQHtransmission940_to_LQHtransmission1005_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1005,LQHtransmission940
