techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
transmission2473_to_transmission3158_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3158,transmission2473
transmission3158_to_transmission3431_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3431,transmission3158
transmission3158_to_transmission3431_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3431,transmission3158
transmission3431_to_transmission3417_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3417,transmission3431
transmission3431_to_transmission3417_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3417,transmission3431
transmission3417_to_transmission1786_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1786,transmission3417
transmission3417_to_transmission1786_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1786,transmission3417
transmission1786_to_transmission1095_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1095,transmission1786
transmission1786_to_transmission1095_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1095,transmission1786
transmission1095_to_transmission1458_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1458,transmission1095
transmission1095_to_transmission1458_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1458,transmission1095
transmission1458_to_transmission1039_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1039,transmission1458
transmission1458_to_transmission1039_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1039,transmission1458
transmission1039_to_transmission1467_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1467,transmission1039
transmission1039_to_transmission1467_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1467,transmission1039
transmission1467_to_transmission1486_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1486,transmission1467
transmission1467_to_transmission1486_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1486,transmission1467
transmission1486_to_transmission1072_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1072,transmission1486
transmission1486_to_transmission1072_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1072,transmission1486
transmission1072_to_transmission1052_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1052,transmission1072
transmission1072_to_transmission1052_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1052,transmission1072
transmission1052_to_transmission1484_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1484,transmission1052
transmission1052_to_transmission1484_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1484,transmission1052
transmission1484_to_transmission1071_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1071,transmission1484
transmission1484_to_transmission1071_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1071,transmission1484
transmission1071_to_transmission3049_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3049,transmission1071
transmission1071_to_transmission3049_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3049,transmission1071
transmission3049_to_transmission1520_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1520,transmission3049
transmission3049_to_transmission1520_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission1520,transmission3049
transmission1520_to_transmission3068_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3068,transmission1520
transmission1520_to_transmission3068_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3068,transmission1520
transmission3068_to_transmission3170_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission3170,transmission3068
transmission3068_to_transmission3170_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission3170,transmission3068
transmission3170_to_transmission2242_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission2242,transmission3170
transmission3170_to_transmission2242_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission2242,transmission3170
transmission2242_to_transmission922_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission922,transmission2242
transmission2242_to_transmission922_electricity,#3186cc,LV electricity distribution,transmission,10000,0.99,20,transmission922,transmission2242
transmission922_to_transmission1397_heat,#823740,LQ heat distribution,transmission,10000,0.99,20,transmission1397,transmission922
