run_id,success,duration_seconds,returncode,output_dir,timestamp,neighborhood,year,scenario,topology_source,spacing_m,heat_pump_cop,heat_substation_eff,delta_t,flow_speed,distance_factor_heat_trans_main,distance_factor_heat_dist_main,distance_factor_heat_dist_sec,distance_factor_elec_dist_main,distance_factor_elec_dist_sec,apply_heat_losses,apply_electricity_losses,heat_loss_rate_trans_main,heat_loss_rate_dist_main,heat_loss_rate_dist_sec,elec_resistance_main,elec_resistance_sec
multatulibuurt_2020_hybrid_osm_648ef97a,True,659.384791,0,parallel_results\20260121_122457\multatulibuurt_2020_hybrid_osm_648ef97a,2026-01-21T15:28:53.638085,multatulibuurt,2020,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_district_heating_stedin_a06c7ae5,True,233.173172,0,parallel_results\20260121_122457\holstbuurt_2013_district_heating_stedin_a06c7ae5,2026-01-21T15:39:53.812363,holstbuurt,2013,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_district_heating_osm_eca3ed7f,True,268.093482,0,parallel_results\20260121_122457\holstbuurt_2013_district_heating_osm_eca3ed7f,2026-01-21T15:43:47.493391,holstbuurt,2013,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_full_electrification_stedin_1f026a1e,True,282.445446,0,parallel_results\20260121_122457\holstbuurt_2013_full_electrification_stedin_1f026a1e,2026-01-21T15:48:15.640624,holstbuurt,2013,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_full_electrification_osm_d1ed183d,True,233.673098,0,parallel_results\20260121_122457\holstbuurt_2013_full_electrification_osm_d1ed183d,2026-01-21T15:52:58.890371,holstbuurt,2013,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_hybrid_stedin_feb38bb0,True,852.41345,0,parallel_results\20260121_122457\holstbuurt_2013_hybrid_stedin_feb38bb0,2026-01-21T15:56:52.653212,holstbuurt,2013,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2013_hybrid_osm_0b2a7c98,True,765.301874,0,parallel_results\20260121_122457\holstbuurt_2013_hybrid_osm_0b2a7c98,2026-01-21T16:11:05.807179,holstbuurt,2013,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_district_heating_stedin_1c4dc326,True,230.652026,0,parallel_results\20260121_122457\holstbuurt_2019_district_heating_stedin_1c4dc326,2026-01-21T16:23:51.947837,holstbuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_district_heating_osm_9db4bbeb,True,233.865018,0,parallel_results\20260121_122457\holstbuurt_2019_district_heating_osm_9db4bbeb,2026-01-21T16:27:42.697690,holstbuurt,2019,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_full_electrification_stedin_f9e0ee64,True,4436.615661,0,parallel_results\20260121_122457\holstbuurt_2019_full_electrification_stedin_f9e0ee64,2026-01-21T16:31:36.588027,holstbuurt,2019,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_full_electrification_osm_b2c5fdb7,True,211.491579,0,parallel_results\20260121_122457\holstbuurt_2019_full_electrification_osm_b2c5fdb7,2026-01-21T17:45:33.915112,holstbuurt,2019,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_hybrid_stedin_001da539,True,762.99418,0,parallel_results\20260121_122457\holstbuurt_2019_hybrid_stedin_001da539,2026-01-21T17:49:05.747672,holstbuurt,2019,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2019_hybrid_osm_27992db5,True,681.264733,0,parallel_results\20260121_122457\holstbuurt_2019_hybrid_osm_27992db5,2026-01-21T18:01:49.474322,holstbuurt,2019,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_district_heating_stedin_627efb43,True,204.158825,0,parallel_results\20260121_122457\holstbuurt_2020_district_heating_stedin_627efb43,2026-01-21T18:13:11.490174,holstbuurt,2020,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_district_heating_osm_60ccfe05,True,198.787513,0,parallel_results\20260121_122457\holstbuurt_2020_district_heating_osm_60ccfe05,2026-01-21T18:16:36.582495,holstbuurt,2020,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_full_electrification_stedin_b0286b02,True,241.074077,0,parallel_results\20260121_122457\holstbuurt_2020_full_electrification_stedin_b0286b02,2026-01-21T18:19:56.124525,holstbuurt,2020,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_full_electrification_osm_2b4b3ec5,True,205.0392,0,parallel_results\20260121_122457\holstbuurt_2020_full_electrification_osm_2b4b3ec5,2026-01-21T18:23:57.700554,holstbuurt,2020,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_hybrid_stedin_ce7cf7b5,True,668.666812,0,parallel_results\20260121_122457\holstbuurt_2020_hybrid_stedin_ce7cf7b5,2026-01-21T18:27:23.196969,holstbuurt,2020,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
holstbuurt_2020_hybrid_osm_d5a86d61,True,617.025721,0,parallel_results\20260121_122457\holstbuurt_2020_hybrid_osm_d5a86d61,2026-01-21T18:38:32.725015,holstbuurt,2020,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2013_district_heating_stedin_69f71a60,True,50.918896,0,parallel_results\20260121_122457\mythologiebuurt_2013_district_heating_stedin_69f71a60,2026-01-21T18:48:50.493042,mythologiebuurt,2013,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2013_district_heating_osm_a033de74,True,69.682446,0,parallel_results\20260121_122457\mythologiebuurt_2013_district_heating_osm_a033de74,2026-01-21T18:49:42.360195,mythologiebuurt,2013,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2013_full_electrification_stedin_813f3745,True,56.055005,0,parallel_results\20260121_122457\mythologiebuurt_2013_full_electrification_stedin_813f3745,2026-01-21T18:50:52.415702,mythologiebuurt,2013,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2013_full_electrification_osm_256b0cd3,True,69.196169,0,parallel_results\20260121_122457\mythologiebuurt_2013_full_electrification_osm_256b0cd3,2026-01-21T18:51:49.430708,mythologiebuurt,2013,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2013_hybrid_stedin_e3acce5f,True,129.962558,0,parallel_results\20260121_122457\mythologiebuurt_2013_hybrid_stedin_e3acce5f,2026-01-21T18:52:59.182449,mythologiebuurt,2013,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2013_hybrid_osm_f410d029,True,185.2026,0,parallel_results\20260121_122457\mythologiebuurt_2013_hybrid_osm_f410d029,2026-01-21T18:55:09.510437,mythologiebuurt,2013,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2019_district_heating_stedin_0887ec5f,True,49.078567,0,parallel_results\20260121_122457\mythologiebuurt_2019_district_heating_stedin_0887ec5f,2026-01-21T18:58:15.519921,mythologiebuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2019_district_heating_osm_88c91859,True,69.032116,0,parallel_results\20260121_122457\mythologiebuurt_2019_district_heating_osm_88c91859,2026-01-21T18:59:05.383259,mythologiebuurt,2019,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2019_full_electrification_stedin_ef9c6a4f,True,55.791909,0,parallel_results\20260121_122457\mythologiebuurt_2019_full_electrification_stedin_ef9c6a4f,2026-01-21T19:00:15.089915,mythologiebuurt,2019,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2019_full_electrification_osm_39744e55,True,68.926671,0,parallel_results\20260121_122457\mythologiebuurt_2019_full_electrification_osm_39744e55,2026-01-21T19:01:11.080616,mythologiebuurt,2019,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2019_hybrid_stedin_f1f46027,True,129.60236,0,parallel_results\20260121_122457\mythologiebuurt_2019_hybrid_stedin_f1f46027,2026-01-21T19:02:20.409183,mythologiebuurt,2019,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2019_hybrid_osm_c03226b9,True,183.109525,0,parallel_results\20260121_122457\mythologiebuurt_2019_hybrid_osm_c03226b9,2026-01-21T19:04:30.375028,mythologiebuurt,2019,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2020_district_heating_stedin_34ddeafb,True,48.969195,0,parallel_results\20260121_122457\mythologiebuurt_2020_district_heating_stedin_34ddeafb,2026-01-21T19:07:34.253677,mythologiebuurt,2020,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2020_district_heating_osm_b3170925,True,70.134235,0,parallel_results\20260121_122457\mythologiebuurt_2020_district_heating_osm_b3170925,2026-01-21T19:08:23.325255,mythologiebuurt,2020,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2020_full_electrification_stedin_f0170188,True,55.901992,0,parallel_results\20260121_122457\mythologiebuurt_2020_full_electrification_stedin_f0170188,2026-01-21T19:09:33.920917,mythologiebuurt,2020,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2020_full_electrification_osm_c1ee3e58,True,68.573062,0,parallel_results\20260121_122457\mythologiebuurt_2020_full_electrification_osm_c1ee3e58,2026-01-21T19:10:30.052211,mythologiebuurt,2020,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2020_hybrid_stedin_b74464e2,True,129.831185,0,parallel_results\20260121_122457\mythologiebuurt_2020_hybrid_stedin_b74464e2,2026-01-21T19:11:39.307331,mythologiebuurt,2020,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
mythologiebuurt_2020_hybrid_osm_92fc3d75,True,186.254755,0,parallel_results\20260121_122457\mythologiebuurt_2020_hybrid_osm_92fc3d75,2026-01-21T19:13:49.286866,mythologiebuurt,2020,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2013_district_heating_stedin_19f5ad2d,True,43.873492,0,parallel_results\20260121_122457\poptahofzuid_2013_district_heating_stedin_19f5ad2d,2026-01-21T19:16:55.630013,poptahofzuid,2013,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2013_district_heating_osm_b56a6055,True,68.312053,0,parallel_results\20260121_122457\poptahofzuid_2013_district_heating_osm_b56a6055,2026-01-21T19:17:39.963258,poptahofzuid,2013,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2013_full_electrification_stedin_08dedfa1,True,95.645487,0,parallel_results\20260121_122457\poptahofzuid_2013_full_electrification_stedin_08dedfa1,2026-01-21T19:18:48.941983,poptahofzuid,2013,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2013_full_electrification_osm_6b2df0cd,True,68.007747,0,parallel_results\20260121_122457\poptahofzuid_2013_full_electrification_osm_6b2df0cd,2026-01-21T19:20:25.373635,poptahofzuid,2013,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2013_hybrid_stedin_c5ff17d9,True,183.365523,0,parallel_results\20260121_122457\poptahofzuid_2013_hybrid_stedin_c5ff17d9,2026-01-21T19:21:34.307334,poptahofzuid,2013,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2013_hybrid_osm_3b96e151,True,176.116583,0,parallel_results\20260121_122457\poptahofzuid_2013_hybrid_osm_3b96e151,2026-01-21T19:24:38.306670,poptahofzuid,2013,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2019_district_heating_stedin_f8340853,True,43.668197,0,parallel_results\20260121_122457\poptahofzuid_2019_district_heating_stedin_f8340853,2026-01-21T19:27:34.520148,poptahofzuid,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2019_district_heating_osm_30001808,True,68.481521,0,parallel_results\20260121_122457\poptahofzuid_2019_district_heating_osm_30001808,2026-01-21T19:28:18.784907,poptahofzuid,2019,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2019_full_electrification_stedin_b5e31cc9,True,94.125597,0,parallel_results\20260121_122457\poptahofzuid_2019_full_electrification_stedin_b5e31cc9,2026-01-21T19:29:27.984267,poptahofzuid,2019,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2019_full_electrification_osm_f042c626,True,67.640847,0,parallel_results\20260121_122457\poptahofzuid_2019_full_electrification_osm_f042c626,2026-01-21T19:31:02.960598,poptahofzuid,2019,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2019_hybrid_stedin_3607bda1,True,182.514365,0,parallel_results\20260121_122457\poptahofzuid_2019_hybrid_stedin_3607bda1,2026-01-21T19:32:10.886207,poptahofzuid,2019,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2019_hybrid_osm_5af392ad,True,176.600801,0,parallel_results\20260121_122457\poptahofzuid_2019_hybrid_osm_5af392ad,2026-01-21T19:35:14.050956,poptahofzuid,2019,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2020_district_heating_stedin_2225618a,True,43.788475,0,parallel_results\20260121_122457\poptahofzuid_2020_district_heating_stedin_2225618a,2026-01-21T19:38:11.061101,poptahofzuid,2020,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2020_district_heating_osm_d70277a6,True,68.377156,0,parallel_results\20260121_122457\poptahofzuid_2020_district_heating_osm_d70277a6,2026-01-21T19:38:55.554956,poptahofzuid,2020,district_heating,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2020_full_electrification_stedin_b288bec8,True,93.557806,0,parallel_results\20260121_122457\poptahofzuid_2020_full_electrification_stedin_b288bec8,2026-01-21T19:40:03.968082,poptahofzuid,2020,full_electrification,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2020_full_electrification_osm_5da88daa,True,67.837723,0,parallel_results\20260121_122457\poptahofzuid_2020_full_electrification_osm_5da88daa,2026-01-21T19:41:37.772189,poptahofzuid,2020,full_electrification,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2020_hybrid_stedin_e29f6850,True,179.010734,0,parallel_results\20260121_122457\poptahofzuid_2020_hybrid_stedin_e29f6850,2026-01-21T19:42:46.081101,poptahofzuid,2020,hybrid,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
poptahofzuid_2020_hybrid_osm_c9e89cdf,True,174.197419,0,parallel_results\20260121_122457\poptahofzuid_2020_hybrid_osm_c9e89cdf,2026-01-21T19:45:45.278563,poptahofzuid,2020,hybrid,osm,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52,29,0.247,0.247
