techs,capacity_kw
D1_to_TE2,0.0
D2_to_TE2,0.0
D3_to_TE2,0.0
SE1_to_TE2,302.6106728024015
SH1_to_TE1,300.0
TE1_to_TE2,302.0735263790376
supply_electricity,303.00861308183323
