nodes,techs,parameters,timesteps,2050/01/01 00:00
D0503100000010379,demand_LQ_heat,sink_use_equals,,6.87380419944578
D0503100000010380,demand_LQ_heat,sink_use_equals,,6.300134467652685
D0503100000010381,demand_LQ_heat,sink_use_equals,,6.56120177889076
D0503100000010382,demand_LQ_heat,sink_use_equals,,6.743443888064434
D0503100000010383,demand_LQ_heat,sink_use_equals,,7.220184206021715
D0503100000010384,demand_LQ_heat,sink_use_equals,,5.465172044350446
D0503100000010385,demand_LQ_heat,sink_use_equals,,6.9064050249968165
D0503100000010386,demand_LQ_heat,sink_use_equals,,5.872013413688773
D0503100000010387,demand_LQ_heat,sink_use_equals,,5.9815150597141375
D0503100000010388,demand_LQ_heat,sink_use_equals,,6.159014211929669
D0503100000010389,demand_LQ_heat,sink_use_equals,,5.664659877344697
D0503100000010390,demand_LQ_heat,sink_use_equals,,6.958850506805293
D0503100000010391,demand_LQ_heat,sink_use_equals,,6.768610144292846
D0503100000010392,demand_LQ_heat,sink_use_equals,,6.862239504809714
D0503100000010393,demand_LQ_heat,sink_use_equals,,6.1266050417288245
D0503100000010394,demand_LQ_heat,sink_use_equals,,8.581150193780879
D0503100000010395,demand_LQ_heat,sink_use_equals,,6.505619019912958
D0503100000010396,demand_LQ_heat,sink_use_equals,,6.510574843162741
D0503100000010398,demand_LQ_heat,sink_use_equals,,6.327475802803564
D0503100000010399,demand_LQ_heat,sink_use_equals,,6.961505659077639
D0503100000010400,demand_LQ_heat,sink_use_equals,,5.969344954002628
D0503100000010401,demand_LQ_heat,sink_use_equals,,6.907142357643317
D0503100000010402,demand_LQ_heat,sink_use_equals,,6.352985898001551
D0503100000011809,demand_LQ_heat,sink_use_equals,,5.960294910068502
D0503100000011810,demand_LQ_heat,sink_use_equals,,7.711432061118614
D0503100000011811,demand_LQ_heat,sink_use_equals,,7.155555595234363
D0503100000011812,demand_LQ_heat,sink_use_equals,,7.165639699379409
D0503100000011813,demand_LQ_heat,sink_use_equals,,6.653934410253785
D0503100000011814,demand_LQ_heat,sink_use_equals,,6.244433011440851
D0503100000011815,demand_LQ_heat,sink_use_equals,,7.690288462595649
D0503100000011816,demand_LQ_heat,sink_use_equals,,6.662631154993169
D0503100000011817,demand_LQ_heat,sink_use_equals,,6.480104576248976
D0503100000011818,demand_LQ_heat,sink_use_equals,,6.359486991043419
D0503100000011819,demand_LQ_heat,sink_use_equals,,7.077672863956173
D0503100000011820,demand_LQ_heat,sink_use_equals,,6.269645173883401
D0503100000011821,demand_LQ_heat,sink_use_equals,,6.797060027096533
D0503100000011822,demand_LQ_heat,sink_use_equals,,6.861163458937435
D0503100000011823,demand_LQ_heat,sink_use_equals,,5.589012967632978
D0503100000011824,demand_LQ_heat,sink_use_equals,,6.493411130648055
D0503100000011825,demand_LQ_heat,sink_use_equals,,5.807035387299682
D0503100000011826,demand_LQ_heat,sink_use_equals,,7.11619826059941
D0503100000019293,demand_LQ_heat,sink_use_equals,,103.5969477970362
D0503100000019294,demand_LQ_heat,sink_use_equals,,87.04319687171765
D0503100000019295,demand_LQ_heat,sink_use_equals,,86.19996144710979
D0503100000019296,demand_LQ_heat,sink_use_equals,,133.80675066826154
D0503100000019367,demand_LQ_heat,sink_use_equals,,132.81829560532387
D0503100000019368,demand_LQ_heat,sink_use_equals,,134.61684635103413
D0503100000019369,demand_LQ_heat,sink_use_equals,,96.17621999922538
D0503100000019370,demand_LQ_heat,sink_use_equals,,78.9482289192136
D0503100000019374,demand_LQ_heat,sink_use_equals,,96.17527758271356
D0503100000019375,demand_LQ_heat,sink_use_equals,,90.91859221031778
D0503100000019377,demand_LQ_heat,sink_use_equals,,133.0072297305831
D0503100000019378,demand_LQ_heat,sink_use_equals,,89.8811134600526
D0503100000019379,demand_LQ_heat,sink_use_equals,,101.4315779432121
D0503100000019380,demand_LQ_heat,sink_use_equals,,89.93513340767868
D0503100000019684,demand_LQ_heat,sink_use_equals,,161.85688520758822
D0503100000019685,demand_LQ_heat,sink_use_equals,,135.50384479854284
D0503100000019686,demand_LQ_heat,sink_use_equals,,99.33283930881112
D0503100000019751,demand_LQ_heat,sink_use_equals,,88.95885876355638
D0503100000019754,demand_LQ_heat,sink_use_equals,,120.50764581069475
D0503100000019755,demand_LQ_heat,sink_use_equals,,82.9155701990636
D0503100000019756,demand_LQ_heat,sink_use_equals,,95.18779214182004
D0503100000019757,demand_LQ_heat,sink_use_equals,,89.6901402382974
D0503100000019758,demand_LQ_heat,sink_use_equals,,89.67349224916403
D0503100000019761,demand_LQ_heat,sink_use_equals,,92.73132057509804
D0503100000019762,demand_LQ_heat,sink_use_equals,,92.70050779575304
D0503100000019763,demand_LQ_heat,sink_use_equals,,94.97129672739102
D0503100000019764,demand_LQ_heat,sink_use_equals,,98.30532114784674
D0503100000019765,demand_LQ_heat,sink_use_equals,,92.29170110830574
D0503100000019766,demand_LQ_heat,sink_use_equals,,96.79760607434832
D0503100000019767,demand_LQ_heat,sink_use_equals,,88.27478282414617
D0503100000019768,demand_LQ_heat,sink_use_equals,,92.92499707337784
D0503100000019769,demand_LQ_heat,sink_use_equals,,96.49527387685986
D0503100000019770,demand_LQ_heat,sink_use_equals,,92.83500614813984
D0503100000019771,demand_LQ_heat,sink_use_equals,,97.09579961366924
D0503100000019841,demand_LQ_heat,sink_use_equals,,685.4599500370889
D0503100000019844,demand_LQ_heat,sink_use_equals,,7.76408667293645
D0503100000019845,demand_LQ_heat,sink_use_equals,,585.7203831727215
D0503100000019846,demand_LQ_heat,sink_use_equals,,97.87039730981556
D0503100000019847,demand_LQ_heat,sink_use_equals,,108.13178547141632
D0503100000019852,demand_LQ_heat,sink_use_equals,,6.600300702067892
D0503100000019853,demand_LQ_heat,sink_use_equals,,7.474077179471218
