run_id,success,duration_seconds,returncode,output_dir,timestamp,neighborhood,year,scenario,topology_source,spacing_m,heat_pump_cop,heat_substation_eff,delta_t,flow_speed,distance_factor_heat_trans_main,distance_factor_heat_dist_main,distance_factor_heat_dist_sec,distance_factor_elec_dist_main,distance_factor_elec_dist_sec,apply_heat_losses,apply_electricity_losses,heat_loss_rate_trans_main,heat_loss_rate_dist_main,heat_loss_rate_dist_sec,elec_resistance_main,elec_resistance_sec
multatulibuurt_2019_district_heating_stedin_afe0f50e,True,449.146295,0,parallel_results\20260121_202918\multatulibuurt_2019_district_heating_stedin_afe0f50e,2026-01-21T23:02:29.043636,multatulibuurt,2019,district_heating,stedin,5.0,4.0,0.9,25,0.62,1.0,1.0,1.0,1.0,1.0,True,True,65.8,52.0,31.9,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_0691ed8a,True,1196.144283,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_0691ed8a,2026-01-21T23:09:58.775969,multatulibuurt,2019,full_electrification,stedin,2.5,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_66e97c04,True,273.10628,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_66e97c04,2026-01-21T23:29:55.460284,multatulibuurt,2019,full_electrification,stedin,10.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_9db077b9,True,475.598506,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_9db077b9,2026-01-21T23:34:29.405176,multatulibuurt,2019,full_electrification,stedin,5.0,3.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_c2004747,True,486.657267,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_c2004747,2026-01-21T23:42:25.026792,multatulibuurt,2019,full_electrification,stedin,5.0,5.5,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_b6753add,True,471.214627,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_b6753add,2026-01-21T23:50:32.423970,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,0.9,1.0,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_fc32b2a9,True,491.330507,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_fc32b2a9,2026-01-21T23:58:23.869392,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.1,1.0,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_9c772217,True,497.147061,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_9c772217,2026-01-22T00:06:36.111064,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,0.9,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_2f80fa9f,True,474.761486,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_2f80fa9f,2026-01-22T00:14:53.623302,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.1,True,True,59.2,46.8,26.1,0.247,0.247
multatulibuurt_2019_full_electrification_stedin_23db19da,True,492.555829,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_23db19da,2026-01-22T00:22:49.168731,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.222,0.247
multatulibuurt_2019_full_electrification_stedin_3c11fd9c,True,473.955477,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_3c11fd9c,2026-01-22T00:31:02.050993,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.272,0.247
multatulibuurt_2019_full_electrification_stedin_7f1b4b58,True,489.777862,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_7f1b4b58,2026-01-22T00:38:56.942926,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.247,0.222
multatulibuurt_2019_full_electrification_stedin_c86d035e,True,487.044431,0,parallel_results\20260121_202918\multatulibuurt_2019_full_electrification_stedin_c86d035e,2026-01-22T00:47:07.307035,multatulibuurt,2019,full_electrification,stedin,5.0,4.0,0.81,25,0.56,1.0,0.9,0.9,1.0,1.0,True,True,59.2,46.8,26.1,0.247,0.272
