run_id,neighborhood,year,scenario,topology_source,success,duration_seconds,scenario_info_neighborhood_name,scenario_info_year,scenario_info_scenario_type,scenario_info_topology_source,scenario_info_timestamp,scenario_info_spacing_m,technology_parameters_heat_pump_cop,technology_parameters_heat_substation_eff,technology_parameters_hybrid_threshold_kW,postprocessing_parameters_pipe_sizing_heat_capacity,postprocessing_parameters_pipe_sizing_density,postprocessing_parameters_pipe_sizing_delta_T,postprocessing_parameters_pipe_sizing_flow_speed,postprocessing_parameters_distance_factors_Heat transmission main,postprocessing_parameters_distance_factors_LQ heat distribution main,postprocessing_parameters_distance_factors_LQ heat distribution secondary,postprocessing_parameters_distance_factors_LV electricity distribution main,postprocessing_parameters_distance_factors_LV electricity distribution secondary,postprocessing_parameters_heat_loss_rates_Heat transmission main,postprocessing_parameters_heat_loss_rates_LQ heat distribution main,postprocessing_parameters_heat_loss_rates_LQ heat distribution secondary,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution main,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution secondary,model_size_num_nodes,model_size_num_techs,model_size_num_carriers,model_size_num_links,results_summary_total_capacity_installed,results_summary_supply_geothermal_capacity_original_kW,results_summary_supply_geothermal_capacity_adjusted_kW,results_summary_supply_geothermal_additional_for_losses_kW,results_summary_heat_pump_capacity_kW,results_summary_heat_pump_electricity_capacity_kW,results_summary_supply_LV_electricity_capacity_kW,results_summary_total_heat_demand_kW,results_summary_heat_losses_total_system_losses_kW,results_summary_heat_losses_LQ_network_losses_kW,results_summary_heat_losses_HQ_network_losses_kW,results_summary_heat_losses_substation_efficiency_losses_kW,results_summary_heat_losses_loss_percentage,results_summary_district_heating_efficiency,execution_time_total_seconds,heat_loss_info_apply_heat_losses,heat_loss_info_total_system_losses_kw,electricity_loss_info_apply_electricity_losses,electricity_loss_info_total_lv_losses_kw,unmet_demand_info_total_unmet_demand_kw,unmet_demand_info_num_unmet_nodes,unmet_demand_info_total_demand_nodes,unmet_demand_info_unmet_demand_fraction,connectivity_info_num_isolated_demand_nodes_requiring_bridges,connectivity_info_isolated_demand_nodes_list,connectivity_info_total_demand_nodes_in_network,connectivity_info_connectivity_status,supply_losses_substation_multatulibuurt,supply_losses_geothermie_delft,results_summary_supply_geothermal_capacity_kW,results_summary_supply_LV_electricity_capacity_original_kW,results_summary_supply_LV_electricity_capacity_adjusted_kW,results_summary_supply_LV_electricity_additional_for_losses_kW,results_summary_electricity_losses_total_lv_losses_kW,results_summary_electricity_losses_loss_percentage,supply_losses_MV_LV_transformer1,supply_losses_MV_LV_transformer11,supply_losses_MV_LV_transformer12,supply_losses_MV_LV_transformer2,supply_losses_MV_LV_transformer3,supply_losses_MV_LV_transformer4,supply_losses_MV_LV_transformer7,supply_losses_MV_LV_transformer9
multatulibuurt_2019_full_electrification_stedin_9db077b9,multatulibuurt,2019,full_electrification,stedin,True,475.598506,Multatulibuurt,2019,full_electrification,stedin,2026-01-21T23:42:20.119883,5.0,3.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.247,0.247,3461,3815,3,3809,91420.806195029,,,,4735.97523464146,1578.6584115471533,,4735.97523464146,,,,,,,467.5412115001818,True,0.0,True,127.59534192753651,0.0,0,376,0/376,6,"D0503100000020028, D0503100000019940, D0503100000020034, D0503100000020032, D0503100000020033, D0503100000019939",376,partially_connected_with_emergency_links,,,0.0,1578.6584115471533,1706.2537534746898,127.59534192753651,127.59534192753651,8.08251747143244,1.3542681101437422,20.01574161547608,0.4266392609606691,3.768908391020407,100.37851873723463,0.06401649863651454,0.7567185273513457,0.8305307867131967
multatulibuurt_2019_full_electrification_stedin_c2004747,multatulibuurt,2019,full_electrification,stedin,True,486.657267,Multatulibuurt,2019,full_electrification,stedin,2026-01-21T23:50:27.079840,5.0,5.5,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.247,0.247,3461,3815,3,3809,52018.6103039437,,,,4735.97523464146,861.0864062984473,,4735.97523464146,,,,,,,477.6398177999072,True,0.0,True,35.014970520285864,0.0,0,376,0/376,6,"D0503100000019940, D0503100000020028, D0503100000020033, D0503100000020032, D0503100000020034, D0503100000019939",376,partially_connected_with_emergency_links,,,0.0,861.0864062984472,896.101376818733,35.014970520285864,35.014970520285864,4.066371303061762,0.4014216378176304,5.804261855891583,0.1265601206962007,1.1052320577213555,27.088682854667038,0.019004783675606315,0.22417199013803552,0.24563521967848467
multatulibuurt_2019_full_electrification_stedin_b6753add,multatulibuurt,2019,full_electrification,stedin,True,471.214627,Multatulibuurt,2019,full_electrification,stedin,2026-01-21T23:58:19.332638,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,0.9,1.0,59.2,46.8,26.1,0.247,0.247,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,462.349850599654,True,0.0,True,61.099734967861764,0.0,0,376,0/376,6,"D0503100000020032, D0503100000020028, D0503100000020033, D0503100000019940, D0503100000019939, D0503100000020034",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1245.093543628227,61.099734967861764,61.099734967861764,5.160477573526616,0.6841106952627253,10.006467326347204,0.21569383982123563,1.9164825673699897,47.443700914993954,0.03237870325668389,0.3820970571331112,0.4188038636768173
multatulibuurt_2019_full_electrification_stedin_fc32b2a9,multatulibuurt,2019,full_electrification,stedin,True,491.330507,Multatulibuurt,2019,full_electrification,stedin,2026-01-22T00:06:30.372486,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.1,1.0,59.2,46.8,26.1,0.247,0.247,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,482.06003809999675,True,0.0,True,76.25692647869475,0.0,0,376,0/376,6,"D0503100000019939, D0503100000019940, D0503100000020034, D0503100000020032, D0503100000020033, D0503100000020028",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1260.25073513906,76.25692647869475,76.25692647869475,6.440652469709786,0.8364072521970326,12.20260310943006,0.2635198972659441,2.2906322234354497,59.644371635421194,0.03955614082557768,0.46725569546729073,0.5125805246522115
multatulibuurt_2019_full_electrification_stedin_9c772217,multatulibuurt,2019,full_electrification,stedin,True,497.147061,Multatulibuurt,2019,full_electrification,stedin,2026-01-22T00:14:48.035573,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,0.9,59.2,46.8,26.1,0.247,0.247,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,487.4752093999414,True,0.0,True,68.38757517947526,0.0,0,376,0/376,6,"D0503100000019939, D0503100000020032, D0503100000020034, D0503100000020028, D0503100000019940, D0503100000020033",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1252.3813838398405,68.38757517947526,68.38757517947526,5.776007837140018,0.7598711996671101,11.041216379471575,0.23943218179412343,2.0749098469420346,53.34622774674213,0.03594531741546332,0.4244592354524184,0.465513271990411
multatulibuurt_2019_full_electrification_stedin_2f80fa9f,multatulibuurt,2019,full_electrification,stedin,True,474.761486,Multatulibuurt,2019,full_electrification,stedin,2026-01-22T00:22:43.259666,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.1,59.2,46.8,26.1,0.247,0.247,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,465.27515670016874,True,0.0,True,68.76604588604776,0.0,0,376,0/376,6,"D0503100000020032, D0503100000020034, D0503100000020033, D0503100000020028, D0503100000019939, D0503100000019940",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1252.759854546413,68.76604588604776,68.76604588604776,5.8079734355919825,0.7605533516851772,11.158971116143277,0.2397583836482838,2.1314225990089186,53.548740947428385,0.03598696236677342,0.42483318286801863,0.46577934289890655
multatulibuurt_2019_full_electrification_stedin_23db19da,multatulibuurt,2019,full_electrification,stedin,True,492.555829,Multatulibuurt,2019,full_electrification,stedin,2026-01-22T00:30:56.876553,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.222,0.247,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,482.85655090003274,True,0.0,True,61.01013006659671,0.0,0,376,0/376,6,"D0503100000020034, D0503100000019939, D0503100000020032, D0503100000020028, D0503100000019940, D0503100000020033",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1245.003938726962,61.01013006659671,61.01013006659671,5.152909552426367,0.6831869579336012,9.993238555577868,0.2154036811803166,1.9142199481538957,47.37192965061845,0.03233514690240965,0.3815806361210192,0.4182354901091293
multatulibuurt_2019_full_electrification_stedin_3c11fd9c,multatulibuurt,2019,full_electrification,stedin,True,473.955477,Multatulibuurt,2019,full_electrification,stedin,2026-01-22T00:38:51.186841,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.272,0.247,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,464.40292179991957,True,0.0,True,76.35149493438072,0.0,0,376,0/376,6,"D0503100000020033, D0503100000019940, D0503100000020032, D0503100000019939, D0503100000020028, D0503100000020034",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1260.345303594746,76.35149493438072,76.35149493438072,6.448639712125603,0.8373332720363612,12.216048999037138,0.2638106221993225,2.2929139719393454,59.720863577254036,0.039599759848840115,0.4677735909908318,0.5131511410748525
multatulibuurt_2019_full_electrification_stedin_7f1b4b58,multatulibuurt,2019,full_electrification,stedin,True,489.777862,Multatulibuurt,2019,full_electrification,stedin,2026-01-22T00:47:01.394885,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.247,0.222,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,480.1677125999704,True,0.0,True,68.38527687074544,0.0,0,376,0/376,6,"D0503100000019940, D0503100000020028, D0503100000020034, D0503100000020032, D0503100000020033, D0503100000019939",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1252.3790855311106,68.38527687074544,68.38527687074544,5.775813722211966,0.7598670570436461,11.040501281873794,0.239430200811248,2.074566656824384,53.34499798898945,0.03594506451090459,0.4244569645167646,0.46551165617524376
multatulibuurt_2019_full_electrification_stedin_c86d035e,multatulibuurt,2019,full_electrification,stedin,True,487.044431,Multatulibuurt,2019,full_electrification,stedin,2026-01-22T00:55:09.069757,5.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.247,0.272,3461,3815,3,3809,69749.59845493214,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,476.2648999001831,True,0.0,True,68.76834438752559,0.0,0,376,0/376,6,"D0503100000019940, D0503100000020034, D0503100000020028, D0503100000020033, D0503100000020032, D0503100000019939",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1252.7621530478907,68.76834438752559,68.76834438752559,5.808167566799511,0.7605574943088961,11.159686238019454,0.23976036463124833,2.13176579859255,53.54997086418412,0.0359872152713399,0.4248354538038092,0.46578095871420716
