run_id,neighborhood,year,scenario,topology_source,success,duration_seconds,scenario_info_neighborhood_name,scenario_info_year,scenario_info_scenario_type,scenario_info_topology_source,scenario_info_timestamp,scenario_info_spacing_m,technology_parameters_heat_pump_cop,technology_parameters_heat_substation_eff,technology_parameters_hybrid_threshold_kW,postprocessing_parameters_pipe_sizing_heat_capacity,postprocessing_parameters_pipe_sizing_density,postprocessing_parameters_pipe_sizing_delta_T,postprocessing_parameters_pipe_sizing_flow_speed,postprocessing_parameters_distance_factors_Heat transmission main,postprocessing_parameters_distance_factors_LQ heat distribution main,postprocessing_parameters_distance_factors_LQ heat distribution secondary,postprocessing_parameters_distance_factors_LV electricity distribution main,postprocessing_parameters_distance_factors_LV electricity distribution secondary,postprocessing_parameters_heat_loss_rates_Heat transmission main,postprocessing_parameters_heat_loss_rates_LQ heat distribution main,postprocessing_parameters_heat_loss_rates_LQ heat distribution secondary,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution main,postprocessing_parameters_electricity_resistance_rates_LV electricity distribution secondary,model_size_num_nodes,model_size_num_techs,model_size_num_carriers,model_size_num_links,results_summary_total_capacity_installed,results_summary_supply_geothermal_capacity_original_kW,results_summary_supply_geothermal_capacity_adjusted_kW,results_summary_supply_geothermal_additional_for_losses_kW,results_summary_heat_pump_capacity_kW,results_summary_heat_pump_electricity_capacity_kW,results_summary_supply_LV_electricity_capacity_kW,results_summary_total_heat_demand_kW,results_summary_heat_losses_total_system_losses_kW,results_summary_heat_losses_LQ_network_losses_kW,results_summary_heat_losses_HQ_network_losses_kW,results_summary_heat_losses_substation_efficiency_losses_kW,results_summary_heat_losses_loss_percentage,results_summary_district_heating_efficiency,execution_time_total_seconds,heat_loss_info_apply_heat_losses,heat_loss_info_total_system_losses_kw,electricity_loss_info_apply_electricity_losses,electricity_loss_info_total_lv_losses_kw,unmet_demand_info_total_unmet_demand_kw,unmet_demand_info_num_unmet_nodes,unmet_demand_info_total_demand_nodes,unmet_demand_info_unmet_demand_fraction,connectivity_info_num_isolated_demand_nodes_requiring_bridges,connectivity_info_isolated_demand_nodes_list,connectivity_info_total_demand_nodes_in_network,connectivity_info_connectivity_status,supply_losses_substation_multatulibuurt,supply_losses_geothermie_delft,results_summary_supply_geothermal_capacity_kW,results_summary_supply_LV_electricity_capacity_original_kW,results_summary_supply_LV_electricity_capacity_adjusted_kW,results_summary_supply_LV_electricity_additional_for_losses_kW,results_summary_electricity_losses_total_lv_losses_kW,results_summary_electricity_losses_loss_percentage,supply_losses_MV_LV_transformer1,supply_losses_MV_LV_transformer11,supply_losses_MV_LV_transformer12,supply_losses_MV_LV_transformer2,supply_losses_MV_LV_transformer3,supply_losses_MV_LV_transformer4,supply_losses_MV_LV_transformer7,supply_losses_MV_LV_transformer9
multatulibuurt_2019_district_heating_stedin_3b7898fd,multatulibuurt,2019,district_heating,stedin,True,557.804053,Multatulibuurt,2019,district_heating,stedin,2026-01-21T22:10:50.726110,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,0.9,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5748.338216692783,486.1435115356062,0.0,0.0,0.0,4735.97523464146,1012.362982051323,351.0495179598744,96.08849158018894,565.2249725112597,21.376019339086866,0.8238859747132675,545.1545118998038,True,1012.362982051323,True,0.0,0.0,0,376,0/376,6,"D0503100000019939, D0503100000020032, D0503100000020034, D0503100000019940, D0503100000020033, D0503100000020028",376,partially_connected_with_emergency_links,351.0495179598744,486.1435115356062,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_7087196c,multatulibuurt,2019,district_heating,stedin,True,532.524924,Multatulibuurt,2019,district_heating,stedin,2026-01-21T22:19:45.236388,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.1,1.0,1.0,65.8,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5772.341191763029,510.14648660585226,0.0,0.0,0.0,4735.97523464146,1036.3659571215712,372.65219552309793,96.08849158018894,567.6252700182843,21.88284156431046,0.820460031260724,521.3097818999086,True,1036.3659571215712,True,0.0,0.0,0,376,0/376,6,"D0503100000019939, D0503100000019940, D0503100000020033, D0503100000020034, D0503100000020032, D0503100000020028",376,partially_connected_with_emergency_links,372.65219552309793,510.14648660585226,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_86e24062,multatulibuurt,2019,district_heating,stedin,True,519.986694,Multatulibuurt,2019,district_heating,stedin,2026-01-21T22:28:25.988225,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,59.2,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5750.701648841443,488.50694368426593,0.0,0.0,0.0,4735.97523464146,1014.7264141999843,361.85085674148615,86.45043619372622,566.425121264772,21.42592315047874,0.8235473727967763,509.91681899980176,True,1014.7264141999843,True,0.0,0.0,0,376,0/376,6,"D0503100000019939, D0503100000020028, D0503100000020033, D0503100000020034, D0503100000019940, D0503100000020032",376,partially_connected_with_emergency_links,361.85085674148615,488.50694368426593,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_9c4bd898,multatulibuurt,2019,district_heating,stedin,True,518.330951,Multatulibuurt,2019,district_heating,stedin,2026-01-21T22:37:03.627971,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,72.4,52.0,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5769.9777596143695,507.7830544571925,0.0,0.0,0.0,4735.97523464146,1034.0025249729097,361.85085674148604,105.72654696665165,566.425121264772,21.832937752918582,0.8207960986937988,507.68365000002086,True,1034.0025249729097,True,0.0,0.0,0,376,0/376,6,"D0503100000020028, D0503100000019939, D0503100000019940, D0503100000020032, D0503100000020033, D0503100000020034",376,partially_connected_with_emergency_links,361.85085674148604,507.7830544571925,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_3aa5e61f,multatulibuurt,2019,district_heating,stedin,True,521.24656,Multatulibuurt,2019,district_heating,stedin,2026-01-21T22:45:45.355654,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,46.8,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5732.135541013976,469.9408358567989,0.0,0.0,0.0,4735.97523464146,996.1603063725174,336.4671098489494,96.08849158018894,563.604704943379,21.033900242680055,0.8262148026254972,510.42397370003164,True,996.1603063725174,True,0.0,0.0,0,376,0/376,6,"D0503100000020034, D0503100000019939, D0503100000020028, D0503100000020032, D0503100000019940, D0503100000020033",376,partially_connected_with_emergency_links,336.4671098489494,469.9408358567989,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_40a64e12,multatulibuurt,2019,district_heating,stedin,True,495.911893,Multatulibuurt,2019,district_heating,stedin,2026-01-21T22:54:02.600570,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,57.2,29.0,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5788.5438674418365,526.3491622846595,0.0,0.0,0.0,4735.97523464146,1052.5686328003762,387.23460363402233,96.08849158018894,569.245537586165,22.224960660717258,0.8181634868968274,485.8915474000387,True,1052.5686328003762,True,0.0,0.0,0,376,0/376,6,"D0503100000019940, D0503100000020034, D0503100000020032, D0503100000020033, D0503100000020028, D0503100000019939",376,partially_connected_with_emergency_links,387.23460363402233,526.3491622846595,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_53b40c64,multatulibuurt,2019,district_heating,stedin,True,500.32034,Multatulibuurt,2019,district_heating,stedin,2026-01-21T23:02:23.826875,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,26.1,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5748.338216692783,486.1435115356062,0.0,0.0,0.0,4735.97523464146,1012.3629820513231,351.04951795987444,96.08849158018894,565.2249725112597,21.37601933908687,0.8238859747132675,491.2879407000728,True,1012.3629820513231,True,0.0,0.0,0,376,0/376,6,"D0503100000020028, D0503100000019939, D0503100000019940, D0503100000020033, D0503100000020032, D0503100000020034",376,partially_connected_with_emergency_links,351.04951795987444,486.1435115356062,,,,,,,,,,,,,,
multatulibuurt_2019_district_heating_stedin_afe0f50e,multatulibuurt,2019,district_heating,stedin,True,449.146295,Multatulibuurt,2019,district_heating,stedin,2026-01-21T23:09:53.563142,5.0,4.0,0.9,50,4.19,1000,25.0,0.62,1.0,1.0,1.0,1.0,1.0,65.8,52.0,31.9,0.247,0.247,3582,3600,3,3595,965807.7456300141,5262.194705157177,5772.341191763029,510.14648660585226,0.0,0.0,0.0,4735.97523464146,1036.3659571215708,372.6521955230977,96.08849158018894,567.6252700182843,21.88284156431045,0.820460031260724,440.197215099819,True,1036.3659571215708,True,0.0,0.0,0,376,0/376,6,"D0503100000020034, D0503100000020032, D0503100000019939, D0503100000020033, D0503100000019940, D0503100000020028",376,partially_connected_with_emergency_links,372.6521955230977,510.14648660585226,,,,,,,,,,,,,,
multatulibuurt_2019_full_electrification_stedin_0691ed8a,multatulibuurt,2019,full_electrification,stedin,True,1196.144283,Multatulibuurt,2019,full_electrification,stedin,2026-01-21T23:29:40.924394,2.5,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.247,0.247,5598,6044,3,6038,114730.22652174701,,,,4735.97523464146,1183.993808660365,,4735.97523464146,,,,,,,1177.734310200205,True,0.0,True,68.87497461810001,0.0,0,376,0/376,6,"D0503100000020028, D0503100000020034, D0503100000020033, D0503100000019939, D0503100000019940, D0503100000020032",376,partially_connected_with_emergency_links,,,0.0,1183.9938086603652,1252.8687832784651,68.87497461810001,68.87497461810001,5.817173545529677,0.7662510904632992,11.287978389889314,0.21721298281286966,2.1037096050215673,53.60467339717797,0.036046997846365884,0.3940241712452173,0.465077983643204
multatulibuurt_2019_full_electrification_stedin_66e97c04,multatulibuurt,2019,full_electrification,stedin,True,273.10628,Multatulibuurt,2019,full_electrification,stedin,2026-01-21T23:34:26.985540,10.0,4.0,0.81,50,4.19,1000,25.0,0.56,1.0,0.9,0.9,1.0,1.0,59.2,46.8,26.1,0.247,0.247,2432,2742,3,2736,48797.3217299097,,,,4735.975234641459,1183.993808660365,,4735.975234641459,,,,,,,265.6945100999437,True,0.0,True,68.80375702028056,0.0,0,376,0/376,6,"D0503100000020033, D0503100000019939, D0503100000020034, D0503100000020028, D0503100000019940, D0503100000020032",376,partially_connected_with_emergency_links,,,0.0,1183.993808660365,1252.7975656806454,68.80375702028056,68.80375702028056,5.811158514260212,0.7608999056771246,11.397540864601469,0.2167610742274958,2.1023192298854845,53.4575086860159,0.036558342174968596,0.36575884736537984,0.4664100703328768
