techs,carrier_out,carrier_in
LVEtransmission438_to_LVEtransmission485_electricity,1,1
LVEtransmission485_to_LVEtransmission336_electricity,1,1
LVEtransmission336_to_LVEtransmission513_electricity,1,1
LVEtransmission513_to_LVEtransmission852_electricity,1,1
LVEtransmission852_to_LVEtransmission489_electricity,1,1
LVEtransmission489_to_LVEtransmission582_electricity,1,1
LVEtransmission582_to_LVEtransmission244_electricity,1,1
LVEtransmission244_to_LVEtransmission185_electricity,1,1
LVEtransmission185_to_LVEtransmission435_electricity,1,1
LVEtransmission435_to_LVEtransmission317_electricity,1,1
LVEtransmission317_to_LVEtransmission623_electricity,1,1
LVEtransmission623_to_LVEtransmission432_electricity,1,1
LVEtransmission432_to_LVEtransmission482_electricity,1,1
LVEtransmission482_to_LVEtransmission124_electricity,1,1
LVEtransmission124_to_LVEtransmission550_electricity,1,1
LVEtransmission550_to_LVEtransmission318_electricity,1,1
LVEtransmission318_to_LVEtransmission762_electricity,1,1
LVEtransmission762_to_LVEtransmission273_electricity,1,1
LVEtransmission273_to_LVEtransmission542_electricity,1,1
LVEtransmission542_to_LVEtransmission129_electricity,1,1
LVEtransmission129_to_LVEtransmission912_electricity,1,1
LVEtransmission912_to_LVEtransmission2_electricity,1,1
LVEtransmission2_to_LVEtransmission404_electricity,1,1
LVEtransmission404_to_LVEtransmission931_electricity,1,1
LVEtransmission931_to_LVEtransmission237_electricity,1,1
LVEtransmission237_to_LVEtransmission749_electricity,1,1
LVEtransmission749_to_LVEtransmission182_electricity,1,1
LVEtransmission182_to_LVEtransmission365_electricity,1,1
LVEtransmission365_to_LVEtransmission123_electricity,1,1
LVEtransmission857_to_LVEtransmission581_electricity,1,1
LVEtransmission581_to_LVEtransmission637_electricity,1,1
LVEtransmission637_to_LVEtransmission574_electricity,1,1
LVEtransmission574_to_LVEtransmission566_electricity,1,1
LVEtransmission821_to_LVEtransmission253_electricity,1,1
LVEtransmission253_to_LVEtransmission938_electricity,1,1
LVEtransmission938_to_LVEtransmission857_electricity,1,1
LVEtransmission857_to_LVEtransmission597_electricity,1,1
LVEtransmission597_to_LVEtransmission708_electricity,1,1
LVEtransmission708_to_LVEtransmission123_electricity,1,1
LVEtransmission903_to_LVEtransmission515_electricity,1,1
LVEtransmission515_to_LVEtransmission914_electricity,1,1
LVEtransmission914_to_LVEtransmission125_electricity,1,1
LVEtransmission125_to_LVEtransmission220_electricity,1,1
LVEtransmission220_to_LVEtransmission725_electricity,1,1
LVEtransmission725_to_LVEtransmission59_electricity,1,1
LVEtransmission59_to_LVEtransmission800_electricity,1,1
LVEtransmission800_to_LVEtransmission422_electricity,1,1
LVEtransmission422_to_LVEtransmission650_electricity,1,1
LVEtransmission650_to_LVEtransmission559_electricity,1,1
LVEtransmission559_to_LVEtransmission347_electricity,1,1
LVEtransmission347_to_LVEtransmission331_electricity,1,1
LVEtransmission331_to_LVEtransmission672_electricity,1,1
LVEtransmission672_to_LVEtransmission65_electricity,1,1
LVEtransmission65_to_LVEtransmission361_electricity,1,1
LVEtransmission361_to_LVEtransmission364_electricity,1,1
LVEtransmission364_to_LVEtransmission714_electricity,1,1
LVEtransmission714_to_LVEtransmission179_electricity,1,1
LVEtransmission179_to_LVEtransmission463_electricity,1,1
LVEtransmission463_to_LVEtransmission35_electricity,1,1
LVEtransmission35_to_LVEtransmission73_electricity,1,1
LVEtransmission73_to_LVEtransmission190_electricity,1,1
LVEtransmission903_to_LVEtransmission739_electricity,1,1
LVEtransmission739_to_LVEtransmission106_electricity,1,1
LVEtransmission106_to_LVEtransmission191_electricity,1,1
LVEtransmission191_to_LVEtransmission827_electricity,1,1
LVEtransmission827_to_LVEtransmission121_electricity,1,1
LVEtransmission566_to_LVEtransmission21_electricity,1,1
LVEtransmission21_to_LVEtransmission55_electricity,1,1
LVEtransmission442_to_LVEtransmission745_electricity,1,1
LVEtransmission745_to_LVEtransmission661_electricity,1,1
LVEtransmission661_to_LVEtransmission881_electricity,1,1
LVEtransmission881_to_LVEtransmission507_electricity,1,1
LVEtransmission507_to_LVEtransmission910_electricity,1,1
LVEtransmission910_to_LVEtransmission142_electricity,1,1
LVEtransmission142_to_LVEtransmission436_electricity,1,1
LVEtransmission436_to_LVEtransmission518_electricity,1,1
LVEtransmission518_to_LVEtransmission55_electricity,1,1
LVEtransmission123_to_LVEtransmission184_electricity,1,1
LVEtransmission184_to_LVEtransmission544_electricity,1,1
LVEtransmission544_to_LVEtransmission471_electricity,1,1
