techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LQHtransmission843_to_LQHtransmission801_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission801,LQHtransmission843
LQHtransmission801_to_LQHtransmission771_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission771,LQHtransmission801
LQHtransmission771_to_LQHtransmission498_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission498,LQHtransmission771
LQHtransmission498_to_LQHtransmission1009_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1009,LQHtransmission498
LQHtransmission1009_to_LQHtransmission670_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission670,LQHtransmission1009
LQHtransmission670_to_LQHtransmission329_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission329,LQHtransmission670
LQHtransmission329_to_LQHtransmission370_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission370,LQHtransmission329
LQHtransmission370_to_LQHtransmission608_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission608,LQHtransmission370
LQHtransmission608_to_LQHtransmission692_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission692,LQHtransmission608
LQHtransmission45_to_LQHtransmission911_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission911,LQHtransmission45
LQHtransmission911_to_LQHtransmission231_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission231,LQHtransmission911
LQHtransmission231_to_LQHtransmission814_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission814,LQHtransmission231
LQHtransmission814_to_LQHtransmission676_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission676,LQHtransmission814
LQHtransmission734_to_LQHtransmission340_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission340,LQHtransmission734
LQHtransmission340_to_LQHtransmission1042_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1042,LQHtransmission340
LQHtransmission1042_to_LQHtransmission124_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission124,LQHtransmission1042
LQHtransmission198_to_LQHtransmission718_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission718,LQHtransmission198
LQHtransmission718_to_LQHtransmission256_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission256,LQHtransmission718
LQHtransmission256_to_LQHtransmission168_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission168,LQHtransmission256
LQHtransmission168_to_LQHtransmission914_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission914,LQHtransmission168
LQHtransmission342_to_LQHtransmission308_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission308,LQHtransmission342
LQHtransmission308_to_LQHtransmission143_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission143,LQHtransmission308
LQHtransmission143_to_LQHtransmission147_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission147,LQHtransmission143
LQHtransmission147_to_LQHtransmission196_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission196,LQHtransmission147
LQHtransmission196_to_LQHtransmission334_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission334,LQHtransmission196
LQHtransmission334_to_LQHtransmission870_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission870,LQHtransmission334
LQHtransmission870_to_LQHtransmission191_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission191,LQHtransmission870
LQHtransmission191_to_LQHtransmission945_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission945,LQHtransmission191
LQHtransmission945_to_LQHtransmission57_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission57,LQHtransmission945
LQHtransmission57_to_LQHtransmission934_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission934,LQHtransmission57
LQHtransmission934_to_LQHtransmission1087_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1087,LQHtransmission934
LQHtransmission570_to_LQHtransmission960_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission960,LQHtransmission570
LQHtransmission960_to_LQHtransmission378_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission378,LQHtransmission960
LQHtransmission378_to_LQHtransmission917_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission917,LQHtransmission378
LQHtransmission917_to_LQHtransmission236_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission236,LQHtransmission917
LQHtransmission662_to_LQHtransmission837_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission837,LQHtransmission662
LQHtransmission837_to_LQHtransmission563_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission563,LQHtransmission837
LQHtransmission563_to_LQHtransmission513_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission513,LQHtransmission563
LQHtransmission513_to_LQHtransmission338_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission338,LQHtransmission513
LQHtransmission338_to_LQHtransmission688_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission688,LQHtransmission338
LQHtransmission688_to_LQHtransmission211_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission211,LQHtransmission688
LQHtransmission211_to_LQHtransmission862_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission862,LQHtransmission211
LQHtransmission862_to_LQHtransmission117_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission117,LQHtransmission862
LQHtransmission117_to_LQHtransmission612_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission612,LQHtransmission117
LQHtransmission612_to_LQHtransmission491_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission491,LQHtransmission612
LQHtransmission491_to_LQHtransmission574_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission574,LQHtransmission491
LQHtransmission574_to_LQHtransmission445_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission445,LQHtransmission574
LQHtransmission347_to_LQHtransmission629_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission629,LQHtransmission347
LQHtransmission629_to_LQHtransmission1072_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission1072,LQHtransmission629
LQHtransmission1072_to_LQHtransmission915_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission915,LQHtransmission1072
LQHtransmission915_to_LQHtransmission363_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission363,LQHtransmission915
LQHtransmission308_to_LQHtransmission577_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission577,LQHtransmission308
LQHtransmission577_to_LQHtransmission278_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission278,LQHtransmission577
LQHtransmission278_to_LQHtransmission584_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission584,LQHtransmission278
LQHtransmission584_to_LQHtransmission368_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission368,LQHtransmission584
