techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LVEtransmission803_to_LVEtransmission1046_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1046,LVEtransmission803
LVEtransmission1046_to_LVEtransmission964_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission964,LVEtransmission1046
LVEtransmission964_to_LVEtransmission890_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission890,LVEtransmission964
LVEtransmission890_to_LVEtransmission857_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission857,LVEtransmission890
LVEtransmission857_to_LVEtransmission56_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission56,LVEtransmission857
LVEtransmission56_to_LVEtransmission207_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission207,LVEtransmission56
LVEtransmission207_to_LVEtransmission917_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission917,LVEtransmission207
LVEtransmission202_to_LVEtransmission397_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission397,LVEtransmission202
LVEtransmission397_to_LVEtransmission1024_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1024,LVEtransmission397
LVEtransmission202_to_LVEtransmission734_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission734,LVEtransmission202
LVEtransmission734_to_LVEtransmission189_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission189,LVEtransmission734
LVEtransmission189_to_LVEtransmission184_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission184,LVEtransmission189
LVEtransmission184_to_LVEtransmission250_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission250,LVEtransmission184
LVEtransmission250_to_LVEtransmission662_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission662,LVEtransmission250
LVEtransmission662_to_LVEtransmission288_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission288,LVEtransmission662
LVEtransmission288_to_LVEtransmission998_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission998,LVEtransmission288
LVEtransmission998_to_LVEtransmission969_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission969,LVEtransmission998
LVEtransmission969_to_LVEtransmission487_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission487,LVEtransmission969
LVEtransmission487_to_LVEtransmission1024_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1024,LVEtransmission487
LVEtransmission1024_to_LVEtransmission24_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission24,LVEtransmission1024
LVEtransmission24_to_LVEtransmission46_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission46,LVEtransmission24
LVEtransmission46_to_LVEtransmission750_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission750,LVEtransmission46
LVEtransmission750_to_LVEtransmission12_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission12,LVEtransmission750
LVEtransmission12_to_LVEtransmission967_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission967,LVEtransmission12
LVEtransmission967_to_LVEtransmission109_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission109,LVEtransmission967
LVEtransmission109_to_LVEtransmission999_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission999,LVEtransmission109
LVEtransmission999_to_LVEtransmission842_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission842,LVEtransmission999
LVEtransmission842_to_LVEtransmission686_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission686,LVEtransmission842
LVEtransmission686_to_LVEtransmission341_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission341,LVEtransmission686
LVEtransmission341_to_LVEtransmission790_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission790,LVEtransmission341
LVEtransmission860_to_LVEtransmission685_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission685,LVEtransmission860
LVEtransmission685_to_LVEtransmission172_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission172,LVEtransmission685
LVEtransmission172_to_LVEtransmission73_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission73,LVEtransmission172
LVEtransmission73_to_LVEtransmission233_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission233,LVEtransmission73
LVEtransmission233_to_LVEtransmission163_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission163,LVEtransmission233
LVEtransmission163_to_LVEtransmission603_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission603,LVEtransmission163
LVEtransmission603_to_LVEtransmission213_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission213,LVEtransmission603
LVEtransmission213_to_LVEtransmission5_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission5,LVEtransmission213
LVEtransmission5_to_LVEtransmission114_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission114,LVEtransmission5
LVEtransmission114_to_LVEtransmission981_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission981,LVEtransmission114
LVEtransmission981_to_LVEtransmission462_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission462,LVEtransmission981
LVEtransmission462_to_LVEtransmission236_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission236,LVEtransmission462
LVEtransmission236_to_LVEtransmission936_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission936,LVEtransmission236
LVEtransmission936_to_LVEtransmission1026_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1026,LVEtransmission936
LVEtransmission1026_to_LVEtransmission489_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission489,LVEtransmission1026
LVEtransmission489_to_LVEtransmission145_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission145,LVEtransmission489
LVEtransmission145_to_LVEtransmission677_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission677,LVEtransmission145
warmtenet15_to_substation_poptahofzuid,#823747,Heat transmission main,transmission,100000,1,20,warmtenet15,substation_poptahofzuid
MV_LV_transformer1_to_LVEtransmission264_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission264,MV_LV_transformer1
MV_LV_transformer2_to_LVEtransmission953_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission953,MV_LV_transformer2
MV_LV_transformer3_to_LVEtransmission578_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission578,MV_LV_transformer3
MV_LV_transformer4_to_LVEtransmission648_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission648,MV_LV_transformer4
