name,capacity_kw,distance_m,flow_rate_m^3/s,diameter_mm,final_diameter_mm
Geothermal heat supply,6234.853077387273,,,,
HQ to LQ heat conversion substation,5163.878999545072,,,,
Heat transmission main_DN350,6234.853077387273,69.33570375591154,0.05952127042851812,349.6192289649415,350.0
Heat transmission main_DN350,6230.290788080134,154.82801488885883,0.05947771635398696,349.49129042735325,350.0
Heat transmission main_DN350,6220.103104700447,237.0817192109121,0.05938045923341716,349.2054319140234,350.0
Heat transmission main_DN350,6204.5031275763695,481.7624435399594,0.05923153343748324,348.76725455733725,350.0
Heat transmission main_DN350,6172.80315879144,172.14734518840646,0.058928908437149784,347.8751550027049,350.0
Heat transmission main_DN350,6161.475863478043,163.60029736688804,0.0588207719663775,347.5558273081795,350.0
Heat transmission main_DN350,6150.710963911301,36.50527946716264,0.05871800442874751,347.25208196643746,350.0
Heat transmission main_DN350,6148.308916522362,94.31119024231013,0.05869507318875763,347.18426887826234,350.0
Heat transmission main_DN350,6142.1032402044175,50.73942853091202,0.0586358304554121,347.00901279133177,350.0
LQ heat distribution main_DN100,486.3167176429966,0.8785670987925092,0.0046426416958758624,97.64315379288874,100.0
LQ heat distribution main_DN100,477.83029672091266,1.1623123754644427,0.0045616257443523885,96.78744824973877,100.0
LQ heat distribution main_DN100,477.7698564773885,2.3922926629314696,0.004561048749187479,96.78132678571724,100.0
LQ heat distribution main_DN100,477.64545725891605,4.022434599536551,0.0045598611671495565,96.76872625739739,100.0
LQ heat distribution main_DN100,477.43629065974017,4.024773384323049,0.004557864349973653,96.74753585196655,100.0
LQ heat distribution main_DN100,477.2270024437554,4.024773050885204,0.004555866371778095,96.72632847933339,100.0
LQ heat distribution main_DN100,477.01771424510935,0.4257402465139699,0.00455386839374806,96.70511645769407,100.0
LQ heat distribution main_DN105,557.8419905090913,2.880689567807727,0.005325460529919726,104.57739023989464,105.0
LQ heat distribution main_DN105,557.6921946515653,3.6071755052812726,0.005324030497866971,104.56334834999171,105.0
LQ heat distribution main_DN105,557.5046215252906,3.4702836658804848,0.005322239823630459,104.54576255286023,105.0
LQ heat distribution main_DN105,557.3241667746648,3.4739035383362475,0.005320517105247397,104.52884134210969,105.0
LQ heat distribution main_DN105,548.7580403862455,4.318778566665926,0.005238740242350793,103.72242145044022,105.0
LQ heat distribution main_DN105,548.5334639007789,4.197630065507106,0.005236596314088581,103.70119533724844,105.0
LQ heat distribution main_DN105,548.3151871373725,4.20798477528326,0.005234512526371098,103.68056048536809,105.0
LQ heat distribution main_DN105,548.0963719290578,4.197630904437434,0.005232423598368094,103.65987060860672,105.0
LQ heat distribution main_DN105,547.878095122027,4.197631323558113,0.0052303398102341485,103.6392275247348,105.0
LQ heat distribution main_DN105,547.6598182932021,1.0030410517985815,0.005228256021892144,103.61858032624815,105.0
LQ heat distribution main_DN105,547.6076601585086,1.1009599563329104,0.005227758092205333,103.6136459852805,105.0
LQ heat distribution main_DN105,547.5504102407792,1.4000514673593587,0.005227211553611257,103.60822967339733,105.0
LQ heat distribution main_DN105,547.4776075644766,1.3407393418497162,0.005226516539995003,103.6013415339567,105.0
LQ heat distribution main_DN110,608.7225007470572,0.29432140184734595,0.0058111933245542455,109.24256188544788,110.0
LQ heat distribution main_DN110,608.7071960341611,0.4933044735538211,0.005811047217509892,109.24118856956684,110.0
LQ heat distribution main_DN110,608.6815442015363,0.75610368984762,0.005810802331279583,109.23888675169248,110.0
