name,capacity_kw,distance_m,flow_rate_m^3/s,diameter_mm,final_diameter_mm
Air-to-air heat pump,9068.030746674853,,,,
LV electricity distribution main,730.1262377917861,9.673299540591351,,,
LV electricity distribution main,549.3642398437638,4.923187680319951,,,
LV electricity distribution main,547.0894564304634,4.923186444525129,,,
LV electricity distribution main,545.9645244695773,12.302533465244881,,,
LV electricity distribution main,544.8333961771524,4.92318520873104,,,
LV electricity distribution main,542.5958291845294,4.923183974173843,,,
LV electricity distribution main,540.3765292974899,4.92318273837989,,,
LV electricity distribution main,538.1752740309182,4.923181501524378,,,
LV electricity distribution main,535.9918444944371,4.923180266084015,,,
LV electricity distribution main,533.8260253191524,4.923179031350571,,,
LV electricity distribution main,531.6776045885545,4.923177795556616,,,
LV electricity distribution main,529.5463737701258,4.926256122230058,,,
LV electricity distribution main,527.4308156612742,4.923175313741326,,,
LV electricity distribution main,406.2732140612931,4.923174078300527,,,
LV electricity distribution main,405.02643670737575,4.923172841444928,,,
LV electricity distribution main,403.78727691081485,4.923171607241953,,,
LV electricity distribution main,360.6663202543863,4.687692893913789,,,
LV electricity distribution main,359.7298605357422,4.716924784922948,,,
LV electricity distribution main,358.7924657117258,4.727476906046717,,,
LV electricity distribution main,357.8578619764836,4.727476509537312,,,
LV electricity distribution main,356.92810841435585,4.716923593878541,,,
LV electricity distribution main,356.00522137424446,4.725304613388987,,,
LV electricity distribution main,355.0854654947398,4.727475319982876,,,
LV electricity distribution main,354.1700255757146,4.716922402129303,,,
LV electricity distribution main,353.261310248835,4.727474529412188,,,
LV electricity distribution main,352.3552280304131,4.72530304250997,,,
LV electricity distribution main,310.6786199380643,4.824699713184441,,,
LV electricity distribution main,309.96302536036586,4.822562219263629,,,
LV electricity distribution main,309.2510300717546,4.822561823927757,,,
LV electricity distribution main,308.54229457556994,4.824698513043971,,,
LV electricity distribution main,307.8364853435157,4.822561032192706,,,
LV electricity distribution main,295.17337313819655,10.719029521843606,,,
LV electricity distribution main,267.1336112672481,3.5540385527332936,,,
LV electricity distribution main,266.7432327361803,3.547175703989627,,,
LV electricity distribution main,266.35474211536194,3.554038758315623,,,
LV electricity distribution main,265.9666333581443,4.739860242953533,,,
LV electricity distribution main,265.4510352041584,4.746619636255824,,,
LV electricity distribution main,264.9367007123777,4.400625745786685,,,
LV electricity distribution main,264.46156624402306,4.403981479170274,,,
LV electricity distribution main,263.98777167874687,4.397405357392163,,,
