techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LVEtransmission931_to_LVEtransmission957_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission957,LVEtransmission931
LVEtransmission957_to_LVEtransmission646_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission646,LVEtransmission957
LVEtransmission79_to_LVEtransmission1011_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1011,LVEtransmission79
LVEtransmission1011_to_LVEtransmission402_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission402,LVEtransmission1011
LVEtransmission402_to_LVEtransmission580_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission580,LVEtransmission402
LVEtransmission580_to_LVEtransmission37_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission37,LVEtransmission580
LVEtransmission37_to_LVEtransmission1014_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1014,LVEtransmission37
LVEtransmission1014_to_LVEtransmission178_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission178,LVEtransmission1014
LVEtransmission178_to_LVEtransmission1041_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission1041,LVEtransmission178
LVEtransmission1041_to_LVEtransmission741_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission741,LVEtransmission1041
LVEtransmission741_to_LVEtransmission450_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission450,LVEtransmission741
LVEtransmission450_to_LVEtransmission981_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission981,LVEtransmission450
LVEtransmission981_to_LVEtransmission803_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission803,LVEtransmission981
LVEtransmission803_to_LVEtransmission985_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission985,LVEtransmission803
LVEtransmission510_to_LVEtransmission948_electricity,#3186cc,LV electricity distribution main,transmission,100000,1,20,LVEtransmission948,LVEtransmission510
