techs,carrier_out,carrier_in
LQHtransmission838_to_LQHtransmission699_heat,1,1
LQHtransmission699_to_LQHtransmission138_heat,1,1
LQHtransmission138_to_LQHtransmission762_heat,1,1
LQHtransmission762_to_LQHtransmission364_heat,1,1
LQHtransmission364_to_LQHtransmission555_heat,1,1
LQHtransmission555_to_LQHtransmission467_heat,1,1
LQHtransmission467_to_LQHtransmission27_heat,1,1
LQHtransmission27_to_LQHtransmission103_heat,1,1
LQHtransmission103_to_LQHtransmission523_heat,1,1
LQHtransmission523_to_LQHtransmission764_heat,1,1
LQHtransmission764_to_LQHtransmission577_heat,1,1
LQHtransmission577_to_LQHtransmission679_heat,1,1
LQHtransmission48_to_LQHtransmission721_heat,1,1
LQHtransmission721_to_LQHtransmission758_heat,1,1
LQHtransmission758_to_LQHtransmission263_heat,1,1
LQHtransmission759_to_LQHtransmission650_heat,1,1
LQHtransmission650_to_LQHtransmission716_heat,1,1
LQHtransmission716_to_LQHtransmission608_heat,1,1
LQHtransmission608_to_LQHtransmission589_heat,1,1
LQHtransmission589_to_LQHtransmission627_heat,1,1
LQHtransmission627_to_LQHtransmission434_heat,1,1
LQHtransmission434_to_LQHtransmission421_heat,1,1
LQHtransmission421_to_LQHtransmission116_heat,1,1
LQHtransmission116_to_LQHtransmission349_heat,1,1
LQHtransmission349_to_LQHtransmission601_heat,1,1
LQHtransmission601_to_LQHtransmission33_heat,1,1
LQHtransmission33_to_LQHtransmission109_heat,1,1
LQHtransmission109_to_LQHtransmission447_heat,1,1
LQHtransmission447_to_LQHtransmission198_heat,1,1
LQHtransmission198_to_LQHtransmission473_heat,1,1
LQHtransmission473_to_LQHtransmission446_heat,1,1
LQHtransmission446_to_LQHtransmission230_heat,1,1
LQHtransmission230_to_LQHtransmission8_heat,1,1
LQHtransmission8_to_LQHtransmission130_heat,1,1
LQHtransmission130_to_LQHtransmission604_heat,1,1
LQHtransmission604_to_LQHtransmission236_heat,1,1
LQHtransmission236_to_LQHtransmission810_heat,1,1
LQHtransmission810_to_LQHtransmission40_heat,1,1
LQHtransmission40_to_LQHtransmission707_heat,1,1
LQHtransmission707_to_LQHtransmission158_heat,1,1
LQHtransmission158_to_LQHtransmission516_heat,1,1
LQHtransmission516_to_LQHtransmission125_heat,1,1
LQHtransmission125_to_LQHtransmission391_heat,1,1
LQHtransmission391_to_LQHtransmission294_heat,1,1
LQHtransmission294_to_LQHtransmission34_heat,1,1
LQHtransmission34_to_LQHtransmission618_heat,1,1
LQHtransmission618_to_LQHtransmission694_heat,1,1
LQHtransmission694_to_LQHtransmission57_heat,1,1
LQHtransmission57_to_LQHtransmission424_heat,1,1
LQHtransmission424_to_LQHtransmission760_heat,1,1
LQHtransmission760_to_LQHtransmission171_heat,1,1
LQHtransmission171_to_LQHtransmission464_heat,1,1
LQHtransmission824_to_LQHtransmission141_heat,1,1
LQHtransmission141_to_LQHtransmission759_heat,1,1
LQHtransmission834_to_LQHtransmission733_heat,1,1
LQHtransmission137_to_LQHtransmission256_heat,1,1
LQHtransmission806_to_LQHtransmission211_heat,1,1
LQHtransmission211_to_LQHtransmission357_heat,1,1
LQHtransmission357_to_LQHtransmission315_heat,1,1
LQHtransmission315_to_LQHtransmission55_heat,1,1
LQHtransmission55_to_LQHtransmission62_heat,1,1
LQHtransmission62_to_LQHtransmission700_heat,1,1
LQHtransmission700_to_LQHtransmission383_heat,1,1
LQHtransmission383_to_LQHtransmission767_heat,1,1
LQHtransmission767_to_LQHtransmission465_heat,1,1
LQHtransmission183_to_LQHtransmission14_heat,1,1
LQHtransmission14_to_LQHtransmission324_heat,1,1
LQHtransmission324_to_LQHtransmission36_heat,1,1
LQHtransmission36_to_LQHtransmission811_heat,1,1
LQHtransmission811_to_LQHtransmission330_heat,1,1
LQHtransmission330_to_LQHtransmission45_heat,1,1
LQHtransmission45_to_LQHtransmission663_heat,1,1
LQHtransmission663_to_LQHtransmission728_heat,1,1
LQHtransmission728_to_LQHtransmission418_heat,1,1
LQHtransmission418_to_LQHtransmission564_heat,1,1
LQHtransmission564_to_LQHtransmission659_heat,1,1
LQHtransmission659_to_LQHtransmission654_heat,1,1
LQHtransmission654_to_LQHtransmission111_heat,1,1
LQHtransmission111_to_LQHtransmission375_heat,1,1
LQHtransmission664_to_LQHtransmission196_heat,1,1
LQHtransmission196_to_LQHtransmission551_heat,1,1
LQHtransmission551_to_LQHtransmission610_heat,1,1
LQHtransmission610_to_LQHtransmission399_heat,1,1
LQHtransmission399_to_LQHtransmission276_heat,1,1
LQHtransmission276_to_LQHtransmission754_heat,1,1
LQHtransmission754_to_LQHtransmission304_heat,1,1
LQHtransmission304_to_LQHtransmission149_heat,1,1
LQHtransmission149_to_LQHtransmission713_heat,1,1
LQHtransmission713_to_LQHtransmission565_heat,1,1
LQHtransmission565_to_LQHtransmission102_heat,1,1
LQHtransmission102_to_LQHtransmission592_heat,1,1
LQHtransmission592_to_LQHtransmission635_heat,1,1
LQHtransmission635_to_LQHtransmission660_heat,1,1
LQHtransmission660_to_LQHtransmission502_heat,1,1
LQHtransmission704_to_LQHtransmission657_heat,1,1
